{'短评内容': '有些脏ㅠㅠ', '短评打分': 3}
{'短评内容': '非常好。交通方便。周边吃的很多。干净卫生，服务态度还是很好的。房间里面整洁，适合出游或者在周边不远办事的人。', '短评打分': 5}
{'短评内容': '很好很好的，周围环境不错，交通十分方便，地理位置优越，值得我们客户给评分，十分满意，服务员和前台接待也特别热情，', '短评打分': 5}
{'短评内容': '很不错，只是特价房确实有点不敢恭维。。。。。。。。。。。。。希望可以得到改进。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，价格很适合', '短评打分': 5}
{'短评内容': '很满意！也很干净', '短评打分': 5}
{'短评内容': '满意满意满意满意', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': 'hsbsbxhdjdnsjidid', '短评打分': 5}
{'短评内容': '不错不错，和图片上介绍的一样', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '就在文院广场旁，感觉还行，很7天。', '短评打分': 5}
{'短评内容': '门坏的。', '短评打分': 4}
{'短评内容': '离文庙近，牙刷还可以，就是没有木梳啊！！！', '短评打分': 5}
{'短评内容': '总体感觉还行，位置不是在干道上面，找地方花了不短的时间，酒店设施一般般，比较简陋，但是整体清洁卫生还不错，出行住宿还是可以的。', '短评打分': 4}
{'短评内容': '酒店房间很干净，灯光布局很人性化根本不刺眼，服务也不错，唯一的缺点就是特价房只限有刷牙的用具。', '短评打分': 5}
{'短评内容': '一般，与同价格，同区域的比较，无优势。', '短评打分': 3}
{'短评内容': '热水没有准备充足，感觉价钱高了', '短评打分': 3}
{'短评内容': '挺好的，市中心，交通方便，环境不错', '短评打分': 3}
{'短评内容': '可以 离广场近 但是一直有空调的声音 太吵了', '短评打分': 3}
{'短评内容': '电视偏小，房间蛮大的，床还挺舒服！', '短评打分': 4}
