{'短评内容': '没空调，说是统一供暖，所以都没有空调，我属于怕冷体质，晚上冻醒好几次，洗完澡出来也好冷，打前台没人接电话，还要自己跑下去两趟，电视也打不开，还得叫服务员，房间里，厕所也没有个纸，外面看着装修还可以，里面，设施陈旧，门还锁不了，最后挂上了安全栓', '短评打分': 4}
{'短评内容': '挺好，交通便利，出门还就是汽车站，吃的也很多，出门左行100米都是吃的和超市', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间整洁，安全', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店位置不错，挨着学校，内部环境不太好，靠近马路边那比较吵，里边的房间相对比较安静，不含早餐，房间内设施旧。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '离地铁口很近，就是房间隔音一般', '短评打分': 5}
{'短评内容': '除了环境有些吵，其它都还好，这个价格这样的房间还是可以的。', '短评打分': 4}
{'短评内容': '不错不错，位置好，价格不高，住了好几次了，环境还可以，出去也方便，联通交通便利。', '短评打分': 5}
{'短评内容': '还可以。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '挺方便的', '短评打分': 5}
{'短评内容': '环境一般般', '短评打分': 4}
{'短评内容': '前台服务到位，环境不错，房间设备很齐全，很满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '朋友入住，就近，房间设施略显陈旧，卫生可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错！值得推荐！！！', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '可以。在2………………………', '短评打分': 3}
{'短评内容': '下水道堵了，洗个澡发水了。。。', '短评打分': 3}
{'短评内容': '还不错，周边交通很方便，在西王附近算是比较不错的酒店，但是基础设施方便个人觉得应该更新了。', '短评打分': 4}
{'短评内容': '比较干净，附近只有这家商务酒店还算可以！！！！！！！！！！！！！！！', '短评打分': 5}
