{'短评内容': '较吵，房间的卫生太普通', '短评打分': 4}
{'短评内容': '朋友反映好！', '短评打分': 5}
{'短评内容': 'KTv太吵了  根本无法入睡', '短评打分': 3}
{'短评内容': '每次来陆丰都住这里。', '短评打分': 5}
{'短评内容': '不错，非常舒服', '短评打分': 5}
{'短评内容': '不错，非常舒服', '短评打分': 5}
{'短评内容': '房间卫生嗯，其他设施都可以。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还不错挺好的', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '这次因为是一家人出游订了豪标，听说比较安静！谁知道半夜3点钟被一阵警报响吵醒，连续的警报响了半个小时以上，然后间歇一阵一阵响。打电话到总机询问，告诉她我有神经衰弱症，接受不了这种现象。不谁知道总机小姐很粗暴的说：不要跟我说你神经衰弱，我们正在查！然后就挂了电话！这种酒店还是第一次遇到。然后是又一个小时的轰鸣.....', '短评打分': 2}
{'短评内容': '常住的酒店，性价比超高。少有的这个价位的酒店。', '短评打分': 5}
{'短评内容': '我们的生活方式，我们的生活方式，我们的生活方式，我们的生活方式。我们', '短评打分': 5}
{'短评内容': '在陸丰，這價錢己是中上了，房間不錯，就是太吵了!', '短评打分': 4}
{'短评内容': '挺不错的，床比较舒服喜欢，不过晚上挺吵的', '短评打分': 3}
{'短评内容': '商务房合适一帮朋友打牌看球，不错不错', '短评打分': 4}
{'短评内容': '住陆丰唯一选择', '短评打分': 4}
