{'短评内容': '酒店比较老样式，旅游嘛对付住吧，不能刷卡，有些不方便', '短评打分': 5}
{'短评内容': '非常不错，度假时选择住这，价格再低些就更好了。', '短评打分': 5}
{'短评内容': '早餐很差，鸡蛋每人只有一个，品质很少；房间发霉的味道很重，一晚上没有睡好，房间里还没有空调开关。', '短评打分': 1}
{'短评内容': '酒店位置对于餐饮较为方便，附近有小吃，宾馆环境较为陈旧，由于在旅游区，性价比可以理解。', '短评打分': 1}
{'短评内容': '总体还好，在二道白河老区，算是相当较好的住处。但是价格相当较高。酒店周围有风味饭馆多，都在步行3分钟内，还有一家石板韩式烧烤，用木材加热，做的酸菜炒饭妙极了。', '短评打分': 5}
{'短评内容': ' 位置很好找，洗澡水不是24，只有两个小时，房内硬件一般', '短评打分': 3}
{'短评内容': '还好吧。也许是自己去的季节不对，酒店里面很冷。', '短评打分': 5}
{'短评内容': '酒店在二道白河镇，是去长白山北景区的必经之路。酒店环境可以，就是设施有点陈旧，但还算干净，在靠近风景区的地方已经算是不错了。价格略高，早餐供应不足，就餐人多了，就供应不上了。希望提高餐厅的服务质量。另外，客房用品更换不彻底，我第一天用的毛巾在客房打扫时，只更换了一条。', '短评打分': 5}
{'短评内容': '价格还比较合理，服务人员态度挺好，服务也很周到，房间里也挺干净，家具看起来都是实木的，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店服务一流，办事很利索，态度也很好，这点很满意。', '短评打分': 5}
{'短评内容': '卫生方面还是不错的，房间收拾的挺干净，设施也还可以，住的还算满意。', '短评打分': 5}
{'短评内容': '酒店很不错，服务意识很强，房间打扫的很干净，设施质量也不错，感觉很舒适。', '短评打分': 5}
{'短评内容': '看名字以为多好哪，条伯和名字差远了。', '短评打分': 3}
{'短评内容': '太差', '短评打分': 1}
{'短评内容': '服务人员办事很有效率，酒店干净整洁', '短评打分': 5}
{'短评内容': '一进入酒店，工作人员热情招呼，办理入住手续快速,第一印象 很不错的。进房间后，设施、空间、卫生都不错。 酒店服务员还提供了旅游景点的信息，很有用。', '短评打分': 5}
{'短评内容': '还好了，标准的旅游景区酒店，房间较为干净整洁。不能刷卡有点不便。', '短评打分': 5}
{'短评内容': '真的很一般。', '短评打分': 1}
