{'短评内容': '卫生还行。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店的环境比较幽静，每层还有花草', '短评打分': 4}
{'短评内容': '总体评价可以', '短评打分': 5}
{'短评内容': '房间卫生，舒适', '短评打分': 5}
{'短评内容': '无', '短评打分': 4}
{'短评内容': '太差了，不如招待所，洗澡都没有热水，再也不会选择它了，超差的用户体验，', '短评打分': 1}
{'短评内容': '房间空间大，帮朋友定的，住过朋友说很满意，周边环境也舒适。', '短评打分': 5}
{'短评内容': '房间还算干净，但是设施太老，很多家具及卫生间用具都有损坏的痕迹，条件很一般，发票的饭费和住宿费不能开在一起。', '短评打分': 4}
{'短评内容': '工业区老的招待所，设施老化严重，不过在蛇口地段也差不多这个价了。', '短评打分': 4}
{'短评内容': '靠球场，活动方便。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离球场比较近，运动方便。', '短评打分': 3}
{'短评内容': '离球场近，运动比较方便。', '短评打分': 3}
{'短评内容': '还好吧，去深圳湾看演唱会方便，就招商局的接待客人的旅店！', '短评打分': 4}
