{'短评内容': '其他的还可以，就是WiFi是真的差，完全连不上', '短评打分': 4}
{'短评内容': '环境挺不错的，一直是学校周边性价比最好的', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 5}
{'短评内容': '宾馆不错，但豪华大床房怎么没有了', '短评打分': 5}
{'短评内容': '大堂的空调有点热，不过房间里的环境还是可以的，客服也很nice', '短评打分': 5}
{'短评内容': '因为考试才住在附近选择这里，比较老了里面的有很多地方有些破损，订的电脑房电脑完全打不开，卫生也不怎么样，凑合住吧', '短评打分': 4}
{'短评内容': '酒店还算不错，空调不足，房间够大卫生情况尚可', '短评打分': 3}
{'短评内容': '总体还行吧！经济', '短评打分': 4}
{'短评内容': '离学校比较近。感觉挺好', '短评打分': 5}
{'短评内容': '酒店卫生没搞干净，还遗留了上次房客的一瓶未喝完的饮料，地上都是瓜子壳。', '短评打分': 3}
{'短评内容': '还好，过来考试，离商学院很近哦', '短评打分': 4}
{'短评内容': '楼层没有服务员，住了三天无线网就不能用', '短评打分': 4}
{'短评内容': '不错！服务态度好', '短评打分': 5}
{'短评内容': '清净，服务不错！', '短评打分': 5}
{'短评内容': '在学校附近  找同学勉强入住的 价格很低 设施也就很一般了 将就睡吧 还是挺安静的', '短评打分': 2}
{'短评内容': '空气不好，走廊味太重', '短评打分': 3}
{'短评内容': '设      施      还       行！', '短评打分': 5}
