{'短评内容': '服务很差，下次不会再住的！', '短评打分': 1}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '很不错的酒店 经常住 就在苏州新区永旺旁边 购物方便 旁边还有德庄火锅 一直去永旺的胡椒厨房 也很好吃', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '就在大润发后面，购物方便得很', '短评打分': 5}
{'短评内容': '百益德住了两次，离朋友家近，喝多不怕', '短评打分': 5}
{'短评内容': '有停车场，不能加床，早餐极差', '短评打分': 3}
{'短评内容': '酒店环境蛮好的，地段也可以，旁边就是商圈', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '装修老旧 有异味 双早简直是笑话 就我们一家人吃 还有苍蝇 桌椅脏。无语了。大家看的办吧。住一晚就知道我描述的贴切了。', '短评打分': 1}
{'短评内容': '酒店服务很好，出差订的套房，还是不错的', '短评打分': 5}
{'短评内容': '酒店服务很好，出差订的套房，还是不错的', '短评打分': 5}
{'短评内容': '下次出行至苏州，可以再次入住', '短评打分': 5}
{'短评内容': '还不错，已续订', '短评打分': 5}
{'短评内容': '一进去灯是坏的打不开，电视机开了很久也没反应，浴室一直漏水', '短评打分': 3}
{'短评内容': '卫生间设备太差！', '短评打分': 5}
{'短评内容': '非常的好', '短评打分': 5}
{'短评内容': '比想象中的好 不错  酒店设施都不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地段不错，总体还行。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错的饭店，就是价格贵了点，早餐也很一般。', '短评打分': 5}
