{'descr': '很安静适合居住 不错的推荐', 'star': 5}
{'descr': '很安静，房内也很舒适', 'star': 4}
{'descr': '还可以，蛮干净的', 'star': 4}
{'descr': '   字数未满', 'star': 5}
{'descr': '挺干净的，服务也很好', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '没看见测试房间在哪', 'star': 3}
{'descr': '蛮好的', 'star': 5}
{'descr': '前台服务好差，低端', 'star': 3}
{'descr': '酒店设施很好，里面环境也不错，不止一次在他家住了', 'star': 5}
{'descr': '地点合适，居住环境可以，挺幽静的，出差入住合适，游玩就算了，毕竟远离市区，吃饭挺方便的，就这些吧，也没啥了', 'star': 5}
{'descr': '服务态度很好，早餐一般。', 'star': 5}
{'descr': '离公司近，交通方便！', 'star': 5}
{'descr': '还行，就是不好找， 还行，就是不好找', 'star': 5}
{'descr': '不好不坏，标准的商务快捷酒店。空调很足，赞一个！', 'star': 4}
{'descr': '不好不坏，标准的商务快捷酒店。空调很足，赞一个！', 'star': 4}
{'descr': '不好不坏，标准的商务快捷酒店。空调很足，赞一个！', 'star': 4}
{'descr': '感觉比较舒适、整洁卫生，价格说得过去。电视频道太少、电话费巨贵（长途0.7元/分、市话0.4元/分）', 'star': 5}
{'descr': '环境，服务还不错哦，值得入住，性价比很高的', 'star': 5}
{'descr': '离开发区政府很近,估计住这里的人都是来招投标的吧,房间很不错,就是电视机太小了', 'star': 5}
{'descr': '很好一直入住的这家酒店，服务很好，宾至如归////////////////////////////////////', 'star': 5}
{'descr': '酒店很安静，干净，就是夏天到了，大堂的空调可以稍微打低点吧', 'star': 3}
{'descr': '很好，很干净的宾馆，而且离夜市比较近！购物，餐饮都是很方便的一个宾馆', 'star': 5}
{'descr': '还不错啊，干净卫生，装修简洁，早歺不错，就是十八元小贵。', 'star': 5}
{'descr': '酒店位置不错，交通方便，环境也很好！！！！', 'star': 5}
{'descr': '本酒店新装修，很干净，设施配套也很好，价格性能比不错。', 'star': 5}
{'descr': '房间整洁干净，隔音也不错，就是电视机实在太小了，总体很不错', 'star': 3}
{'descr': '很好，不错', 'star': 3}
{'descr': '很好,一直住的，好品牌智者的选择，设备设施比较完善', 'star': 5}
{'descr': '还好啦，就是不喜欢电热水壶，有饮水机该多好啊', 'star': 3}
{'descr': '整体不错，前台应该多准备浴帽。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很不错，环境很好。', 'star': 3}
{'descr': '还不错，服务员态度也很好，吃饭也很方便的。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间很干净，服务也热情。因为下雨所以晚餐和早餐都是在酒店的餐厅吃的，晚餐种类少且性价比不高，倒是早餐丰富些，口味也不错。', 'star': 3}
{'descr': '不错的服务不错的服务不错的服务不错的服务不错的服务', 'star': 5}
{'descr': '房间很大，很舒适，电视太小了~不错哦', 'star': 3}
{'descr': '环境挺好，卫生舒适，也很安静，服务人员很热情。\n推荐', 'star': 5}
{'descr': '条件不错,就是网速很慢', 'star': 3}
{'descr': '比较好', 'star': 3}
{'descr': 'very good! so nice! next time', 'star': 5}
{'descr': '环境很好，很干净，也很安静，服务也很不错。', 'star': 5}
