{'短评内容': '酒店为了不给客人返现  经常与携程说客人没有入住  对比很反感', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体来讲在包头市是性价比很高的酒店，房间环境和设施都不错，只是缺乏健身场所', '短评打分': 5}
{'短评内容': '房间干净，早餐好', '短评打分': 5}
{'短评内容': '不错，很舒适', '短评打分': 5}
{'短评内容': '不错，办事方便', '短评打分': 5}
{'短评内容': '酒店设施不错，店内还有不错的餐厅，满分', '短评打分': 5}
{'短评内容': '房间大，有味道', '短评打分': 4}
{'短评内容': '评价多少次了，一直住这', '短评打分': 5}
{'短评内容': '酒店设施、服务、位置均不错，商务出行推荐！', '短评打分': 4}
{'短评内容': '在包头性价比还行。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，硬件设施也还可以，晚上很安静，美中不足的是浴室水龙头不太好', '短评打分': 5}
{'短评内容': '住的398的大床房，设施卫生都不错，就是这次的房间没有外窗，打开窗户看了半天才看出来是室内。', '短评打分': 3}
{'短评内容': '设施一般，房间比较大，电视很小，床比较硬。早饭很简单，不过服务挺好。叫出租不方便，需要走出去。性价比很低。', '短评打分': 1}
{'短评内容': '还是不错的，很温暖。', '短评打分': 3}
{'短评内容': '之前住过了，位置还行。设施什么的一般吧，各方面都还行，酒店不算大，门口可停车', '短评打分': 3}
{'短评内容': '位置不错，可是刚好我去那几天是装修吧，好大的气味。客房网速一般，送水果和牛奶。。和小肥羊总部距离不算太远。', '短评打分': 5}
{'短评内容': '每次到包头都住这儿。房间灰常好。与房间相比，早餐差些，但也说得过去。', '短评打分': 5}
{'短评内容': '没有前几次那么好了，毛巾没有以前的干净。但总体上仍算得上很好。与周边的酒店比起来，性价比最高。', '短评打分': 5}
{'短评内容': '据说包头的酒店普遍都贵，确实中档的酒店很少，要不就是特别贵的，要不就是商务宾馆。我在这家酒店定的是商务间，房间条件还不错，就是隔音有些不好。其他都还好了，早餐品种少了一些。', '短评打分': 5}
{'短评内容': '位于市中心，交通购物都很方便，西餐厅的饭很好吃！', '短评打分': 5}
{'短评内容': '酒店位置不错，设施也还可以。大堂比较乱.上网不畅。有线无线网基本等于摆设。房间比较干净整洁，服务人员态度不错。早晨尚可，种类还不错。 \n', '短评打分': 5}
{'短评内容': '酒店位置不错，设施也还可以。就是上网不畅。无线网基本等于摆设。房间数量太少，服务人员态度不错。早晨尚可，种类还不错。', '短评打分': 5}
{'短评内容': '每次到包头都住这里，房间大的很，这点感觉很好，楼下即是俏江南，用餐很方便。\n\neLong怎么想的，为什么一定要50个字啊，有意义吗？之前要求的20个字足够了。', '短评打分': 5}
{'短评内容': '泓德酒店自从撤了原来的投资人后相应管理有所下滑，原来是包头数一数二的宾馆，直到现在俏江南还在这酒店里，房间不小，但是备品太差，前台服务。。。。。。。只能说一般', '短评打分': 5}
{'短评内容': '大厅不大，房间很大，很干净，还有牛奶送，感觉不错', '短评打分': 5}
{'短评内容': '位置较好，但打的需要走几分钟总体还是不错', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度好，周围吃饭方便，性价比不错', '短评打分': 5}
{'短评内容': '位置不错，早餐非常好，房间非常大，很舒适。', '短评打分': 5}
