{'短评内容': '两年内还会光临指导的，够十五个人吗？', '短评打分': 5}
{'短评内容': '性价比不错，基本上出差都来这里', '短评打分': 5}
{'短评内容': '挺好的。干净卫生。服务态度很好', '短评打分': 5}
{'短评内容': '挺好的。房间干净。', '短评打分': 5}
{'短评内容': '挺好，干净整洁！', '短评打分': 5}
{'短评内容': '有停车场，设施不错，这次没有安排冰箱的房间，加床就放不下了，总体来说还可以，双人间的话比较大空间，服务态度不错', '短评打分': 5}
{'短评内容': '很舒适，服务很到位……下次出差还会选择这里，唯一的不足就是不含早。如果下次可以含早就好了……周边设施有待完善', '短评打分': 5}
{'短评内容': '物有所值的酒店', '短评打分': 5}
{'短评内容': '嗯嗯&hellip;.&hellip;.', '短评打分': 5}
{'短评内容': '豪华的比较好', '短评打分': 5}
{'短评内容': '很好了', '短评打分': 4}
{'短评内容': '里面有蚊子', '短评打分': 3}
{'短评内容': '经常入住，很不错的酒店', '短评打分': 5}
{'短评内容': '不错，下次还住', '短评打分': 5}
{'短评内容': '干净、设备比较全', '短评打分': 5}
{'短评内容': '朋友之间出去玩的时候开的，还不错，就是可能时间久了 有一点点的味道', '短评打分': 5}
{'短评内容': '酒店的环境还可以，周边环境主要是靠马路，有点噪音，可接受，价格服务都不错。', '短评打分': 4}
{'短评内容': '帮别人预定的，还行', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次到惠州都住这家，环境好价格合适，很不错！', '短评打分': 3}
{'短评内容': '位置不错,景观不错,值得推荐。', '短评打分': 3}
{'短评内容': '酒店房间烟味很重，入住客人以本地人包房打麻将居多。早餐简单且贵的离谱，要在房价之外另外购买，20元一份。去惠州任何一家餐馆喝早茶的人均支出也就是20而已。唯一好处就是惠州江北250-300元区间段唯一的商务酒店，地理位置比较特殊，方便在周边办事的差旅人士。', '短评打分': 1}
{'短评内容': '环境不错，房间也比较整洁', '短评打分': 3}
{'短评内容': '住的还算不错，服务人员态度都不错。就是地理位置太偏僻了。交通不好。', '短评打分': 5}
{'短评内容': '酒店内部环境不错，住的性价比比较高。只是周边环境不好，太偏了，吃饭的地方都没有', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '内部环境和服务到位，非常好，唯一不便就是出租车不方便！', '短评打分': 3}
{'短评内容': '酒店还好,价格实惠,只是离市区远一点,还好附近有华贸中心.吃喝玩乐全齐。', '短评打分': 5}
{'短评内容': '房间挺大，卫生干净，但有点远，而且刷卡机很麻烦。。', '短评打分': 5}
{'短评内容': '环境不错，但比较偏僻，在江北区算是比较新的酒店，可以免费停车的。', '短评打分': 5}
{'短评内容': '还可以吧，我订了三间房，2个双间、1个单间，双间很宽阔不错，单间就小了一点，总体来说还行。', '短评打分': 5}
{'短评内容': '房间够大，不错，下次还会来.很好，也很安静的。\n', '短评打分': 5}
{'短评内容': '    本酒店在没有超过时限的同时，擅自将客户预订的房间取消。', '短评打分': 1}
{'短评内容': '很满意。', '短评打分': 3}
{'短评内容': '宽而新', '短评打分': 3}
{'短评内容': '现在有早餐了，还不错。\n性价比较高，在中心地段', '短评打分': 5}
{'短评内容': '第二次入住，主要是比较方便，在江北的中心区。其他都一般吧', '短评打分': 5}
{'短评内容': '价钱便宜，环境好，交通好，很方便就找到了，到哪个地方都近。服务呢也是不错，', '短评打分': 5}
{'短评内容': ' 环境不错 己有提供早餐 推荐给自驾车人士居住', '短评打分': 3}
{'短评内容': '本酒店较干净，环境较安静，安全，可惜周边商店不多，难买到水果之类的商品', '短评打分': 5}
{'短评内容': '环境很舒适～～，价格也合理！！一个字：好！', '短评打分': 5}
{'短评内容': '酒店不错，房间环境和装修都好，就是交通不方便，饮食也不方便', '短评打分': 5}
{'短评内容': '你们那还不错，但卫生做的不够完善，毛巾被都很脏，望能改善', '短评打分': 3}
{'短评内容': '周边环境还不错！！可惜没有提供早餐！！自己开车住在这里还方便！！', '短评打分': 1}
{'短评内容': '除了没有早餐和餐厅外，其他还不错，房间都不错', '短评打分': 5}
{'短评内容': '酒店很不错，很干净。只是周边没有餐馆，吃饭不是很方便。有机会下次还会住这家酒店。', '短评打分': 5}
{'短评内容': '江景酒店房间很宽,六楼窗户可见到惠州商业开发新区,设备很新,二楼有餐厅\r\n虽然周遭商铺较少, 但餐饮尚属方便,若不嫌远, 可步行十分钟,有数家餐馆\r\n此外, 过了东江桥即可到老城区,西湖, 下次我还会到该酒店下禢\r\n', '短评打分': 3}
{'短评内容': '非常好的酒店 设施很新  房间很好  下次还住这里', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '位置不太好找.可能是因为门前修路的原因吧.其它各方面条件都挺不错的,性价比很高.', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，房间很干净，硬件设施齐全，下次还会住的。', '短评打分': 5}
{'短评内容': '性价比挺好的,硬件和软件条件不错,服务人员都挺周到热情的,综合水平很好.', '短评打分': 5}
{'短评内容': '房间很干净设施也很新酒店也是新开业的所以装修上面都很不错，服务态度还可以，位置还是很好找，价格挺物美价廉的，性价比其实挺高的。很不错的酒店。', '短评打分': 5}
{'短评内容': '服务态度还行，价格挺实惠的，位置还行但是周围环境不是太好挺冷清的，其他的都还不错还是挺满意的。', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '还不错，就是半夜消防报警无故响了。第二天也没道赚，当没回事', '短评打分': 5}
{'短评内容': '隔音效果太差', '短评打分': 1}
{'短评内容': '只能用好字形容,设计不错.除了用材一般外', '短评打分': 5}
