{'短评内容': '订好的房间直接就被取消了', '短评打分': 3}
{'短评内容': '位置就在女朋友的家隔壁，早餐雖然款式不多卻味道可以，前台服務態度很好，房間設施還可以，下次還是會來的', '短评打分': 5}
{'短评内容': '位置不错，环境也可以', '短评打分': 5}
{'短评内容': '卫生还不错，就是设施旧了点', '短评打分': 5}
{'短评内容': '房间很不错', '短评打分': 4}
{'短评内容': '订了酒店后，打电话来说那个价格可能执行不了，要问经理，说第二天上午十一点前答复我。第二天十点多打过来，又说经理还未回复，问我要不要改订其他酒店。看客服来电显示是携程，估计其实也是通过携程预订。那叫我以后怎样还敢在京东上订酒店呢？', '短评打分': 2}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '评价要6个字', '短评打分': 5}
{'短评内容': '澳凑凑凑凑凑凑凑', '短评打分': 5}
{'短评内容': '&hellip;&hellip;凑凑凑凑凑凑', '短评打分': 5}
{'短评内容': '酒店虽然有点老了，但是卫生情况还是不错！服务人员态度也不错！距离长隆，渔女公交还算方便了！就是价格有点小贵！下回去还住这里！', '短评打分': 5}
{'短评内容': '我帮朋友定的，朋友非常不满意', '短评打分': 1}
{'短评内容': '酒店位置还是不错的，虽然设施有些旧，但服务较好，下次还会选择入住！', '短评打分': 5}
{'短评内容': '還可以', '短评打分': 4}
{'短评内容': '可以吧', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '很不错，只是在修路！！！！！！！！！！！！！！！！！！！！！！！11', '短评打分': 5}
{'短评内容': '因为附近施工，介绍有固定时间车次送客。实际要求时却没有，说是经理开出去了办事了。恩，这点很不专业。', '短评打分': 5}
{'短评内容': '门前在修路 交通不方便 夜间施工噪声大 其他服务还行', '短评打分': 3}
{'短评内容': '门前在修路 交通不方便 夜间施工噪声大 其他服务还行', '短评打分': 3}
{'短评内容': '里面还可以，就是附近好像在修路，有点灰尘！不过里面环境还可以！', '短评打分': 5}
{'短评内容': '酒店本身很不错，就是外面修路，交通特别不方便，而且灰尘特别大，晚上睡觉噪音也很大。', '短评打分': 3}
{'短评内容': '半年内建议不要选择入住，因为酒店门口在进行道路施工，交通十分不方便。而且因为外面施工，晚上会很吵，所以近期不要入住。酒店房间的布局和空间还可以，总的内部环境还可以。另外一点就是客房内没有免费的一次性用具，有的都是收费的，所以即使入住也要自备用具！', '短评打分': 1}
{'短评内容': '马路外面施工，交通不是很方便，除此之外还行。', '短评打分': 3}
{'短评内容': '这次是再次入住，还是一家性价比很高的酒店，不知门前马路的工程什么时候可以完工', '短评打分': 5}
{'短评内容': '酒店内环境不错，性价比高。可惜外面在修路', '短评打分': 5}
