{'descr': '环境很一般', 'star': 3}
{'descr': '差，一进房间就一股潮湿霉烂的味，窗帘是湿的，墙上全是霉斑，现在想想都很恶心，卫生间特差，我从来就没见过这样的！在马桶和洗脸池中间上方装了个淋浴头，洗个澡会蹦的马桶上全是水，我住的房间还没热水，洗的凉水澡！', 'star': 1}
{'descr': '好', 'star': 5}
{'descr': '墙被水泡了，窗户打不开，透不了气，屋子里自古怪味儿。最重要的是屋子里很冷，晚上冻醒了好几次。前台服务态度很差，爱理不理的。', 'star': 2}
{'descr': '除了交通，离哈工大有点不方便以外，其余的地方都很好。屋里窗明几亮。周围的小吃也不少。感觉很不错的。我下次还来。', 'star': 5}
{'descr': '二手烟。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '设施比较陈旧，早餐只有鸡蛋花卷和白米粥，外加一种咸菜，简单的不能再简单，想选择都没的选，168的圆床房连窗户都没有，好在前台服务人员态度还不错', 'star': 3}
{'descr': '卫生一般，窗台上很多浮土，像是几天没有擦过。面盆上面洗，下面漏水。卫生间的们吱吱妞的响，很是影响夜里的睡眠。空调和电视还是不错的。', 'star': 4}
{'descr': '商家服务很好，很经济实惠', 'star': 5}
{'descr': '放假对得起价格，不过酒店旁边没有什么吃饭的地方', 'star': 5}
{'descr': '不太理想', 'star': 3}
{'descr': '各种设施还不错，我们开车离哪儿都挺近的！还不错哟，因为是两间房，带着妈妈姥姥，所以很是干净.她们住的挺舒服', 'star': 4}
{'descr': '还不错，晚上比较安静，酒店环境也可以，地方也挺好找，就是周边超市饭店少，不太方便，但是酒店提供的早餐还是不错的', 'star': 5}
{'descr': '一般宾馆，经济实惠', 'star': 4}
{'descr': '前台态度不好，推卸责任', 'star': 1}
{'descr': '服务态度太差，酒店设施实在不敢恭维。老旧不说，还不能刷卡。服务员特别的傲慢。\n房间墙皮脱落，潮湿有异味。', 'star': 1}
{'descr': '服务态度太差，酒店设施实在不敢恭维。老旧不说，还不能刷卡。服务员特别的傲慢。\n房间墙皮脱落，潮湿有异味。', 'star': 1}
{'descr': '酒店地处相对偏僻的地方，交通很不方便，打车也不好打，但却并不安静，经常能听到火车声。房间很小，还算干净。卫生间不好用，上面还漏水。早餐根本没啥吃的，有时不到8点20分，就剩一点咸菜和粥了。', 'star': 1}
{'descr': '酒店地处相对偏僻的地方，交通很不方便，打车也不好打，但却并不安静，经常能听到火车声。房间很小，还算干净。卫生间不好用，上面还漏水。早餐根本没啥吃的，有时不到8点20分，就剩一点咸菜和粥了。', 'star': 1}
{'descr': '套房不错，结帐速度也还可以，距离火车站比较近。', 'star': 5}
{'descr': '套房不错，结帐速度也还可以，距离火车站比较近。', 'star': 5}
{'descr': '靠近铁路线，很吵，而且设备，周边环境也不好。', 'star': 1}
{'descr': '靠近铁路线，很吵，而且设备，周边环境也不好。', 'star': 1}
{'descr': '服务不好 态度蛮横。希望改进，其他各方面还好。', 'star': 1}
{'descr': '服务不好 态度蛮横。希望改进，其他各方面还好。', 'star': 1}
{'descr': '环境还行！地点太差', 'star': 3}
{'descr': '环境还行！地点太差', 'star': 3}
