{'短评内容': '手机上定的，开房间时候吧台查出来了，交了三百押金，可在退房的时候却说看不到我们定的房间，弄了好半天，耽误我们时间 ，结果车没赶上。请不要把你们工作的不足影响到我们好吗？？', '短评打分': 4}
{'短评内容': '干淨，好平', '短评打分': 5}
{'短评内容': '房间隔音不好，周围上街吃饭停车都没问题，总的来说还不错！', '短评打分': 5}
{'短评内容': '就那样', '短评打分': 4}
{'短评内容': '位置好，隔音差', '短评打分': 3}
{'短评内容': '！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '价格实惠，送货快，东西好！', '短评打分': 5}
{'短评内容': '环境幽雅，卫生不错，以后还会选择', '短评打分': 4}
{'短评内容': '房间不错。素质也可以', '短评打分': 5}
{'短评内容': '住过另外一家还行吧', '短评打分': 5}
{'短评内容': 'Bjnfddfbnjuyh', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境很好，服务态度也不错', '短评打分': 5}
{'短评内容': '追评一下，房子隔音不好，外面的声音对休息有影响，房子里面灯光太暗，总体感觉凑合吧……', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '常住酒店整体不错就是小贵', '短评打分': 5}
{'短评内容': '服务生态度差，几乎没时间理人。是因为房子是网上订的，所以对我的态度不好，搞得我是在站他们的便宜似的。', '短评打分': 3}
{'短评内容': '房间小，暗，厕所没有隔开满房间都是味', '短评打分': 3}
{'短评内容': '房间干净 服务员态度很好  很满意', '短评打分': 3}
{'短评内容': '非常差漏水', '短评打分': 1}
{'短评内容': '总体来说还行。', '短评打分': 4}
{'短评内容': '服务态度有待提高。', '短评打分': 4}
