{'短评内容': '很不错，房间很大', '短评打分': 5}
{'短评内容': '建议这样的酒店携程最好别卖，豪华二字可以去掉了，一个字，差！就是一个居民楼里的招待所，甚至都不如招待所！睡到半夜我走人的，建议大家千万不要订这种酒店公寓！', '短评打分': 2}
{'短评内容': '很不错，房间干净，安静舒适…', '短评打分': 5}
{'短评内容': '经济型酒店，一般般，还算可以吧', '短评打分': 3}
{'短评内容': '条件一般，比以前的E居差远了。', '短评打分': 4}
{'短评内容': '卫生情况有待改进', '短评打分': 4}
{'短评内容': '酒店对初次去的不好找，因为就是居民楼啊。其实是公寓房改的吧。不过设施配套都可以。房间也够大，其实很适合出差长住。东西忘记酒店，也及时帮我寄回来了。不过没有早餐，遗憾，不方便', '短评打分': 5}
{'短评内容': '经济实惠，但是难找停车位', '短评打分': 3}
{'短评内容': '设备有些旧了，不过还可以吧', '短评打分': 4}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '对于本店感觉还行，就是被子颜色接受不了，粉红色的', '短评打分': 5}
{'短评内容': '房间很大，离海岸城也很近，附近有很多饭店。', '短评打分': 5}
{'短评内容': ' 家的感觉，就是早上外面有点吵！', '短评打分': 5}
{'短评内容': '实在太不方便了，位置比较隐蔽，所有服务都没有，上网只有无线，总也连不上', '短评打分': 1}
{'短评内容': '很有家的感觉，设施比较齐全，干净卫生，服务态度好，总之住的很开心，以后还会住的', '短评打分': 5}
{'短评内容': '在深圳这价格的酒店还真不错.', '短评打分': 5}
{'短评内容': '房间还可已.服务不怎么样.', '短评打分': 3}
{'短评内容': '不错.价格可能高了点.', '短评打分': 5}
