{'短评内容': '隔壁真的玩到很晚啊…', '短评打分': 4}
{'短评内容': '离办事的地方近 传统标双 设备有点旧 其他还行', '短评打分': 5}
{'短评内容': '前台给眼色看，安排最偏僻的房间，房间不送矿泉水，除了位置好，没啥好的了。', '短评打分': 2}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '没有早餐，位置很好，设施成旧', '短评打分': 4}
{'短评内容': '感觉一般，还不如雅住186…', '短评打分': 4}
{'短评内容': '挺方便的哈！', '短评打分': 5}
{'短评内容': '房间虽然小了点，但是设施还是不错的，服务员态度也还可以，总的来说还是比较满意的。', '短评打分': 4}
{'短评内容': '很人性化，服务也很贴心，虽然是商务便捷型，但给人留下好的印象，谢谢！地理位置很好，离春熙路商业很近，对过是IFS和太古里… 棒！', '短评打分': 4}
{'短评内容': '房间内设施东西很旧', '短评打分': 3}
{'短评内容': '酒店卫生状况较差，酒店工作人员的服务态度一般', '短评打分': 3}
{'短评内容': '竟然不给发票，在装修很大气味很嘈', '短评打分': 4}
{'短评内容': '太可怕了，房间到处都很脏，我们住的尽头一间，一晚上没敢关电视，铺盖巨小，两个人没法睡，再也不敢图便宜了', '短评打分': 3}
{'短评内容': '环境优美，在春熙路逛街美食的天堂，服务态度不好，可能是入住高吧，设施有点陈旧，可以装修一次了', '短评打分': 4}
{'短评内容': '总的来说这个价位这个地段值 毕竟在春熙路', '短评打分': 4}
