{'短评内容': '服务很好，态度不错', '短评打分': 5}
{'短评内容': '隔音有点差', '短评打分': 3}
{'短评内容': '房間很大很大', '短评打分': 4}
{'短评内容': '酒店的位置还是很方便的，环境也不错，干净整洁。唯一不太方便的就是没有自己的停车场，需要停到后面的一个不是很规范的一个停车场。', '短评打分': 5}
{'短评内容': '真的不错，在广州100多的酒店能有这个服务值了。电梯需要滴房卡，挺安全。不会像小酒店一样有人去塞小广告。真的很可怕。不过房间杯子是纸杯需要改改。', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '价格实惠，房间也很整洁，下次还来住', '短评打分': 5}
{'短评内容': '价格实惠，房间也很整洁，下次还来住', '短评打分': 5}
{'短评内容': '房间是挺好的，现在增加了直饮机更加体现出如家的特色', '短评打分': 5}
{'短评内容': '非常满意！！！！', '短评打分': 5}
{'短评内容': '还可以 就是周边环境差些', '短评打分': 5}
{'短评内容': '房间有点发霉', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间小', '短评打分': 5}
{'短评内容': '地点方便，干净', '短评打分': 5}
{'短评内容': 'wifi基本没什么用，其他都还好', '短评打分': 4}
{'短评内容': '预订房间信息显示无窗，有些担心空气不好，可还是有一小扇窗能打开的，酒店价格经常变化，有点不适应，前台服务也好；', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '距离地铁站大约500米，距离不远，只是中间有2、300米的路两边没有店面，除了围墙就是工地，顿时有偏僻的感觉；房间干净，提供的喝水、洗漱的杯子都是一次性，少了一些担心', '短评打分': 5}
{'短评内容': '这家酒店靠近窖口车站，方便去周边城市坐车', '短评打分': 5}
{'短评内容': '定的是无窗的，但是房间里面烟味很重。', '短评打分': 5}
{'短评内容': '实惠，住着很舒适', '短评打分': 5}
{'短评内容': '酒店附近交通发达，房间卫生干净，服务态度很好', '短评打分': 4}
{'短评内容': '选如家还是不错的，比汉庭之类的要好些，个人感觉', '短评打分': 5}
{'短评内容': '卫生干净，交通方便', '短评打分': 5}
{'短评内容': '酒店交通便利，靠近地铁，也有公交总站，房间没有窗户，隔音效果不是很好，但是每天打扫的都很干净，每天赠送一瓶矿泉水，总之还不错了，网速一般不过用手机看个电影视频也足够了', '短评打分': 4}
{'短评内容': '位置近地铁，房间干净，物品齐全，服务态度好。个人觉得比7天好，推荐。', '短评打分': 5}
{'短评内容': '不错，很适合出门的背包一族，不远处就是地铁站和公交总站，出门很方便，洗手间也干净，给人印象很不错……', '短评打分': 5}
{'短评内容': '价格很便宜，而且离地铁比较近，很方便的啦 嘿嘿', '短评打分': 5}
{'短评内容': '房间门后有沙子没打扫干净 服务员早上九点就来敲门 其他总体感觉还可以 以后还会来住', '短评打分': 3}
{'短评内容': '非常的推荐，广州最便宜的如家，且交通环境很好！', '短评打分': 5}
{'短评内容': '离地铁站很近   旁边就是滘口客运站   交通很方便 \n周围也有很多小吃    值得推荐', '短评打分': 5}
{'短评内容': '交通便利，地铁，公交，长途汽车站都在旁边。', '短评打分': 5}
{'短评内容': '环境好，质量好，服务好。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，很安静、干净！交通还算方便，就是周围环境不是很好，可能是处于广佛交界处', '短评打分': 5}
{'短评内容': '位置比较偏，但距地铁站很近，所以还是很好的', '短评打分': 5}
{'短评内容': '酒店前台服务很好，但房间隔音很差，还有洗手间的马桶冲水系统差，一晚上都发出冲水声音，不知道的还挺吓人的！', '短评打分': 3}
{'短评内容': '环境不错，服务态度也很好', '短评打分': 3}
{'短评内容': '每次来广州都住在这里，总体比较实惠，附近交通便利。', '短评打分': 5}
{'短评内容': '综合而言，性价比还是蛮高的。出差的话，还是可以满足要求的', '短评打分': 5}
{'短评内容': '房间空间还不算小，尤其厕所挺大，蛮漂亮的。地址位置也还算方便，接近滘口汽车站，离地铁要走10分钟左右。房间进去时候有股气味不好闻，希望店家注意下。', '短评打分': 5}
{'短评内容': ' 离地铁站五分钟左右，卫生不错', '短评打分': 3}
{'短评内容': '其它什么也好，就是网太慢了，网页都打不开，建议升级', '短评打分': 3}
{'短评内容': '房间设施很好，干净卫生，就是离地铁站有点远，房间没有窗户。', '短评打分': 3}
{'短评内容': '非常好，价格公道，以后要是去玩还是住在这里。。。。。', '短评打分': 5}
{'短评内容': '很不错，干净又舒服。就是周边环境差点。下次还会再来', '短评打分': 5}
{'短评内容': '环境还好，服务不错。离地铁站有点远，性价比较高。在广州出差，价格比较划算。', '短评打分': 5}
{'短评内容': '还好，下次应该收拾干净一些', '短评打分': 3}
{'短评内容': '工作人员服务好，房间住的舒服。就是周边没什么好逛的。', '短评打分': 5}
{'短评内容': '非常好的酒店    价格便宜  住的很舒服   下次还住', '短评打分': 5}
{'短评内容': '还蛮干净的，交通还可以，就在广佛路口对面', '短评打分': 5}
{'短评内容': '安静，舒服，环境很好，去过那么多酒店和旅馆，这个还是很不错的一个。离汽车站很近。', '短评打分': 5}
{'短评内容': '前台服務很好 離地铁站很近 就是吃的不方便', '短评打分': 5}
{'短评内容': '房间布置很紧凑，但是也很温馨，感觉很好，我一连订了好几天的，看来如家的房间真的很紧张啊，我几乎每天都在换房间，住完之后续房都没有了，又要重新订过，之前住过别的快捷酒店，但是我还是觉得如家比较好，这不，又续了6天了，就是没有优惠让我有些小小心理不平衡，但是就性价比来说，是真的很不错了。', '短评打分': 5}
{'短评内容': '房间各方面都齐全，不错。', '短评打分': 3}
{'短评内容': '这是第数次住了。还是不错的。就是6点后到店需要信用卡担保~~', '短评打分': 3}
{'短评内容': '房间很温暖舒适 也很干净 服务人员态度很好连打扫的大妈都很热情  交通也很方便靠近地铁站 很推荐哦', '短评打分': 5}
{'短评内容': '很不错，很不错，很不错，很不错，很不错，很不错，很不错\n', '短评打分': 5}
{'短评内容': '价格还可以，就是周边环境不太好！服务确实很好的！下次到此附近时还住此', '短评打分': 5}
{'短评内容': '订的是商务大床房，很不错的温馨的小房间~~~不过就是隔音有点不好，，但是考虑到价格，那绝对是上上之选~~~~~', '短评打分': 5}
{'短评内容': '离地铁站很近 附近吃的很多很方便  淋浴的水很小 適合出行的朋友暫住 ', '短评打分': 5}
