{'短评内容': '还可以，经济实惠。', '短评打分': 5}
{'短评内容': '环境很好，住宿卫生干净整洁，离万达广场很近，购物和娱乐都非常方便，交通便利，服务人员态度很好，每次出差来都住这里。', '短评打分': 5}
{'短评内容': '应该是单身公寓出租的', '短评打分': 4}
{'短评内容': '不错，酒店位置好，卫生也不错', '短评打分': 5}
{'短评内容': '木有住到主题房  感觉不是很好', '短评打分': 3}
{'短评内容': '千万不要去万达那边的楼上住，我去，真的不怎么样，大家住之前最好先问清楚。', '短评打分': 2}
{'短评内容': '感觉房间设施好差，水龙头还是坏的，来回摆动，提前3天订的大床房，结果7号去了给我说暂时没有大床房，让我补了20块钱现金，给了间房子', '短评打分': 3}
{'短评内容': '物有所值，挺好的', '短评打分': 4}
{'短评内容': '房间确实很大，但是里面真的什么都没有', '短评打分': 1}
{'短评内容': 'Good price..next to wandaplaza....rooms clean but no service at all and some apartments are used as classrooms for education so very loud in the morning..for 1night sleepover is fine but would not cho', '短评打分': 3}
{'短评内容': '房间挺干净的，热水也比较给力，挺好的', '短评打分': 3}
{'短评内容': '地理位置很好，很划算', '短评打分': 5}
{'短评内容': '房间大。但没有酒店的温馨感觉。服务人员态度不行。早晨去早了，死气摆列的，连门都没开。 ', '短评打分': 1}
{'短评内容': '还不错，比一般的快捷酒店要大的多，比较干净，环境也比较安静。', '短评打分': 5}
{'短评内容': '总体环境尚好，交通便利。但是酒店服务水准有待改进', '短评打分': 5}
{'短评内容': '房间不错，我会推荐给我的朋友们，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店很新，屋内装修很好！唯一不好的是没有一次性拖鞋', '短评打分': 3}
{'短评内容': '地点好找,地段不错,房间也很舒适,环境很好.但是房间设施有点旧,希望以后会维护更新!总体来说比想象中要好.下次去还会选择', '短评打分': 5}
{'短评内容': '家具有些旧了，打扫也不轻快了，价格开始高了', '短评打分': 1}
{'短评内容': '还不错的 还不错的 还不错的 还不错的 还不错的 还不错的 还不错的 还不错的 ', '短评打分': 5}
{'短评内容': '挺干净的，就是家具开始有些旧了，位置不错。就是价格开始有些高了', '短评打分': 3}
{'短评内容': '这个价格很划算，周围交通也方便，逛街吃饭啥的地方也多。房间比较大，但是卫生条件不是很好，而且厕所总是一股恶臭~', '短评打分': 5}
{'短评内容': '前台服务态度不好，刚去的时候就很不耐烦，退房后我们想往那寄存点儿东西，前台说没地方但其实里面也没什么东西，典型的不消费了就不帮忙了。。。房间蛮大的，但床不舒服，而且阳台那无缘无故漏水，把我的相框都弄湿了。。。。。', '短评打分': 5}
{'短评内容': '酒店设施一般.比较脏', '短评打分': 3}
{'短评内容': '我换的三人家庭房，一个大床，一个小床，房间很宽敞，暖气、市话、免费宽带一应俱全，值得一提的是卫生间里也有单独的暖气，房间里热的估计有30度，打赤膊都没问题!后来我干脆把暖气关掉了，可还是一直热。毛巾、床单都很干净，客房楼层很高，所以很安静。位于万达广场出现也相当的方便，楼下除了有万千百货还有沃尔玛，所有这一切，每晚居然只要135元。总之，是相当的满意，以后有机会再来西安一定还选这里。强烈推荐', '短评打分': 5}
{'短评内容': '服务上挺好，随叫随到，办事效率也挺快的，设施挺齐全，卫生做得也不错，总体感觉挺舒适。', '短评打分': 5}
{'短评内容': '服务上挺细心挺周到，房间宽敞舒适，感觉很不错，下次还会光顾。', '短评打分': 5}
{'短评内容': '房间装修的挺时尚的，家具设施都挺好，住的挺有家的感觉。', '短评打分': 5}
{'短评内容': '价格挺实惠，设施挺完善，干净卫生，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '房间装修的挺不错，基本设施都有，床挺大挺舒适的。', '短评打分': 5}
{'短评内容': '卫生做得很到位，服务也挺好，房间挺干净挺舒适，价格还不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '我觉得比较星级的酒店要好，空间很大，布置的挺温馨，价格还合理，值得推荐。', '短评打分': 5}
{'短评内容': '房间大小还好，布置的挺温馨，电视空调等设施都有，感觉挺不错。', '短评打分': 3}
{'短评内容': '房间很大，落地式的窗户，采光很好，窗帘样式我挺喜欢，基本设施挺齐全，整体让人感觉很温馨很舒适。', '短评打分': 5}
{'短评内容': '位置很好，出行很方便，周边也有超市购物也挺方便，房间也挺大挺干净，住的挺舒适。', '短评打分': 3}
