{'短评内容': '早餐不错！', '短评打分': 5}
{'短评内容': '早餐不错啊！', '短评打分': 5}
{'短评内容': '早餐可以的不错了', '短评打分': 3}
{'短评内容': '还可以吧房间年限时间长，水不错', '短评打分': 5}
{'短评内容': '早餐丰盛', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '太差，房间异味大，太冷，服务态度不好。停车不方便。', '短评打分': 1}
{'短评内容': '环境好，房间陈设很新，设备新周边环换都还不错，早餐还算可以，三楼点商务宴会厅，总体还是不错的，推荐一下。', '短评打分': 5}
{'短评内容': '一般，太一般', '短评打分': 5}
{'短评内容': '不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～不错～', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很合适，很安逸，住了四晚', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住宿环境不错，早餐比以前好点，就是结账速度太慢。', '短评打分': 5}
{'短评内容': '出差一直住的酒店，挺方便的，离汽车站也近。', '短评打分': 5}
{'短评内容': '价格与服务、客房质量不能够成正比。但是在正地的话也只有此一家规模酒店了。很无奈！', '短评打分': 1}
{'短评内容': '房间宽敞，住的舒服，早餐一般，房间用品介绍没有，这点容易误导。', '短评打分': 5}
{'短评内容': '酒店设施新，餐饮也很好。', '短评打分': 3}
{'短评内容': '在吕梁这里 酒店还不错了 就是客房的卫生跟不上 马桶老是看到异物', '短评打分': 3}
{'短评内容': '早点很好', '短评打分': 3}
{'短评内容': '酒店很好，服务员素质差。', '短评打分': 3}
{'短评内容': '这里挺好的，环境也不错，店内的卫生也很好，早餐一般点，就是隔音不好，好象别的房间里有些响动，都知道。', '短评打分': 5}
{'短评内容': '不错，服务不错、地段不错，环境也可以，值得推荐。但唯一不足的就是，居然没有外拨电话，这是我从来没遇到过的。', '短评打分': 5}
{'短评内容': '在吕梁地区这是一个各方面还可以的酒店。性价比好。', '短评打分': 5}
{'短评内容': '早点不错，酒店服务好设施也可以', '短评打分': 3}
{'短评内容': '会半夜敲门，查身份证，影响休息，装修还可以，服务态度一般，不要求服务的可以考虑', '短评打分': 1}
{'短评内容': '这里挺好的，环境也不错，店内的卫生也很好，早餐一般点，就是隔音不好，好象别的房间里有些响动，都知道。\n', '短评打分': 5}
{'短评内容': '不错，服务不错、地段不错，环境也可以，值得推荐。但唯一不足的就是，居然没有外拨电话，这是我从来没遇到过的。', '短评打分': 5}
{'短评内容': '房间装修上可，但隔音较差，早餐档次也很低，不像4星的酒店。', '短评打分': 1}
{'短评内容': '好，第三次入住了。', '短评打分': 3}
