{'短评内容': '早餐挺好的，服务挺好的！康丽服务很好', '短评打分': 5}
{'短评内容': '前台服务员沐一娇和崔丽华服务态度很好下次一定会来', '短评打分': 5}
{'短评内容': '服务非常好！赞赞赞！孙娟，邹婷，谢谢你们！', '短评打分': 5}
{'短评内容': '做为溧阳地区的形象的确名不虚圈，房间整洁，服务热情，设施齐全。特别是酒店服务，孙娟和崔丽华热心周到，给人宾至如归的感觉，五星好评', '短评打分': 5}
{'短评内容': '做为溧阳地区的形象的确名不虚圈，房间整洁，服务热情，设施齐全。特别是酒店服务，孙娟和崔丽华热心周到，给人宾至如归的感觉，五星好评。', '短评打分': 5}
{'短评内容': '酒店服务非常，大唐小崔服务非常贴心，孙娟的接待也非常好，总体满意', '短评打分': 5}
{'短评内容': '给免费升级了套房，房间环境设施都很满意，前台小沐服务很好，早餐也不错', '短评打分': 5}
{'短评内容': '服务人员服务态度不错，酒店硬件也不错，以后还会光顾的。', '短评打分': 5}
{'短评内容': '还不错，给升了级，阳台望出去能看到湖........的一端，山水园和水世界就在咫尺，去南山竹海车站也就在旁边，前台开单能买景点八折票', '短评打分': 5}
{'短评内容': '第一次在京东抢订酒店，总体还是不错的', '短评打分': 5}
{'短评内容': '京东的酒店服务体验非常差，第二次了，过了半天才跟我说没定上，也不想办法解决，我都快到酒店了，多花了几百块直接入住的。', '短评打分': 1}
{'短评内容': '环境不错，前台的沐一姣小妹服务挺好，，，，', '短评打分': 5}
{'短评内容': '房间很干净，服务员态度很好，酒店距天目湖很近，环境很好，停车也很方便', '短评打分': 5}
{'短评内容': '很不错……推荐……', '短评打分': 5}
{'短评内容': '小沐服务好', '短评打分': 5}
{'短评内容': '前厅小杨服务态度好，服务很热情，还送的小礼物，小朋友很喜欢，下次还会再来，谢谢', '短评打分': 5}
{'短评内容': '环境服务都一流，有为宝宝准备的小拖鞋和牙刷，早餐也超赞！前台小杨，小孙很热情，周到！值得推荐！棒棒棒！', '短评打分': 5}
{'短评内容': '环境优美！王玉萍服务好，热情！鱼头味道不错！房间很温馨！', '短评打分': 5}
{'短评内容': '酒店环境一流，餐厅服务员刘潇周到热情，细心体贴', '短评打分': 5}
{'短评内容': '环境不错，餐厅服务特别热情', '短评打分': 5}
{'短评内容': '前提小沐，小史服务热情周到！', '短评打分': 5}
{'短评内容': '房间很大，住的很舒服。前台小孙服务也很热情，感觉不错！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '和客户一起游玩，酒店环境还是不错的', '短评打分': 5}
{'短评内容': '酒店设施，房间都显旧了', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店服务不错。我当天晚上入住酒店，在酒店用餐。当时不知道入住酒店的话，用餐可以打95折。到退房时才知道这个事情。跟退房处说了下这个事情，他们复核了下之后，立马在我的房费中扣除折扣的费用。\n因为我当天晚上已经结账了，没想到第二天还能享受到这个优惠，真的好开心！', '短评打分': 5}
{'短评内容': '我们住的是标准间B，房间挺大，卫生间有浴缸和淋浴，但浴缸有点小，鱼头汤不错', '短评打分': 5}
{'短评内容': '去天目湖游玩不错的选择，就在山水园的旁边，去玩走几步就到，很方便，酒店服务热情周到，房间空间大，住高一点楼层的话能看到美丽的湖景，酒店底楼的天目湖鱼头砂锅也很鲜美。就是节日里去的，价格偏贵~~~', '短评打分': 5}
{'短评内容': '#服务态度一流，环境非常好', '短评打分': 3}
{'短评内容': '酒店很干净，服务也好，离天目湖山水景区步行只有2分钟！十分棒滴', '短评打分': 5}
{'短评内容': '是个非常好的酒店，服务，环境，卫生，都不错，最值得一提的是，我们退房再去常州的路上，酒店告知我们有东西落下了，我们正为难，酒店方面说可以邮寄到府上，真的非常感谢，值得一住', '短评打分': 5}
{'短评内容': '环境挺好的酒店，鱼头很好，服务的质量也不错的', '短评打分': 5}
{'短评内容': '天目湖位置最好的五星酒店，去了一定要吃那398元的鱼头，吃不完还可以存起来下餐吃。相比早点简单了些，', '短评打分': 5}
{'短评内容': '鱼头很嫩，汤很鲜美，就是价格有点贵哦。房间很宽敞，但是到了晚上发现房间了很不少小飞虫挺讨厌的', '短评打分': 5}
{'短评内容': '我很喜欢这家宾馆 每次都住这 服务员很亲切', '短评打分': 5}
