{'短评内容': '大窗户，很便宜，淡季的酒店很划算', '短评打分': 5}
{'短评内容': '房间不错，性价比高，大窗户还很便宜', '短评打分': 5}
{'短评内容': '房间干净，卫生可以，服务热情，设施齐全，有免费停车场，热水充足，隔音效果好，交通便利，距离火车站近', '短评打分': 5}
{'短评内容': '酒店位置较好，有免费的停车场，距离火车站近，设施齐全，房间干净，服务热情，周边环境好，值得入住', '短评打分': 5}
{'短评内容': '酒店位置方便，距离火车站近，房间干净，不吵，隔音好，性价比高，前台服务热情，出门吃饭方便，值得推荐入住', '短评打分': 5}
{'短评内容': '7天连锁酒店(青岛火车站中山路店) 自主大床房', '短评打分': 5}
{'短评内容': '用了各种券之后 总算比如官网便宜了', '短评打分': 5}
{'短评内容': '酒店位置很好，附近交通便利，较比设施环境，价格略高了，不过对于中转的游客来说还是不错的选择～', '短评打分': 5}
{'短评内容': '感觉不太好', '短评打分': 3}
{'短评内容': '说是七天酒店，其实是加盟店，酒店卫生凑和吧！', '短评打分': 4}
{'短评内容': '酒店设备较旧，但酒店周边有一个海鲜市场，有超市，公交，还是比较方便的，可以在海鲜市场买点海鲜到附近的饭店加工。', '短评打分': 4}
{'短评内容': '总体还是不错', '短评打分': 5}
{'短评内容': '   该酒店前台服务质量太差了，问什么都是一问三不知。房间设施太差，洗手间晚上居然有不名动物，好吓人哟。再就是就那样的店子房间贵得有点吓人，旁边有个酒店比它好多了，房价又便宜。希望大家不要上当了。', '短评打分': 1}
{'短评内容': '离火车站太遥远，交通主要靠步行，没热水，没暖气，不满意', '短评打分': 4}
{'短评内容': '略小啊，但是旅游旺季也就这样了', '短评打分': 3}
{'短评内容': '还可以，挺好的，面积挺大', '短评打分': 5}
{'短评内容': '这个价格，真是很不错，性价比很高，很干净', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间不大，但是设施齐全，服务态度好，每天晚上还有酸奶哦！', '短评打分': 5}
