{'短评内容': '还不错？？？', '短评打分': 5}
{'短评内容': '环境还好，就是感觉每次回来一股潮味', '短评打分': 4}
{'短评内容': '在桂林住了两天，觉得这家不错，有免费停车场，酒店位置离象鼻山公园不远，骑摩拜或小黄车很方便。', '短评打分': 4}
{'短评内容': '有停车场，位置虽然偏了一定，还是不错的宾馆，房间合适。', '短评打分': 5}
{'短评内容': '环境很好，有点偏，但非常安静。环境真的不错！！环境真的不错！！！！环境真的不错！！！重要的事情说三遍。。哈哈。。。。。', '短评打分': 5}
{'短评内容': '一般，周边环境不好，总还行。。。。。。。。。。。。。。。。。在。。。。。。。。。。在。。。。。。。。。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '干净整洁。距离西街稍微远了一点。', '短评打分': 5}
{'短评内容': '有点旧，但服务不错', '短评打分': 4}
{'短评内容': '出差去了这里，想着离电脑城近点，却还是远。出门就是菜市环境很差，不会再来了！', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '整体来说还不错，唯一就是价格贵一点', '短评打分': 4}
{'短评内容': '不管出差还是旅游我都选择锦江之星简约、干净，服务一流。', '短评打分': 5}
