{'短评内容': '无语无语无语', '短评打分': 1}
{'短评内容': '停车够方便', '短评打分': 5}
{'短评内容': '不方便，特别是吃东西找不着地。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错，感谢所有工作人员。', '短评打分': 5}
{'短评内容': '房间很舒适 我很喜欢 特别是 安全问题 跟房间空间大小都很满意 以后继续支持', '短评打分': 5}
{'短评内容': '好评专用： 吾消费京东商城数年，深知各产品琳琅满目。然，唯此宝物与众皆不同，为出淤泥之清莲。使吾为之动容，心驰神往，以至茶饭不思，寝食难安，辗转反侧无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾之所有而能买。东哥之热心、快递员之殷切，无不让人感激涕零，可谓迅雷不及掩耳盗铃儿响叮当仁不让世界充满爱。待打开包裹之时，顿时金光四射，屋内升起七彩祥云，处处皆是祥和之气。吾惊讶之余甚是欣喜若狂，呜呼哀哉！此宝乃是天上物，人间又得几回求！遂沐浴更衣，焚香祷告后与人共赏此宝。人皆赞叹不已，故生此宝物款型及做工，超高性价比之慨，且赞吾独具慧眼与时尚品位。产品介绍果然句句实言，毫无夸大欺瞒之嫌。实乃大家之风范，忠义之商贾.', '短评打分': 5}
{'短评内容': '酒店不错 卫生中规中矩 房间刚好 该有的都有', '短评打分': 5}
{'短评内容': '交通挺便利的，而且酒店房间很干净，前台客服和保洁阿姨的服务态度都很好，性价比挺高的。而且一进门前台还帮我倒了一杯很好喝的咖啡，走的时候还有送小礼品，这也太贴心了。不错不错真心不错，都舍不得走了。?', '短评打分': 5}
{'短评内容': '房间出于意料的大，相对干净整洁。设施也较为齐全，这个价对得起 。以后有需要还会选择订购此酒店哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店原因所以取消了退款了 ，商家也很尽心尽职的打电话来跟我解释 然后帮我安排了附近的酒店。 如果以后还有需要肯定还会来住看看的。', '短评打分': 5}
{'短评内容': 'ganjin.  tingh', '短评打分': 5}
{'短评内容': '呃，这个是公司同事介绍的，只能呵呵了，90年代招待所的感觉，应该是当地连锁，连七天都比这个好，应该不会再住，各种不方便', '短评打分': 3}
{'短评内容': '大冷天会突然停热水，让你洗冷水，问总台为什么停热水，答复是：你等等吧。', '短评打分': 2}
{'短评内容': '朋友住着，卫生安静干净，说还不错，性价比可以', '短评打分': 3}
{'短评内容': '朋友住着，卫生安静干净，说还不错，性价比可以', '短评打分': 3}
{'短评内容': '房间不错，很安静，早餐也丰盛', '短评打分': 5}
{'短评内容': '总体不错，下次还来', '短评打分': 5}
{'短评内容': '房间卫生状况不错，就是隔音效果不是很好。', '短评打分': 4}
{'短评内容': '不错，很舒服的感觉！', '短评打分': 5}
{'短评内容': '环境一般，比较安静，服务态度好', '短评打分': 4}
{'短评内容': '环境一般，配套还可以，服务态度好', '短评打分': 4}
{'短评内容': '酒店周围环境不是特别好，但内部环境还可以，服务也算令人满意。房间里的电话是免费拨打的。', '短评打分': 4}
{'短评内容': '因为第一天住的不错所以后来又续住了三天，酒店的工作人员很负责，缺了什么东西他们都会自己送上楼，而且每天都会来打扫，根本不用客人提醒。我住的是精致房在最顶楼五楼，很安静。值得一提的是酒店的电梯超级凉快，即使是从房间里走出来进到电梯，也会让人打一个寒颤，倒是挺适合从外面走进来的客人。', '短评打分': 5}
{'短评内容': '酒店前台工作很到位，第一天入住的时候，前台一个个打电话确认有没有打扫完的房间，因为还没有打扫完，在楼下等了一会就好了。酒店里面，一开门就有一股淡淡的玫瑰香味，房间明亮整洁，让人很舒服。', '短评打分': 5}
{'短评内容': '很好，不过精致房都在一楼，我不喜欢一楼！但是环境还挺安静的！', '短评打分': 3}
{'短评内容': '非常好的酒店，房间干净，周围餐饮较多，公交便利，离机场也不远。价钱也不算贵。还赠送厦门地图，还有待为打车等多种服务。', '短评打分': 5}
{'短评内容': '这家店离机场蛮近的，我早上要坐7点的飞机，5点45去退房的时候，前台会帮忙Call的士，去到机场也才十三块钱。房间不错，我住的是特色双床房，酒店里面用的沐浴露和洗发水都是品牌货，挺不错的。酒店的电梯要有房卡才能选楼层启动，连电梯里都有空调，这个不错。然后电视，可以选好多电视剧耶~电视剧都挺新的~对于我们这些广东人来说，看不到港剧是超级不习惯啊~~~因为我坐的是早机，早餐要到七点才提供，我就没有机会', '短评打分': 5}
{'短评内容': '和女朋友住最顶层，本来是很浪漫的，但是由于那时住太热了，呵呵，整个房间像蒸笼', '短评打分': 5}
{'短评内容': '很棒的酒店!免费电话。还有无线呢!', '短评打分': 3}
{'短评内容': '第二次入住，感觉还是不错的。\n给后来住宿的朋友提醒一下：精致大床房和个性大床房是一样的房型一样的设施，之所以价格会差几十块，是因为精致大床房的位置一般在临街或电梯口，会比较吵一些。而个性的会在后面几间，比较安静。\n这次入住一个极其不爽的事，说是我定了个性大床房，但是我到的时候说没有了，过五分钟又说有了，然后让我入住。因为是第二次入住，我发现这次是电梯口第一间，应该是精致大床房才对，又下去总台质问，', '短评打分': 5}
{'短评内容': '房间真的很好，很干净，整体都不错，电视频道也很多100多个台呢，好评好评呀', '短评打分': 3}
{'短评内容': '设备环境超级不错！强力推荐，每次去我都找青年阳光酒店~', '短评打分': 5}
{'短评内容': '床很软，超级大，离机场算是近的，晚上下楼有很多大排档', '短评打分': 5}
{'短评内容': '服務不錯', '短评打分': 3}
{'短评内容': '看了点评才定的房间 果然不错，服务态度好 价格合理', '短评打分': 5}
{'短评内容': '这次厦门之行，青年阳光是住的最满意的一次了，性价比很高，然后酒店各设施都比较好。以后还会选择她的连锁酒店的。', '短评打分': 3}
{'短评内容': '客观的说，这个酒店整体不错：第一，枋湖店的位置不错，市中心，离厦门四周都近，除了去环岛路远了点。第二，独门小院，有点闹中取静的意思，整体不吵。第三，价格在厦门市区确实算不高的。第四，卫生和服务员的专业性值得表扬。所以，下次再到厦门，还会选择这里。', '短评打分': 5}
{'短评内容': '是我四天去了四个城市中最好的一家，环境好，卫生好，各方面都不错，从机场打车来15元，早上去枋湖汽车站一公里多，公交车站坐也可以，打车不超过跳表，挺方便的，好评。推荐。', '短评打分': 5}
{'短评内容': ' 环境还可以，就是床上面偶尔会有小蚂蚁，建议选择高一点的楼层。', '短评打分': 3}
{'短评内容': ' 酒店整洁 服务温馨', '短评打分': 3}
{'短评内容': '设施好，下次还会入住。', '短评打分': 3}
{'短评内容': '房间很大，很干净！第一印象很赞！！服务热情。', '短评打分': 3}
{'短评内容': '很干净，离机场很近，服务很好，不潮湿，下次一定继续选择青年阳光。', '短评打分': 5}
{'短评内容': '挺干净的，送早餐和免费morning call帮了大忙，服务员的态度特别诚恳。', '短评打分': 5}
{'短评内容': '离机场比较近，房间很干净，床也很舒服，比一般的商务酒店要好！停车场很大，开车来厦门的话这个酒店最合适了', '短评打分': 3}
