{'短评内容': '很贵', '短评打分': 5}
{'短评内容': '一直住这里，每年都住的，早餐非常好，非常便宜，没留有车位，内部有点老旧啦，年月比较久啦，总之一切不错', '短评打分': 5}
{'短评内容': '酒店环境真的很好，下次还会来', '短评打分': 5}
{'短评内容': '这个酒店比较老了', '短评打分': 3}
{'短评内容': '早餐没有以前好了，设施也比较老', '短评打分': 4}
{'短评内容': '不咋滴，不如边上那家', '短评打分': 3}
{'短评内容': '我住的房间太小。', '短评打分': 4}
{'短评内容': '离开两个展区都不远，附近有些吃的，感觉一般般，下次估计换个地方试试。要吐槽他们二楼的酒喝餐厅，入住的时候，说好了 凭房卡可以打折，到晚上吃完饭付款的时候，餐厅抵死不承认有这回事，感觉被小小的欺骗了', '短评打分': 3}
{'短评内容': '老旅馆，离展馆很近，二楼有餐厅，提供早餐和晚上点菜。去的时候还有点热，外国客户抗议太热，说是中央空调这个季节已经关了，协调后将我们换到后面新楼，有独立空调解决问题 赞一个！', '短评打分': 3}
{'短评内容': '住了好多次 物美价廉', '短评打分': 5}
{'短评内容': '住了好几次 还不错', '短评打分': 5}
{'短评内容': '已经是多次入住该酒店了。酒店周围交通便利，小吃很多，评价还是一贯的好，特别是前台，还是那么的热情，下次还会入住。值得推荐！', '短评打分': 4}
{'短评内容': '房间设施不是贴别好，比较潮湿没有早餐可以食用', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '房间大，地毯不好。', '短评打分': 4}
{'短评内容': '服务良好', '短评打分': 5}
{'短评内容': '虽然旧了点，但是还不错，早餐不错，有很东西，服务到位', '短评打分': 5}
{'短评内容': '很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！', '短评打分': 5}
