{'短评内容': '什么都很好，就是网络真的很烂，该升级了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '嗯  环境好好哒  卫生啥的都好  服务也到位', '短评打分': 5}
{'短评内容': '还行还行还行', '短评打分': 4}
{'短评内容': '一般，东西比较残旧', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以，能住', '短评打分': 4}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '喜欢卫生间的门，其他都挺好住好几次了', '短评打分': 5}
{'短评内容': '挺满意的', '短评打分': 5}
{'短评内容': '马桶冲水冲不了，叫服务员来处理，服务员说就是这样的。。。', '短评打分': 2}
{'短评内容': '感觉环境还不错，住得还挺舒服的，很干净。', '短评打分': 5}
{'短评内容': '住得很舒服，大赞。', '短评打分': 5}
{'短评内容': '还不错，出行方便，价格实惠，酒店的安全性还须加强。', '短评打分': 5}
