{'短评内容': '酒店干净也很新∵，老婆很满意', '短评打分': 5}
{'短评内容': '房间很大一部分原因是因为没有安全感和满意度最高性价比超高了？你是因为别人知道自己到底是什么意思！在家呢。', '短评打分': 5}
{'短评内容': '很喜欢。位置方便。', '短评打分': 5}
{'短评内容': '好评，房间不错', '短评打分': 5}
{'短评内容': '房间内设施比较旧。其他都比较一般。', '短评打分': 4}
{'短评内容': '垃圾酒店，我在携程12月3号晚上一开始订了个双人床房间261元，晚上十一点多进去了说要两张身份证，我女朋友没带，就不让住，叫我去携程退房，携程退不了，前台也不让住，说要两张身份证，我自己订的房还不让我住了，有这样的服务吗，无耻，又让我重新订单人床房间才给住，那么晚了实在是没办法又按前台说的订了个房，总共花了我500多，还一间房空着，这酒店真是太无耻了，建议大家谨慎去品悦酒店开房！！！', '短评打分': 1}
{'短评内容': '垃圾酒店，我在携程12月3号晚上一开始订了个双人床房间261元，晚上十一点多进去了说要两张身份证，我女朋友没带，就不让住，叫我去携程退房，携程退不了，前台也不让住，说要两张身份证，我自己订的房还不让我住了，有这样的服务吗，无耻，又让我重新订单人床房间才给住，那么晚了实在是没办法又按前台说的订了个房，总共花了我500多，还一间房空着，这酒店真是太无耻了，建议大家谨慎去品悦酒店开房！！！', '短评打分': 1}
{'短评内容': '酒店还行，在市中心。里面还是挺不错，房间比较大，尤其是洗手间，都可以在做一个房间了。唯一不足的就是没有早餐', '短评打分': 5}
{'短评内容': '没wifi 空调很吵 房间有股味道，九层十层在装修 也没有概念房换了 服务员态度也一般 心塞 对东莞印象很差', '短评打分': 3}
{'短评内容': '靠近路面这边的房间还是有点吵。增值税发票没法当场开（前台说要15个工作日），水单打印机坏了，第二联根本看不到字。其他都还好。', '短评打分': 5}
{'短评内容': '房间有点旧，住的房间有点霉味，价格还算可以，服务态度也一般般，总之住起来并不是特别的舒服，如果要求较高的住户，建议选择其它', '短评打分': 4}
{'短评内容': '环境不错 可是前台服务态度不好 开房等半天', '短评打分': 3}
{'短评内容': '好好好好好！！！！！！', '短评打分': 4}
{'短评内容': '一直住，不错～～～～～～～～～～', '短评打分': 5}
{'短评内容': '房间里照明太暗了', '短评打分': 4}
{'短评内容': '好。。。。', '短评打分': 5}
{'短评内容': '总体来说，还是可以的\n', '短评打分': 5}
{'短评内容': '早餐还可以，比较丰盛。\n就是房间感觉不太宽敞。房间的味道也不是太好。', '短评打分': 5}
{'短评内容': '客人反映不错。', '短评打分': 3}
{'短评内容': '酒店较新，交通方便，性价比高。但空调不给力，希望改进。', '短评打分': 3}
{'短评内容': '每次去东莞只要有机会就会住这里，性价比很高，房间装修设施很干净，不错。交通也便利。就是早餐需要改进', '短评打分': 5}
{'短评内容': '地点好，房间干净，服务不错，价格不平易，休息得好，会再住。', '短评打分': 5}
{'短评内容': '酒店蛮干净，交通方便，周边饭店很多，每次来东莞都会住这里，早餐不够精致，口味一般', '短评打分': 5}
{'短评内容': '酒店很干净，位置也不错，方便出行、吃饭等活动！', '短评打分': 5}
{'短评内容': '环境不错！！但是还是不喜欢中央空调，喜欢单独的冷气~！', '短评打分': 5}
{'短评内容': '很干净,早点不错。很好', '短评打分': 3}
{'短评内容': '超值高性价比的酒店。除了房间不够亮之外都很满意。很喜欢早餐餐厅，环境总的很不错！', '短评打分': 5}
{'短评内容': '大廳的WIFI超慢~!!! 有時候晚上還碰過客人把房門打開來講話, 超大聲.\n酒店應該叫他們把門關起來講. 不然很吵的~! 其它就還不錯.', '短评打分': 5}
{'短评内容': '不错！前台服务和效率很好！房间配置齐全！缺点就是早餐比较单调！', '短评打分': 3}
{'短评内容': '房间够大，设施好，就是早餐的种类少了点。', '短评打分': 5}
{'短评内容': 'OKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOK', '短评打分': 5}
{'短评内容': '垃圾啊烂啊！！！！！！！！酒店噪音极大啊！！！！服务员说每个房间都是如此啊！！！从来没有见过这么极品的服务啊！！！高级商务房都没有电脑啊！！！又花了40元加电脑！！！网速慢的跟蜗牛似的！！！10k啊！！！网吧40元钱也不至于您这酒店这德兴吧！！！', '短评打分': 1}
{'短评内容': '酒店的性价比很高，房间很干净，显得高档，服务也不错。早餐一般般，感觉没什么东西吃，热切口味比较差。', '短评打分': 5}
{'短评内容': '位置很好，对面有美食街。\n内部装修也不错，很新，还有水果送。\n停车场太小，停车不方便。这个价位来看，性价比一般', '短评打分': 5}
{'短评内容': '早上九時有服務員敲門, 問有沒有衣服要洗, 開門告訴他沒有\n十時又有人來再問一次, 不知所謂\n整天水管也傳來水聲\n冷氣完全不夠, 蓋被子睡時全身都是汗, 冷氣管道還不時有機氣的聲音\n隔音特差, 已經住在最高的十樓, 車聲還是很大, 樓下的可想而知', '短评打分': 1}
{'短评内容': '酒店很新，装修的不错，比较气派。性价比也不错，房间很大，很舒适，地理位置也还不错。值得推荐。', '短评打分': 5}
{'短评内容': '还不错，东莞酒店的内饰都做得挺好，周边很方便', '短评打分': 5}
{'短评内容': '外表比较一般，内部是相当不错的酒店，性价比很高，床也很舒服，值得住。', '短评打分': 5}
{'短评内容': '很赞的酒店，房间床很舒服，早餐也丰盛，值得入住，下次去东莞还会去的！', '短评打分': 5}
{'短评内容': '环境还不错，卫生也很好，卫生间不错，隔音不错，个方面都还好吧，对得起这个价钱了，以后还会住这里。比起深圳的4星级好像还要好', '短评打分': 5}
{'短评内容': '这酒店交通方便，干净整洁，特别是床很舒服，但是价格有点贵。', '短评打分': 5}
{'短评内容': '价格便宜，算是性价比不错的酒店。而且房间装修比较新，硬件设施还是不错的。\n但是软件，人员管理，不太专业，不过态度尚可。', '短评打分': 5}
{'短评内容': '不错，东莞酒店性价比之选。万恶的字数万恶的字数', '短评打分': 5}
{'短评内容': '洒店所处的地理位置比较好,市中心,比较热闹.环境大体也还算可以.', '短评打分': 5}
{'短评内容': '位置不错，对面美食街，吃饭方便，酒店外观一般，内部不错', '短评打分': 5}
{'短评内容': '环境很好，房间舒适，服务也不错', '短评打分': 3}
{'短评内容': '酒店服务很好，很干净，房间也不错，装修的比较新。', '短评打分': 5}
{'短评内容': '酒店设施新，送水、送饮料、送报纸，自助餐丰盛，性价比高，', '短评打分': 5}
{'短评内容': '地理位置不错，出行和吃饭都很方便。下次还会来', '短评打分': 5}
{'短评内容': ' 悦，阅结合，酒店的书吧不错。推荐。', '短评打分': 3}
{'短评内容': '结账的时间花了半个小时，好像是网络不好还是怎么的，总之急人', '短评打分': 1}
{'短评内容': '早餐越来越简单了。。。    。。。。。。，。', '短评打分': 5}
{'短评内容': '服務親切,早餐豐富,有星級酒店的水準,值得入住.', '短评打分': 5}
{'短评内容': '这家酒店好可以，住了几次感觉都挺好的，服务态度很好，可是如果外面有人说话会听的到，装修很有家的感觉。下次还会选择它', '短评打分': 3}
{'短评内容': '昨天也不知哪来的声音，半夜把我弄醒了。。。', '短评打分': 5}
{'短评内容': '前两天房间有一份报纸，以为是每天都会有，但只是以为，再也没出现过', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '也不知是哪里的问题，晚上睡觉时感觉外面有噪音，不是路上的声音，像是风机什么的', '短评打分': 5}
{'短评内容': '今天的早餐怎么有点简单了，不知为何。。。。。。。', '短评打分': 5}
{'短评内容': '走的时间我是关灯的，回来时是开灯的，浴巾在地上。。。', '短评打分': 5}
{'短评内容': '第一天入住时，房间还没准备好。。。。...', '短评打分': 5}
{'短评内容': '空调老坏，早餐有点简单。。。。。l。。。', '短评打分': 5}
{'短评内容': '住了5次了，次次感觉好，不过这一次去的时候旁边住的人太吵了，没有休息了，以后提醒一下暂住人员不要太吵，。。。', '短评打分': 5}
{'短评内容': '真不知該怎麼點評 前台培訓完全沒到位 告知是通過藝龍網訂房 前台說 沒有訂房\n也沒和藝龍網確認 就給朋友一間小房間要他先入住(我晚到) 整個態度極其惡劣  朋友打電話告之我 我馬上打電話給藝龍網 客服給我確認單號  我再打回品悅 品悅說他在等藝龍回傳確認單給他  真的太離譜啦  只好在打給藝龍 請他直接打電話過去 才順利換到原來預定的房  第二天下午外出回來 發現門卡居然不能開 連絡前台 前台請樓', '短评打分': 1}
{'短评内容': '很好，非常满意。服务不错，环境不错，景色怡人。', '短评打分': 5}
{'短评内容': '这个价格带给我的感觉出乎意料之外：房间空间够大，卫生间的设施和用料都挺讲究，就是靠街那一面没有双层玻璃较大噪音，后来换一间没窗户的（因为没房了），就好多了；早餐也挺丰盛的。服务员有礼貌，酒店不错，适逢酒店三周年庆，还抽中奖品，呵呵！', '短评打分': 5}
{'短评内容': '每次出差都住在这个地方，整体感觉不错。早餐炒河粉是个好东东，一起去的同事每次都要点这个，如果周边有个地方可以跑步，有地方活动一下就好了，旁边东莞山庄有好大的一个地方可以跑步，活动，呵呵。。。', '短评打分': 5}
{'短评内容': ' 不错的酒店，还有水果送，房间和床都很舒服，对面就是银丰路，吃饭的地方很多。推荐！', '短评打分': 3}
