{'短评内容': '位置不错。旁边就是地铁站。购物方便', '短评打分': 5}
{'短评内容': '老顾客了。很舒适', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '帮同事订的，还不错，同事说标间床居然是1.5米，没有想到，房间挺大的，.......，还要8个字，呵呵', '短评打分': 5}
{'短评内容': '没想到金沙附近还有这家信价比超高的酒店，到成都都快12点了，前台给我免费升级，早餐在比一般三星酒店强，忘拍图了，下次来还来', '短评打分': 5}
{'短评内容': '已经很多次住这个酒店了，每次来出差都住这里，价格实惠，交通便利，酒店服务也不错，房间整体风格比较好，以后还回来。', '短评打分': 5}
{'短评内容': '房间不错，每次都住这个，房间面积很大', '短评打分': 5}
{'短评内容': '不错的房间，值得住', '短评打分': 5}
{'短评内容': '不错，下次还订', '短评打分': 5}
{'短评内容': '额~除了厕所很臭有味道，其他很好。早餐不错，真的！', '短评打分': 5}
{'短评内容': '基本每次都是住它们这！总体来说还可以很好', '短评打分': 5}
{'短评内容': '房间整洁上再次居住、站在高处一览光景不错！', '短评打分': 5}
{'短评内容': '第二次住了，还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出差常住酒店', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '房间宽敞舒适', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间宽敞舒适，早餐可以。', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 4}
{'短评内容': '帮亲戚订的房间，他们说环境不错，还有早餐！', '短评打分': 5}
{'短评内容': '待人预定的，不知道怎么样！', '短评打分': 3}
{'短评内容': '前台接待服务态度太差了，毛巾脏，这次是同事推荐来住的，下次自己选，肯定不来住了。', '短评打分': 2}
{'短评内容': '环境非常不错，帮亲戚预定的，交通也很方便！', '短评打分': 5}
{'短评内容': '：该酒店沒介绍图片那么好，也不是正规酒店设计，系由商住楼改建，面积够大但装修简单绝对不够号称四星！按此收费太贵！', '短评打分': 3}
{'短评内容': '消费券兑换程序员过于烦琐', '短评打分': 3}
{'短评内容': '酒店软硬环境均不错。地理位置较佳，房间安静、卫生、舒适；服务员下单日期填错了但态度诚恳；早餐品种也还算丰富。价格再优惠一点更好。', '短评打分': 5}
{'短评内容': '服务态度极差，酒店早上很吵，设施一般，两个台灯全坏，网线上不了网，房间里还是木地板，连地毯都没有，300多的房间完全不值！！', '短评打分': 3}
{'短评内容': '酒店环境很好，房间很干净，卫生状况很好，配套齐全。', '短评打分': 5}
{'短评内容': '态度不错。房间设施一般，浴室洗手间排水孔排水慢，洗澡后水漫金山似的，马桶冲水后，洗手间还是有异点异味。要说四星真心觉得有距离。', '短评打分': 3}
{'短评内容': '酒店比较新，房间宽敞，就是前台比较小气。总体还是不错的，价格略贵。', '短评打分': 5}
{'短评内容': '酒店大堂很很一般，房间设施挺好的。大堂和前台服务可以更好的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '其他还可以，床够宽，但洗手间不知什么原因有异味。', '短评打分': 1}
{'短评内容': '酒店设置较新，早餐很一般，地理位置还好，价格算合理，值得推荐。\n ', '短评打分': 5}
{'短评内容': '很满意酒店的房间，非常的宽敞，设施也很新。不足的是没有保险箱，也无法从柜台租赁保险箱。另外一个问题是洗漱用具需要单独够买。总体来说还是比较满意的', '短评打分': 5}
{'短评内容': '酒店位置很好，装修尚可，服务也不错，推荐入住！', '短评打分': 5}
{'短评内容': '空调和卫生间对不起328人民币一夜，其它多好', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '房间有异味。 前台服务态度不错。专业就有点。。 显得比较忙乱。', '短评打分': 1}
{'短评内容': '不错  标间很大 很舒服 早餐也丰富  就是大堂太小气 退房慢', '短评打分': 5}
{'短评内容': '一家刚开的新店，还有一点味道，服务和位置都不错。', '短评打分': 5}
{'短评内容': '感觉还不错！房间挺大的，就是空调噪音稍微大了一些！', '短评打分': 5}
{'短评内容': '东西很新，硬件设施很好，软设施差点。不错。', '短评打分': 5}
{'短评内容': '空调不能用，无法制热，屋内很冷，晚上难以入睡。', '短评打分': 1}
{'短评内容': '房间很一般总体感觉不是特别好进去之后也没大堂，服务员也很少，出行还好，价格也一般。', '短评打分': 1}
{'短评内容': '还行；就是停车麻烦点。房间比较整洁，但床单上有点污渍，可能是没有洗干净。', '短评打分': 5}
{'短评内容': '新开业商务酒店，就是靠近金沙近，其他地方乏善可陈', '短评打分': 5}
{'短评内容': '整体酒店条件还不错.位置比较好交通出行都挺方便的.去机场半小时车程.服务也不错.', '短评打分': 5}
{'短评内容': '酒店装修设施很新就是有点味道，服务挺好的，地理位置也不影响出行，性价比也很合适，环境很不错。', '短评打分': 5}
{'短评内容': '酒店不错。房间还是比较新的，就是大堂小了点', '短评打分': 5}
{'短评内容': '很好，很强大\n没蚊子，没苍蝇，没蟑螂\n交通方便，四季如春\n', '短评打分': 5}
{'短评内容': '总是参考别人的酒店评价，对选择酒店起了很大的作用，不好意思，我也评价一下：\n\n1 酒店房间很大\n2 标准间的床很大，床垫很舒服\n3 电视是液晶的，效果很好\n4 卫生间比较小，地漏不太好用\n5 退房比较慢\n6 早餐比较简单，但是味道还可以', '短评打分': 5}
