{'短评内容': '很爽，很舒服', '短评打分': 5}
{'短评内容': '环境不错，服务态度也好', '短评打分': 5}
{'短评内容': '环境不错，方便', '短评打分': 5}
{'短评内容': '连续住了两个晚上，总体还可以', '短评打分': 4}
{'短评内容': '总体还不错，卫生也挺干净的', '短评打分': 5}
{'短评内容': '非常的好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境很舒适是高科技全自动的很温馨', '短评打分': 5}
{'短评内容': '设施比以前有很大改善，特别是里面的自动播放音响非常不错', '短评打分': 5}
{'短评内容': '酒店位置和住宿条件都不错，服务人员态度也很好。', '短评打分': 4}
{'短评内容': '酒店比以前的手机好多了。', '短评打分': 4}
{'短评内容': '电梯故障 隔音差 早上车站吵死了', '短评打分': 2}
{'短评内容': '酒店的位置很好，出行非常方便。房间装修的不错，格调高雅，很时尚。早餐不错，营养挺丰富的，还会来入住的。', '短评打分': 5}
{'短评内容': '环境还可以，就是酒店刚刚装修好，去甲醛没有处理好，，，，，', '短评打分': 5}
{'短评内容': '还可以，整体是满意的', '短评打分': 4}
{'短评内容': '还行    交通比较方便     还会再住  ', '短评打分': 5}
{'短评内容': '整体感觉不错，服务热情，硬件也还好。整体性价比还算高的。', '短评打分': 5}
{'短评内容': '挺好，早餐太简单', '短评打分': 3}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '离汽车站近  坐车方便        就房间小了点  设施有点旧了', '短评打分': 5}
{'短评内容': '很好、吃饭不方便', '短评打分': 3}
{'短评内容': '还好，电视不是液晶的', '短评打分': 3}
{'短评内容': '早餐变态，', '短评打分': 3}
{'短评内容': '房间要是有电脑就好了，进去后只有宽带没电脑，我那心，，就像那火被无情的冷水浇遍了！！退房速度再快点就好了！今天退房的时候等了好几分钟车子快迟到了，我说快点，那小姑娘说：“我在打单子，交接班时间到了，我要下班了！”哎，那 我车子错过了事情办不成也还是你下班重要？我时间都掐算好的哎！', '短评打分': 5}
{'短评内容': '  己入住 交通很方便.装修陈旧.服务还可以', '短评打分': 3}
{'短评内容': '房间太小来····地面不干净·····不过价格很实在，', '短评打分': 5}
{'短评内容': '巳经成功入住了到现在为止还算满意!', '短评打分': 3}
{'短评内容': '定的小房间，总天挺满意的，房间虽小，住着比较舒服。洗浴是顶洒的，比较方便。加10元可吃早餐，靠近客运站，便利。', '短评打分': 5}
{'短评内容': '酒店位于客运中心旁边，交通十分便利。房间干净卫生，备有吹风机、挂衣架等出行必备物品。旁边的两岸咖啡还提供送餐服务，味道也不错。特别是两岸的招牌牛排--台塑。做得很正宗。酒店延迟14：00退房的服务感觉很贴心。让我有充足的时间整理行李，还可以睡个午觉。赞一个！', '短评打分': 5}
{'短评内容': '总体来说还不错，对得起这个价格。', '短评打分': 3}
{'短评内容': '不错        干净            方便', '短评打分': 5}
{'短评内容': '前台服务员态度还可以，房间还是很干净就是房间的隔音太差，夜晚外边汽车声音太吵一夜没有休息好', '短评打分': 5}
{'短评内容': '这是一个不错的酒店，每次来我都住着里', '短评打分': 3}
{'短评内容': '性价比还算比较高吧，只是附近就餐不是很方便', '短评打分': 5}
{'短评内容': '环境一般早餐也没有，还写着有早餐', '短评打分': 3}
{'短评内容': '订的是特价房，以为房间会很小，到了后感觉房间不错哦，很干净。交通也很方便。', '短评打分': 5}
{'短评内容': '就在汽车站旁边，交通方便。只是房内设施一般，茶叶包收费。', '短评打分': 3}
{'短评内容': '环境一般不过交通很方便，给好评', '短评打分': 3}
{'短评内容': '有早餐，临近汽车站很方便，一直都选了这家', '短评打分': 3}
{'短评内容': '还可以的，也挺干净，但是走廊如果有声音的话，房内会听得比较清楚，隔音不好', '短评打分': 5}
{'短评内容': '房间比较干净。就是有点小，价格如果再便宜点最好', '短评打分': 5}
{'短评内容': '酒店隔音效果太差，房间也很小。而且房间感觉有点脏，性价比太低，不推荐入住', '短评打分': 1}
{'短评内容': '靠着诸暨客运中心，交通非常便利，适合出差的人士入住。', '短评打分': 5}
{'短评内容': '房间太小。周边没有超市。不方便.坐车还好点', '短评打分': 1}
{'短评内容': '环境不是很好。周边也没有什么超市。吃的也没有', '短评打分': 1}
{'短评内容': '环境还可以，关键是就在诸暨汽车站边上，坐车什么的很方便！', '短评打分': 5}
{'短评内容': '地理位置好~交通方便，房间设施干净,前台服务态度很好，适合旅游的好住所。', '短评打分': 5}
{'短评内容': '前台客服态度不错，这点值得表扬。酒店房间小了点。', '短评打分': 1}
{'短评内容': '总的还是不错的，就是在车站有点吵，地摊上都是烟头烧过的洞眼', '短评打分': 5}
{'短评内容': '不是太好的酒店,连我住过没住过也搞不清。可想这管理，不过还是给个好评，希望她们以后能提高服务水平。', '短评打分': 5}
{'短评内容': '干净，还不错的，只是环境有点吵闹，那也是因为在车站旁边，不过方便是方便的，就是早饭不怎么样', '短评打分': 5}
{'短评内容': '酒店紧邻着汽车站，晚上有点小吵，整体设施还可以，10元早餐品种虽然少，但也很实惠！', '短评打分': 5}
{'短评内容': '挺好的，交通便利，价格适中，卫生、环境等各方面都还不错。', '短评打分': 5}
{'短评内容': '好便宜，这次帮朋友订的，也不知道到底怎么样！\n下次自己去住下，然后再说吧！！\n好便宜！！', '短评打分': 5}
{'短评内容': '房间还可,就是没有网线.', '短评打分': 3}
{'短评内容': '￥143的是大床B房，整体还可以，挨着诸暨客运中心，交通非常便利，特别适合商务人士，在诸暨拜访客户。', '短评打分': 5}
{'短评内容': '靠近汽车站，第一次去还没找着\n还不错，就是有点小吵\n正好住的窗户外边就是汽车站，一大早就看见汽车进进出出。倒是交通很方便的说', '短评打分': 5}
{'短评内容': '卫生环境个方面都不错了、交通也很方便，刚好在汽车站，价格也挺合理，不算贵，里面设备也很完善，、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '酒店有点旧，大体还是比较满意。还算干净，价格也很实惠，还有免费的自助早餐，早餐很不错。不过离汽车站很近，有点噪音。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '住的标间。别的还好，就是地有点脏，水壶是漏地。早餐是两岸咖啡吃的，很垃圾，品种很少，很难吃。我女儿几乎一口没吃。两岸的东东不是一般的贵，比外面正常店里要贵很多。而且环境也不好。', '短评打分': 5}
{'短评内容': '离车站很近，交通方便。酒店设施也就是符合快捷酒店的水平。楼下还有两岸咖啡，就餐方便，就是有点贵。', '短评打分': 5}
{'短评内容': '前台有个大舌头小妹态度差，酒店设施也老旧了', '短评打分': 1}
{'短评内容': '设施旧了，卫生也一般，夏天蚊子多，前台有个大舌头的女接待态度很差', '短评打分': 1}
{'短评内容': '房间挺大，也挺干净！基本设施都很齐全，位置也不错，就在汽车站旁边。', '短评打分': 5}
{'短评内容': '酒店设施还可以，地理位置不错，但是前台的服务态度很差', '短评打分': 5}
{'短评内容': '很好很干净，舒服！', '短评打分': 3}
{'短评内容': '优点:房间比较整洁干净,设施很新,网速也还可以,数字电视频道丰富...缺点:5层楼出水比较少   总体感觉不错,比较划算', '短评打分': 5}
{'短评内容': '早餐东西少了点！房间还可以', '短评打分': 3}
{'短评内容': '一般价格稍贵\n\n\n一般价格稍贵\n一般价格稍贵', '短评打分': 5}
{'短评内容': '整体情况一般，设施有点久，特别是地毯，看起来比较脏，其他方面还好', '短评打分': 5}
{'短评内容': '快捷酒店特价房连个网线都没有，房间小床小。路边随便找家小旅馆都比这家好。唯一的优点是在客运中心旁边，好找。', '短评打分': 1}
{'短评内容': '交通方便，干净卫生，汽车站旁边。价位合理，有早餐。', '短评打分': 5}
{'短评内容': '还不错~要是地板有地毯铺着会更好！！还有，电脑的网速太慢了，会常常卡住！！！', '短评打分': 5}
{'短评内容': '设施挺干净的,', '短评打分': 3}
{'短评内容': '交通方便，环境大体不错 设施齐全 价格合理 推荐一下~~~', '短评打分': 5}
{'短评内容': '这次入住   给我留下很好印象  所住房间下水不畅  领班不厌其烦疏通  最后实在没办法\n本人提出算了  不要再搞了  店方主动给调换房间   我很感动   下次还住这家酒店', '短评打分': 5}
{'短评内容': '还满干净的,就是外面马路有噪音', '短评打分': 3}
{'短评内容': '价格一般，设施差', '短评打分': 3}
{'短评内容': '酒店就在客运中心旁边，很方便。唯一不好的是洗澡水，恐怖啊。整个过程一直在调温度，龙头转过来点就要么烫死，要么就冻死。这个实在不好。从没用过这样的热水。', '短评打分': 5}
{'短评内容': '和一般商务酒店没差异，不过紧靠汽车站白天停车有点困难，房间热水不稳定', '短评打分': 3}
{'短评内容': '房间太小   早餐不好      这两天过的真不咋的 ', '短评打分': 1}
{'短评内容': '还不错，很舒适，服务也好。酒店的卫生也不错、', '短评打分': 5}
{'短评内容': '不错的不错的不错的不错的不错的不错的不错的不错的不错的不错的不错的', '短评打分': 5}
{'短评内容': '住的是特价间，房间还可以，就是特价间没宽带，还有可能住的人多了，地毯比较旧。', '短评打分': 5}
{'短评内容': '住的是大床B房，环境还蛮温馨的。就是空调声音比较大，床头灯有一个坏了。其他硬件都还可以。', '短评打分': 5}
{'短评内容': '很好很舒服', '短评打分': 3}
{'短评内容': '挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的', '短评打分': 5}
{'短评内容': '酒店还不错 ', '短评打分': 3}
{'短评内容': '诸暨阳光快捷酒店（暨东店）交通方便（在汽车站旁边），离西施故里景区很近，房间清洁卫生，价格实惠，早餐品种虽不多，但还算精致合口，朝路边的房间较吵，只能关闭窗户睡觉。', '短评打分': 5}
{'短评内容': '房间住宿基本可以,内有上网的电脑,楼下有台湾人开的餐厅(就是消费有的高)', '短评打分': 5}
{'短评内容': '住的98特价房，虽说房间小一点不能上网但价格比较好了，就在客运站傍边，旁边没有超市买东西要打车去起步价，总的来说可以，推荐', '短评打分': 5}
{'短评内容': '靠路边的有点吵，一夜醒了数次。交通方便', '短评打分': 5}
{'短评内容': '房间很干净交通非常方便但房间较小', '短评打分': 5}
{'短评内容': '就在汽车站旁边，算比较市中心的了，中规中矩的宾馆。', '短评打分': 5}
{'短评内容': '+房间设施不错,晚上有点吵', '短评打分': 5}
{'短评内容': '+不错，性价比高，挨着汽车客运站，方便。', '短评打分': 5}
{'短评内容': '离汽车站很近，也很安静                                       ', '短评打分': 3}
{'短评内容': '就在汽车站旁边，到西施故里也很近，不过，闹中取静。', '短评打分': 3}
{'短评内容': '酒店设施还可以，符合一般的经济酒店的定位，楼下两岸咖啡的早餐品种太少了。', '短评打分': 3}
{'短评内容': '就在长途汽车客运站旁边，交通还算方便，酒店内部也较干净。\r\n楼下有两岸咖啡，就是有点小贵！', '短评打分': 3}
{'短评内容': '就在长途客运站旁，比较干净，楼下有两岸咖啡，但是有点小贵。', '短评打分': 5}
{'短评内容': '感觉很不错，很干净，离市中心很近，交通便利', '短评打分': 3}
{'短评内容': '感觉不错，很干净，离中心也近，交通方便！', '短评打分': 3}
{'短评内容': '位置就在汽车站旁边，不过房间大小有点小于想象的，不过总的说来还算是不错的了。', '短评打分': 5}
{'短评内容': '感觉不错，挺干净的！', '短评打分': 5}
{'短评内容': '挺好的下次还会来住的', '短评打分': 5}
{'短评内容': '环境不错，挺舒服的就是服务员态度不是很好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错，服务态度好，也很干净。', '短评打分': 5}
{'短评内容': '在汽车站旁，很方便，这个价钱已经很可以了，我下次还会入住。', '短评打分': 3}
{'短评内容': '感觉还行~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '虽然毛巾有的破旧，但非常适合单人入住，超高性价比！！！', '短评打分': 5}
{'短评内容': '+以这价钱入住特价房很可以了.房间空调下有晾衣服的挂钩.很贴心.适合我这样经常出差的.', '短评打分': 5}
{'短评内容': '酒店总体环境还是蛮好的，性价比也不错，但服务觉得不好，第一，我们早上退房他连早餐券也不给我们，我们以为没有类还是其他客人叫我们去要的，该是客人的待遇为什么不问一下？还有我们退房时他们检查房间东西，我有一串珠珠拉在房间里了他们居然没有给我，我事后在发现，这觉得不老实', '短评打分': 5}
{'短评内容': '真不好意思，今天不能入住贵宾馆了，因为要到杭州，下次来诸会住贵处。叶先生', '短评打分': 5}
{'短评内容': '还可以，比店家促销价格贵一点。', '短评打分': 5}
{'短评内容': '酒店位置就在诸暨客运中心的边上，对于出差人士很方便，就是边上没有便利店或是小吃店什么的，比较不方便', '短评打分': 5}
{'短评内容': '商务首选', '短评打分': 3}
{'短评内容': '一般出差人员理想的住宿酒店', '短评打分': 5}
{'短评内容': '里面的毛巾居然有一个洞，出门吃饭也非常不方便。好在离汽车站很近，价格也不贵。', '短评打分': 1}
{'短评内容': '酒店很干净，就在客运中心东边，有多路公交（5、6、K138等到火车站）。不过我是去山下湖的，有点远，所以第二天去其他的酒店了。总体上，值得推荐。', '短评打分': 5}
{'短评内容': '很方便！', '短评打分': 5}
{'短评内容': '房间还行，早餐不灵。', '短评打分': 3}
{'短评内容': '窗口就是汽车站。呵呵', '短评打分': 5}
{'短评内容': '环境好,房间非常舒适,干净，交通方便,值得推荐', '短评打分': 5}
{'短评内容': '早餐的品种比较少，不理想', '短评打分': 5}
{'短评内容': '相当不错啊', '短评打分': 3}
{'短评内容': '还是可以住住的', '短评打分': 5}
{'短评内容': '酒店靠近客运中心，出行比较方便', '短评打分': 5}
{'短评内容': '房间有点小，其他的都OK，大床房是单早，两个人入住的话需要花10元再买一份早餐，早餐还不错，服务很好', '短评打分': 5}
{'短评内容': '酒店靠着汽车站，出行比较方便，设施方面还需提升，卫生间的水龙头居然是歪的，淋浴的下水不畅', '短评打分': 5}
{'短评内容': '感觉还不错的,经济实惠.缺点就是早餐由旁边的咖啡馆提供的,品种少,量也少,不怎么样.', '短评打分': 5}
{'短评内容': '酒店的条件其实挺一般的，环境也还可以吧，就是位置还算不错，不过以他的条件来说价格不合适，而且早餐也不行。', '短评打分': 3}
{'短评内容': '经济实惠，性价比可以，交通也很便利，就是当时住的时候耳环丢了，不知道是不是落到房间里了', '短评打分': 3}
{'短评内容': '服务态度非常好,位置很不错离景点都比较近\r\n但是设施一般,洗漱间没有热水', '短评打分': 5}
{'短评内容': '第一次住快捷酒店，一扫之前的旅店印象，其实一般商旅还是很适合的。', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 5}
