{'短评内容': '酒店一般，价格不相比', '短评打分': 3}
{'短评内容': '房间不大，热水不稳定。酒店的用品质量一般，如果是想找学校附近便宜的酒店，这家还可以。', '短评打分': 5}
{'短评内容': '住的是温馨大床房  总体不错啦  就是提价了', '短评打分': 5}
{'短评内容': '离武汉理工大学非常近，考托福的住在这里很合适', '短评打分': 5}
{'短评内容': '环境很差，热水时有时无，服务员态度非常差，不隔音，所住过酒店中最差的一个，网上高价订的房间还没有现场低价的房间好，不比较朋友的房间还真不知道上当受骗，劝大家不要再住这个酒店。', '短评打分': 1}
{'短评内容': '房间很好，床很大！不错哦，就是没有烧水的水壶！', '短评打分': 5}
{'短评内容': ' 酒店的房间不是很大，感觉很一般,不值这个价,特别是吹头发还要去走道上的固定吹风机那吹,洗完澡后还要穿戴整齐出去，实在不方便。', '短评打分': 3}
{'短评内容': '房间环境还可以，很适合学生入住，只是空调制热效果不太好，洗澡出来很冷。', '短评打分': 5}
{'短评内容': '\n刚住下。光线不好。卫生还可以。', '短评打分': 3}
{'短评内容': '房间热水不好，电话不能用，以后可没有信心住这里了！', '短评打分': 3}
{'短评内容': '价格与设施基本吻合，还不错的，就是不太好找', '短评打分': 5}
{'短评内容': '酒店已改名为 尚客城市酒店，住的是温馨大床房，整体卫生条件不错，环境比较优雅，住得挺舒适的。交通的话在武汉理工大学东苑南门对面，在窗户就能看到，打车的话要走一段的，总的来说还是不错啦', '短评打分': 5}
{'短评内容': '学校旁边的小酒店大多类似，价格相对便宜、地理位置相对方便、一般性需求均能满足……。有时信用卡不能用。', '短评打分': 5}
{'短评内容': '酒店很好的。', '短评打分': 3}
{'短评内容': '房间环境还行,卫生条件有待提高,卫生间硬件设施需改善,热水不稳定!', '短评打分': 5}
{'短评内容': '还不错 已经是第二次住了 比第一次好一些 窗户不是开在外面', '短评打分': 5}
{'短评内容': '价格比较便宜，房间太小，水压也不是很稳定，其他还都可以。', '短评打分': 5}
{'短评内容': '环境还不错，跟附近酒店相比，性价比还行。', '短评打分': 5}
{'短评内容': '环境不错，房间卫生挺干净，服务态度还行，位置优越，隔音一般。', '短评打分': 5}
{'短评内容': '价格还比较合理，也比较安静，隔音效果还可以，下次还住', '短评打分': 5}
{'短评内容': '方便，清洁，清静，便宜。出差的朋友可以入住，又紧邻学校', '短评打分': 5}
{'短评内容': '离华中师大很近，而且住宿条件也很好', '短评打分': 3}
{'短评内容': '进门有点味道，洒点香水好多了，挺干净的，热水也行。', '短评打分': 5}
{'短评内容': '还不错，实惠，下次还会住，已经向朋友推荐了', '短评打分': 5}
{'短评内容': '虽然总的来说算是合格，但是不是很推荐。\n房间卫生不是很好，下午两点第一次进门感觉洗手间有点味道。地板拖的还是湿的。床单洁净程度差强人意。\n隔音效果不好。窗户是坏的。地方在华师南门，地点尚可。价格也适中。\n\n若要求不高可以去。但是我不会再去了。', '短评打分': 1}
{'短评内容': '到武理工办事，很近很方便。热水很好，就是房间有点小，来客人坐不下。', '短评打分': 5}
{'短评内容': '还不错  就是洗澡水有点忽冷忽热 门里面的防盗锁锁有些坏了', '短评打分': 5}
{'短评内容': '还是和以前一样，洗澡水一会冷一会热得，房间隔音不怎么样，十二点退房，但是这个价位也就这样了，已经第二次去了，总体感觉还不错吧。', '短评打分': 5}
{'短评内容': '位置偏，打不到出租车。酒店细节差，牙膏无法挤出，浴室门口的防滑垫是跌到的根源……', '短评打分': 1}
{'短评内容': '酒店还可以，环境卫生还不错，就是门的隔音很差，走廊有点动静都能听见，最烦躁的就是洗澡水时冷时热，洗个澡洗的人很是不舒服。', '短评打分': 5}
{'短评内容': '＋房子很温馨，床很宽很舒适！  ', '短评打分': 3}
{'短评内容': '蛮实惠的酒店，设施比较简单，适合年轻人住，但是周围环境不太好，而且12点前必须退房，这个有点太不人性化~', '短评打分': 5}
{'短评内容': '态度有点不太好，住的一般，希望能够提高下职工素质。。。', '短评打分': 1}
{'短评内容': '房间满好的，就是有点难找。', '短评打分': 3}
{'短评内容': '总的来说不错，就是搭车有点不方便', '短评打分': 3}
{'短评内容': '卫生舒适', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行 但是刚装修完   试营业没电梯   不怎么方便                                                 ', '短评打分': 5}
{'短评内容': '酒店周边环境很好~ 内设很温馨~ 就是刚刚装修过不久~ 有点味道~', '短评打分': 5}
