{'短评内容': '隔音差   服务态度也不是很好  奇怪的是酒店的停车场居然还收费   郁闷   房间太老化了   要是十年之前去住可能挺好的', '短评打分': 3}
{'短评内容': '酒店很干净，早餐也丰富，多住一晚再走！', '短评打分': 3}
{'短评内容': '到酒店后前台说没有预订单子,而我入住的豪华大床房也没有,最后只能另 选。', '短评打分': 3}
{'短评内容': '也许是我住的房间问题(商务电脑房) 厕所和洗澡地方超级小。 洗手池还在客房门进来。觉的怪怪的。', '短评打分': 1}
{'短评内容': '空调几乎没感觉，晚上睡觉都感觉有点冷，洗脸龙头居然无热水，而淋浴龙头有小股热水。停车要另外收10元钱。这样的酒店居然价格还那么贵。', '短评打分': 1}
{'短评内容': '价格适中，地点中心，就是酒店里的水龙头设施有些陈旧。', '短评打分': 5}
{'短评内容': '装修老网络不好', '短评打分': 3}
{'短评内容': '主要是因为这个酒店离要去的地方比较近，但酒店比较旧，硬件设施都比较老了，这么冷的天想洗个澡没想到水小得要命，空调基本没感觉~~~让我好失望~~~~', '短评打分': 1}
{'短评内容': '洗手台就在床边，感觉很潮湿。厕所和淋浴室是分开的，都很小。淋浴室内没地方挂衣服。服务员也不够热情。', '短评打分': 1}
{'短评内容': '停车场超方便，酒店装饰略带东南亚风格的味道!', '短评打分': 5}
{'短评内容': '不错，新装修，特别地点非常中心交通便利，楼下附近还有很多好吃的，福鼎人真是夜猫子，都凌晨了还有东西吃', '短评打分': 5}
{'短评内容': '老酒店新装修，十一黄金周价格偏贵一点....早餐一般。。。办理退房手续有点慢。。。。', '短评打分': 5}
{'短评内容': ',酒店还可以,餐饮太离谱了.', '短评打分': 3}
{'短评内容': '酒店大堂、房间装修还可以，不知道是在装修还是什么的，六楼很吵，后来换到九楼，空调效果很差，早上起来一身臭汗。', '短评打分': 1}
{'短评内容': '酒店大堂较气派，但楼层走廊有股小霉味。房间空气质量还好，中央空调很静音。我住的是豪华大床房，这个床真是超大。早餐还算过的去。性价比不错的一家酒店', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '没有什么好的感觉！早餐券说明餐厅在二楼，实际却在三楼，没有任何指示提示。同本人一样，还有其它客人在乱找。还是到服务台问询，“在三楼呀！”，口气好像客人们自己很笨。', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '七楼的房间较陈旧，\r\n但酒店2点退房的服务不错', '短评打分': 3}
{'短评内容': '酒店设施陈旧床睡着不舒服被子是潮的枕头发黑为生间不干净墙壁发霉，在不装修再便宜也没有人住了', '短评打分': 5}
{'短评内容': '位置闹市区交通方便，设备陈旧，性价比一般。', '短评打分': 1}
{'短评内容': '还行，位置不错，很中心，就是停车还要钱，有一个专用的立体停车场', '短评打分': 5}
{'短评内容': '设备过于陈旧，不过在福鼎这个地方应该算不错了，价格还算可以。', '短评打分': 1}
{'短评内容': '酒店较旧了,房间还可以. 另外, 因位在很热闹的地区, 出入人员较多, 停车场较拥挤, 且即使是住宿的房客也还要收停车费, 这点不合理. 不过附近吃东西可选的地方挺多,超市也多, 也有24小时开的KFC在旁边,这点倒是挺方便的.', '短评打分': 5}
{'短评内容': '早点差的没法吃，想想十来元钱也就这样了，但是加了份早点网上的价格是12元，结果一定要收15元，虽然说是多了3元，感觉不太好。设施实在太陈旧了点。373元的价格性价比太低。', '短评打分': 1}
{'短评内容': '位置还好，设施陈旧，整个城市的卫生怎么这么差啊！是春节没人搞卫生吗？', '短评打分': 5}
{'短评内容': '还不错，但是宾馆旧了点。。。毕竟是当地老宾馆了，以前作为政府招待，地理位置不错。市中心。', '短评打分': 5}
{'短评内容': '酒店的位置在市中心，房间设施都是新的，就是简单了一点，不过性价格比尚可', '短评打分': 5}
{'短评内容': '3星的酒店连热水都没有，洗澡的水很冷。床垫太软。', '短评打分': 1}
{'短评内容': '不错，地点很中心，东西不是太好吃。但楼下吃的很多，', '短评打分': 5}
{'短评内容': '预定豪华双人房.入住环境和空间都不错.就是床铺硬\r\n个人对床铺要求很高。床铺不够软。\r\n', '短评打分': 5}
{'短评内容': '地理位置非常的好找，是值得推荐的酒店。下次还会入住。', '短评打分': 5}
{'短评内容': '还可以，离街中心近，购物比较方便。价格也差不多。', '短评打分': 3}
{'短评内容': '空调不凉', '短评打分': 5}
{'短评内容': '还不错啦，离市中心近，很方便。', '短评打分': 5}
