{'短评内容': '这个价位还是很划算，我住的房间灯很暗，多数灯都不亮，不是机打发票。总体还是可以。同样价位的酒店，这个还是值得推荐。', '短评打分': 4}
{'短评内容': '环境还是中规中矩的', '短评打分': 5}
{'短评内容': '还行吧 房间环境还可以 外观一般 ', '短评打分': 4}
{'短评内容': '相当满意的一次出行', '短评打分': 5}
{'短评内容': '房间很不错！在过年期间能定到这个价位的房间已经很划算了！而且出行很方便！一下高速只有两公里的路！去周边玩儿也很方便！附近吃的很多！总体来说很满意的一次订房', '短评打分': 5}
{'短评内容': '挺好，环境不错，就是小单间有点小哦！', '短评打分': 5}
{'短评内容': '外观不咋的，但里面不错，价格实惠', '短评打分': 3}
{'短评内容': '不错1', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '双人间床算是宽的了，一张床可以睡两个人。住了北四五百的再来住这个就觉得这个很豪华啊，房间够宽，插座够多。唯一就是刚进去时候闻到汗味儿很重。周边坐公立车四通八达可以考虑哦。旁边有个张刚饭馆看似不咋样不过味道价格不错哦。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
