{'短评内容': '还可以吧，还算干净舒服', '短评打分': 5}
{'短评内容': '地段好，方便', '短评打分': 5}
{'短评内容': '卫生不错，房间够宽敞。', '短评打分': 5}
{'短评内容': '市区内交通方便有停车场', '短评打分': 5}
{'短评内容': '房间超大', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很方便，快捷很不错，非常满意，', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '这个价位房间算比较大的了。卫生条件一如既往的好，很适合家庭出游。标双床很宽大，感觉睡两人都没问题，性价比高，推荐入住', '短评打分': 4}
{'短评内容': '有KTV  吵  ', '短评打分': 3}
{'短评内容': '前台那几个姑娘服务热情，笑容甜，很可爱，有求必应，早餐丰富好吃，地理位置好，交通方便，离沃尔玛近，旁边就是年年丰广场，闹中取静，还有免费停车场，房间非常干净，一尘不染，床很舒服，有自助洗衣房烘干机很方便，保安巡逻，比较有安全感，性价比很高啊。前台那几个姑娘服务热情，笑容甜，很可爱，有求必应，早餐丰富好吃，地理位置好，交通方便，离沃尔玛，旁边就是年年丰广场，闹中取静，还有免费停车场，房间非常干净，一', '短评打分': 5}
{'短评内容': '市区闹市，吃东西方便。', '短评打分': 5}
{'短评内容': '去哪儿都住城市便捷，干净卫生停车也方便！出门很不错的选择！广西哪儿都有！', '短评打分': 5}
{'短评内容': '房间挺大，周边也挺安静，就是附近吃饭不是很多。。。', '短评打分': 5}
{'短评内容': '还可以 可以继续考虑以后入住', '短评打分': 5}
{'短评内容': '酒店住宿环境不错，就是晚上塞小广告的太猖獗了。', '短评打分': 5}
{'短评内容': '停车车场比较小，前台接待业务需加强，预订豪标房间大，设施也比较全，休息比较舒服。', '短评打分': 4}
