{'短评内容': '挺好的，可以考虑一下', '短评打分': 5}
{'短评内容': '房间非常干净，前台美女的服务态度非常好，非常热心。', '短评打分': 5}
{'短评内容': '不错 性价比好', '短评打分': 5}
{'短评内容': '晚餐比较好', '短评打分': 5}
{'短评内容': '早餐一般，晚餐蛮好的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，性价比高。只能说对得起这个价钱和周边环境。', '短评打分': 5}
{'短评内容': '要求不高的朋友，可以考虑一下', '短评打分': 5}
{'短评内容': '还可以吧，可以考虑入住。', '短评打分': 5}
{'短评内容': '感觉还可以，下次再来接着住吧', '短评打分': 5}
{'短评内容': '酒店很好，很干净，位置好，服务热情，可以看到长江和黄鹤楼。', '短评打分': 5}
{'短评内容': '进门的一瞬间就给人满室的浪漫与温馨。直线条的造型，简约风格的搭配，房间干净、整齐。在十分充足的阳光下，顿时显得轻松、舒适、自然', '短评打分': 5}
{'短评内容': '酒店真的很棒，房间很干净整洁，服务员很热情,谢谢！', '短评打分': 5}
{'短评内容': '腹黑v画江湖宝贝很好好', '短评打分': 5}
{'短评内容': '设施老了，毕竟装修那么多年了！前台服务态度差', '短评打分': 5}
{'短评内容': '这个位置还不错，去一些地方都只有步行，', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '房间设施老旧，其他还行', '短评打分': 4}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '位置不错，离黄鹤楼不，首义广场，户部巷不远', '短评打分': 4}
{'短评内容': '酒店位置不错，其他方面只能算普通，和其他快捷酒店差不多。', '短评打分': 3}
{'短评内容': '酒店位置不错，普通的快捷酒店，还可以。', '短评打分': 3}
{'短评内容': '经济适用，还可以', '短评打分': 4}
