{'短评内容': '床还可以', '短评打分': 4}
{'短评内容': '房间环境不错，服务态度也很好', '短评打分': 5}
{'短评内容': '很好，经常来住', '短评打分': 5}
{'短评内容': '有停车场，有早餐，房间大，服务好，不错。', '短评打分': 5}
{'短评内容': '位置好，屋内设施有些旧了，酒店用餐非常不错，一共用了2次正餐，味道不错，价格实惠；而且服务员非常实在，我们一行11人，听服务员的建议点菜，只点了8个菜，就吃的非常好了。', '短评打分': 5}
{'短评内容': '酒店位置不错，就是屋内设施有些老旧，卫生稍微差些，可能因为是地毯的原因，杂物清理的不太干净；服务不错，有停车场，酒店用餐不错，味道好，价格实惠，总体主体不错', '短评打分': 5}
{'短评内容': '酒店价格合适，房间宽敞舒适，位置也不错，就是早餐品种较少。旁边有一个好粥道快餐店，异常好吃又实惠，以后还会来的。', '短评打分': 4}
{'短评内容': '附近的复生隆对夹太好吃了', '短评打分': 5}
{'短评内容': '性价比比较高的酒店。干净舒适', '短评打分': 5}
{'短评内容': '洗澡的淋浴头有水垢，无法进行洗澡，早餐一般，无线网不稳定，其他的还好', '短评打分': 4}
{'短评内容': '环境很好，房间很大，就是早上突然停电了一个小时', '短评打分': 5}
{'短评内容': '第二次入住了，总体说来还是不错的，周边吃饭购物都很方便，房间应该装修有年头了，卫生间什么的显得陈旧，花洒出水量不大，洗澡不大舒服，另该处没有暖气，只配备了中央空调，去的时候正好降温，感觉制热效果很一般，真到冬天了估计房间温度一般', '短评打分': 5}
{'短评内容': '前台服务态度非常好。房间整体感觉高于三星级水平。早餐一般。午晚餐太贵。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
