{'短评内容': '。', '短评打分': 5}
{'短评内容': '就是有点吵！市中心吗！其他都很好！', '短评打分': 5}
{'短评内容': '市中心，很方便', '短评打分': 5}
{'短评内容': '睡得比较踏实', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置不错 环境挺好', '短评打分': 5}
{'短评内容': '真的很好，一直都很喜欢住城市便捷，出游入住的首选都是城市便捷，各种设施，服务都很好', '短评打分': 5}
{'短评内容': '以前住过，环境不错，床舒服', '短评打分': 5}
{'短评内容': '酒店环境很不错，楼顶还有餐厅！', '短评打分': 5}
{'短评内容': '前台服务态度非常好，客房卫生也非常的干净，客房阿姨也很热情，交通很便利，还有免费的停车场，就在马路边，停车很方便，老顾客了，来这里感觉回家般亲切，下次还来', '短评打分': 5}
{'短评内容': '环境很优雅，交通非常方便，离市中心很近，去哪里都很方便的。酒店周边有超市有美食街和很多的商店应有尽有，非常便捷。服务很热情，很有礼貌。设施设备干净整洁。招牌非常明显，很上档次，旁边就是商场。出入非常方便，早餐很丰富，味道很好吃。房间非常干净，一尘不染，床很大，床很舒服。酒店价格不贵，性价比很好。前台那几个姑娘很可爱，笑容很灿烂，服务热情，有求必应，房间漂亮，隔音好，有免费停车场。停车场很大，很干净', '短评打分': 5}
{'短评内容': '还不错呢，商务大床，有沙发，就是靠窗有点吵闹而已啦。而且位置很好找，就在路边，出行也很方便，附近有很多吃的。', '短评打分': 5}
{'短评内容': '周边吃饭，交通挺方便，可是前面是大街，后面是一个中学，即便是中秋，还是能听到后面学校的广播，有点点吵，难道放假也不停广播？', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '非常不错。', '短评打分': 5}
{'短评内容': '很不错，干净、舒适！价格实惠！！！', '短评打分': 5}
{'短评内容': '地理位置不错！早餐也挺好的。离车站近，比较方便！', '短评打分': 5}
{'短评内容': '酒店位置离汽车总站很近，方便坐车，去南宁机场的大巴现在从汽车总站发车！', '短评打分': 5}
{'短评内容': '酒店位置很好，离汽车总站很近，很方便坐去南宁机场的大巴。', '短评打分': 5}
{'短评内容': '酒店住宿环境不错的，就是地理位置也很好，早餐也挺丰富的，下次旅行还选城市便捷酒店！', '短评打分': 5}
{'短评内容': '在钦州这么久就是喜欢这里的房间 床很舒服 但是不喜欢南宁的 因为空间太小 价钱一样 但是没有窗的 但是大爱钦州的这家。', '短评打分': 5}
{'短评内容': '酒店位置还不错，价格偏高，周围闹市区稍显得有点吵，服务感觉一般般。', '短评打分': 1}
{'短评内容': '酒店很好。大床很软很舒服，比南宁的要好，早餐丰富', '短评打分': 3}
{'短评内容': '这酒店不错呀，入住舒服，交通方便', '短评打分': 3}
{'短评内容': '床很好，这就够了。不过毛巾很旧很黄，别那么节约。这是软实力，节约不得。有个小小的露天停车场，开车旅行的应该不错。离夜宵稍远。', '短评打分': 5}
{'短评内容': '价格比起同类偏高，本次房间异味大……', '短评打分': 3}
