{'短评内容': '很好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '位置在十字路口，很醒目好找，有院子，免费停车而且很大。硬件设施对应价格，可以说非常好，房间大，床大，干净，提供免费早餐。', '短评打分': 5}
{'短评内容': '位置在十字路口，很醒目好找，有院子，免费停车而且很大。硬件设施对应价格，可以说非常好，房间大，床大，干净，提供免费早餐。', '短评打分': 5}
{'短评内容': '位置在十字路口，很醒目好找，有院子，免费停车而且很大。硬件设施对应价格，可以说非常好，房间大，床大，干净，提供免费早餐。', '短评打分': 5}
{'短评内容': '位置在十字路口，很醒目好找，有院子，免费停车而且很大。硬件设施对应价格，可以说非常好，房间大，床大，干净，提供免费早餐。唯一缺陷：都是临街房，睡觉不好睡！', '短评打分': 5}
{'短评内容': '就是一老酒店，设施落后陈旧', '短评打分': 3}
{'短评内容': '高档次酒店，感觉非常好，还会光顾的。特别推荐。', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '价钱便宜 是一个老酒店了，定这里是为了出行方便，酒店大堂早饭还可以，最最受不了的就是房间一打开有种说不出的味道 有点火车上的味道，加上瑞丽天气闷热 闻到胃就开始翻腾，排气好像是坏的 门窗开了一个多小时通风.不知道是不是因为前面的住客在房间抽烟.除了这个都比较满意.', '短评打分': 4}
{'短评内容': '酒店就在市中心，出行、吃饭都很方便。大厅富丽堂皇，不愧为四星级酒店，房间也很干净，服务非常到位，早餐也很不错！作为一家高档酒店，我预定的房间每晚只需142元。决定以后每次到瑞丽，都要住这里。', '短评打分': 5}
{'短评内容': '用星级评价酒店虽不甚科学，也不失为一手段。进入景成酒店大堂，宽敞、宏伟，足够四星；进入房间，感觉稍差，小却设施陈旧，三星吧。当然，硬件不是评议的单一标准，软件更重要。酒店服务、管理都还不错。最令人称道的是8层某服务员，这里我不便公布她的个人信息，只是赞赏其体贴人情的心态。一进房间，见其用手书写的对客人的欢迎和问候，颇为温馨。字体虽远不如书法家，但其对待客人的温存朴实手法有如一份作品，谢谢。', '短评打分': 5}
{'短评内容': '每次都住这里，很好', '短评打分': 5}
{'短评内容': '酒店是瑞丽城里最高的和最好的，感觉不错。', '短评打分': 5}
{'短评内容': '酒店是瑞丽城里最高的和最好的，感觉不错。', '短评打分': 5}
{'短评内容': '酒店是瑞丽城里最高的和最好的，感觉不错。', '短评打分': 5}
{'短评内容': '酒店不错，服务很周到，下次再入住！', '短评打分': 3}
{'短评内容': '据说是瑞丽最好的酒店，但是酒店的整体评分也就2星的标准，绝达不到他们挂的4星。', '短评打分': 1}
{'短评内容': '不满意.己经确认的单子竟然漏掉了.害得客人等半天', '短评打分': 3}
{'短评内容': '目前瑞丽市最好的酒店了，但是水平一般般，设施和管理都很一般，早餐人很多没什么吃的。瑞丽在建设若干五星级的，估计以后生意没那么好了', '短评打分': 5}
{'短评内容': '已入住景成大酒店', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '据说是瑞丽最安全\n的酒店，服务很好，服务人员的笑容也很美丽。早餐的味道不错，就是连住了4天，主菜的变化少了一些。\n强烈推荐。', '短评打分': 5}
{'短评内容': '说实话吧。\n1、这个酒店式当地最好的酒店了，但是因为年代久远，所以硬件设备相对来说要差一些；\n2、当天前台工作人员办理check-in时，未能与客房打扫卫生的工作人员及时有效的沟通，导致我们进房间时，看到的是一片狼藉，当时已经是下午2点后了；\n3. 好不容易来了一个负责人，只唧唧歪歪的给自己找借口，却忘了说声“道歉”，慰藉一下我们受伤的心灵；\n4. 又来一位负责人，真的很负责，不仅第一时间赔礼道歉', '短评打分': 5}
{'短评内容': '不错的酒店，瑞丽唯一的四星酒店，交通也方便，推荐。', '短评打分': 5}
{'短评内容': '酒店是瑞丽唯一的一家4星酒店，环境不错，服务也好，早餐不算丰富，但也可口，有机会来瑞丽还会入住。', '短评打分': 5}
{'短评内容': '两间双标，明晚想续住', '短评打分': 3}
{'短评内容': '酒店不错,推荐.', '短评打分': 3}
