{'短评内容': '早餐不怎么样。其他还好。还好。', '短评打分': 4}
{'短评内容': '非常一般，房间有怪闻', '短评打分': 3}
{'短评内容': '1、住第一天没提供毛巾、浴巾2、住两天，开两张发票，酒店不给合，态度恶劣', '短评打分': 1}
{'短评内容': '住了一晚上，除了位置感觉有点偏别的都还行', '短评打分': 4}
{'短评内容': '四楼无线网没有一个能用的，卫生间味很大，洗脸盆下水管反味', '短评打分': 1}
{'短评内容': '周村烧饼公司开的酒店，怪不得名字这么奇怪。房间挺大的，这个价钱已经很不错了', '短评打分': 4}
{'短评内容': '好评。', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '不错！实惠', '短评打分': 5}
{'短评内容': '设施设备太老了，大头电视，卫生间淋浴花洒都开裂了，建议更换部分设施', '短评打分': 3}
{'短评内容': '还算干净。就是设施简陋点', '短评打分': 3}
{'短评内容': '性价比很高了！', '短评打分': 5}
{'短评内容': '性价比还是很高的，只是天冷空调不太好用', '短评打分': 4}
{'短评内容': '干净宽敞，价格实惠，推荐', '短评打分': 3}
{'短评内容': '不舒服', '短评打分': 2}
{'短评内容': '此酒店在国道上很好找离周村古街也不远，房间还可以早餐是在职工餐厅要早去', '短评打分': 5}
{'短评内容': '距离家居批发市场很近，非常的方便，如果去周村买家具建议入住。\n临街房间有点吵，总体感觉挺好的！', '短评打分': 5}
{'短评内容': '价格不错，感觉特别好的一点是卫生做好的特别好，尤其是细节方面', '短评打分': 5}
