{'短评内容': '性价比还行，就是没发票', '短评打分': 2}
{'短评内容': '价钱算是可以，但是房间比较旧，隔音也比较差，外面说话都能听得到，半夜有人在外面吵，睡不着啊，马桶冲水老是冲不完全，只有小窗，还是通向走廊的…', '短评打分': 3}
{'短评内容': '房间宽敞明亮，设施齐全，装修的很好，服务态度也很好。', '短评打分': 3}
{'短评内容': '不错 楼下有超市 很方便', '短评打分': 5}
{'短评内容': '虫子多了点，别的还可以', '短评打分': 3}
{'短评内容': '一般  强子多', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务还不错，交通也很方便。就是酒店设备比较陈旧，有些电源插座都没有电。给我的房间没有对外的窗户，这点没想到。再就是隔音非常差。', '短评打分': 5}
{'短评内容': '极度差，很难住。', '短评打分': 3}
{'短评内容': '一般般。。。房间比较旧，也比较难找，最后一晚有老鼠，，，吓到我老婆了。。。唉。。。。苦啊', '短评打分': 1}
{'短评内容': '压根就是一家旅馆。所以我觉得大家我需要和大家提醒一下。不要上当。', '短评打分': 1}
{'短评内容': '还可以吧。地理位置比七天好找，房间比七天大，只是洗手间比较小，感觉不是很干净。空调比较旧。还有被子和床单不是很好。。。再就是我的朋友说床太短，1米62的个子睡觉伸直了脚都到床外了。。。', '短评打分': 5}
