{'短评内容': '老板人很不错，非常热心肠！', '短评打分': 5}
{'短评内容': '老板人很不错！', '短评打分': 4}
{'短评内容': '温馨浪漫 位置不错 价格实惠 环境赞 性价比高 床舒服 干净卫生 设施不错  老板热情周到', '短评打分': 5}
{'短评内容': '还不错，价格便宜', '短评打分': 4}
{'短评内容': '春节前出游，价格很实惠，老板帮忙预定了一日游的一些项目，比较划算。停车方便就是地理位置稍微难找了点儿。', '短评打分': 5}
{'短评内容': '价格合理又多住了一个晚上', '短评打分': 5}
{'短评内容': '房间不错，而且我们找不到老板出来接我们，人很热情', '短评打分': 5}
{'短评内容': '晚上很安静，床很舒服，睡得很好。房间也很满意，干净卫生就不用说了。来丽江好几次了，这次是最满意的了。虽然不在主街上，但是很好找，老板很热情 服务很好 有什么需要就直接找他，来丽江的朋友 可以来体验一下绝对不会让你失望的。', '短评打分': 5}
{'短评内容': '酒店干净卫生，环境很好，离古城很近 值得推荐！！', '短评打分': 5}
{'短评内容': '老板相当热情，环境也不错，地理位置不错，晚上睡觉很安静，我们一家子都很满意。', '短评打分': 3}
{'短评内容': '一般般，距离古城很近，只能说一般般', '短评打分': 3}
{'短评内容': '酒店位置挺好 离大水车不远，周围饭馆超市一应俱全， 就三个字超方便。再说说酒店服务，本来定的特价房，在1楼就设施来说性价比是非常高的，但因为有老人考虑安静的问题加了钱换到了4楼标间，老板人很好安排了个三人间给我们住，房间很大，挺好的。', '短评打分': 5}
{'短评内容': '酒店位置好，离大水车走路十分钟，附近好吃的不少。酒店老板很热情，还帮我停车。住的三人间，卫生挺好，物超所值！', '短评打分': 5}
{'短评内容': '酒店服务人员态度很好，卫生也不错，性价比高！门口车位有限，离闹市区近，个一道街，但晚上很安静！', '短评打分': 5}
