{'短评内容': '不好，差', '短评打分': 1}
{'短评内容': '京东酒店第一次用感受不好，京东飞机倒是不错。', '短评打分': 1}
{'短评内容': '屋子不是很大，但是特惠房间而且离景区比较近，已经比较好了，早餐到外面吃一条街都是吃饭的位置。使用物品比较方便，还带了一个小窗户', '短评打分': 5}
{'短评内容': '没有早餐 位置很偏 热水没有清理干净 无牙刷牙膏', '短评打分': 4}
{'短评内容': '环境好，干净。', '短评打分': 5}
{'短评内容': '物美价廉，性价比高', '短评打分': 4}
{'短评内容': '位置很好，出门就是公交站牌。', '短评打分': 4}
{'短评内容': '易佰总体还是不错的，设施都比较齐全，环境也不错，但房间隔音差，还有就是我住的房间被套和枕套换了，但是床单没换，等睡觉时掀开上面被子才发现，让人很费解啊，是忘了，还是故意的？', '短评打分': 5}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '房间换气扇坏了建议更换', '短评打分': 5}
{'短评内容': '还可以，价格在市区很优惠', '短评打分': 5}
{'短评内容': '前台服务不错，周边环境不错，设施还待改善', '短评打分': 4}
{'短评内容': '环境还可以 性价比很高。', '短评打分': 5}
{'短评内容': '味道，卫生间味道很大，淋浴头太小，其他ok，对了，隔音很不好！', '短评打分': 4}
{'短评内容': '马路边上根本睡不着', '短评打分': 4}
{'短评内容': '环境还不错，住过好几次了。', '短评打分': 5}
{'短评内容': '一定提前去官网预定', '短评打分': 3}
{'短评内容': '环境一般，比较超，没有电梯，不能使用信用卡，房间内没有开水，热水早上都凉了，没有洗漱用具，没有水杯，马桶无隔间。', '短评打分': 3}
