{'短评内容': '老板娘人很好', '短评打分': 5}
{'短评内容': '有米粉，位置还可以，有停车场，价格合理，值得推荐。', '短评打分': 5}
{'短评内容': '很好，安静，老板很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通便利，环境舒适，尤其阳朔现在周末限行，但是这家店不在限行范围内，周末自驾游可以选择这里。老板和老板娘人特别热情，帮忙介绍旅游线路，景点门票比网上便宜。房间整洁干净，在民宿里算是很好的。', '短评打分': 5}
{'短评内容': '迟来的评价。家庭式小旅馆，不过阳朔基本上都是如此。老板娘很好客，还可提供出行计划、代购门票，还有饭市提供。', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '名酒店其实是客栈。离街有差不多一公里远，而且是无人行道的陡坡汽车路。隔壁在建房。卫生间年久失修各种问题，排气扇响，热水小，地面积水，马桶盖活动，门框低。如果不是一定要住高档酒店，去阳朔不建议在网上订房，即便黄金周阳朔的宾馆客栈也过剩，到了去找还便宜些', '短评打分': 3}
{'短评内容': '不错，房间非常干净，周围也比较安静。酒店有免费停车位，交通也方便。酒店还能够点菜吃饭，老板厨艺不错，服务也很好，性价比很高哦。', '短评打分': 5}
{'短评内容': '不错，房间非常干净，周围也比较安静。酒店有免费停车位，交通也方便。酒店还能够点菜吃饭，性价比很高哦。', '短评打分': 5}
{'短评内容': '除了离阳朔中心区有些远以外挺不错，可以租单车玩遍阳朔的所有景区，酒店帮订景区门票的话可以便宜一半以上哦。', '短评打分': 4}
{'短评内容': '老板服务热情周到，可以代订景点门票，还有电动车出租，也可以帮忙叫出租车，还给我们很多好的旅行建议以及注意事项（这是非常重要的）。酒店有餐饮非常方便，可以吃到老板还有老伯伯做的可口饭菜，价格非常实惠，（在外面吃饭坑人的很多）酒店周围交通方便，在去遇龙河的路边，去各个景点都很方便，很适合自驾游。整个酒店属于中等档次，但是在吃、住、行、玩各个方面服务很周到，性价比非常的高。强烈推荐大家来阳朔住这里。', '短评打分': 5}
{'短评内容': '蛮温馨舒适的客栈，酒店位置真正脱离了城市的喧嚣，但去西街也不算远，想去的话就骑客栈的自行车，约五分钟就到了，其实也很方便，感觉住在这里有种别样的感觉。老板娘很好说话，帮订的景点票价格优惠，从酒店出发也非常方便。两个小孩子超级可爱，进进出出都会甜甜的跟你打招呼。总之，有家的感觉吧，推荐！\n', '短评打分': 5}
{'短评内容': '酒店倒是很干净，但是离西街太远，走半个小时都到不了，骑自行车倒是可以，打车过去得20元。路很不好走，司机都不怎么找得到。早餐也很贵。而且家具有很大的油漆味道。', '短评打分': 1}
{'短评内容': '是新开业得酒店，设备很新，房间很干净，空调、液晶电视（真的好多台可看哦）、无线网络、24小时热水、推开窗就可看桂林秀美的大山听婉转的鸟鸣……  还有漂亮热情的老板娘和另一位忘记询问名字的热心大姐……  因为位于响水路，所以很是清静，而骑店家免费提供的自行车去西街口也不过5分钟，很方便 再去阳朔还会光顾的好地方', '短评打分': 5}
{'短评内容': '刚开业的，各种设备设施都很新，性价比理想。\n\n房子不错，干净卫生，院前院后视野都很开阔，屋后就是一座大山，可以看山景，店主说美国红枫正在田去培育，再过两个月就可以移植进后院了。\n\n店主早上赠送了鲜榨玉米汁，非常好喝啊，在这寒冷的冬天早上能喝上一杯热乎乎的极营养的玉米汁，我想我永远不会忘记的。\n\n另外提醒一下各位游客，这里不是县城中心，非常安静，更适合自驾者出入，不过阳朔实在是太小了，没有车的话可以', '短评打分': 5}
