{'短评内容': '优点: 设施不错，有一段时间还赠送晚餐，比较划算缺点: 通风不好，窗子都被封上，房间异味重    ', '短评打分': 4}
{'短评内容': '非常好的酒店', '短评打分': 4}
{'短评内容': '早餐一般般，目前酒店是送早+晚餐 我住行政套房，卫生间相当一般，毛巾和浴巾就都……', '短评打分': 3}
{'短评内容': '路过还行', '短评打分': 5}
{'短评内容': '房间挺大，我定的是大床房，2米，床垫也舒服，卫生情况好，洗澡水热，水流冲，早餐品种多，丰盛，赶上活动送了自助晚餐', '短评打分': 5}
{'短评内容': '很舒服干净价格便宜实惠，就娱乐会所隔音不好。', '短评打分': 5}
{'短评内容': '实惠价格，干净舒服很不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '环境很好，房间及餐厅都挺好！', '短评打分': 5}
{'短评内容': '酒店硬件、软件都不错，床很舒服，房间卫生间都很大。特别是不但提供免费早餐，还提供免费晚餐，而且吃得很好，这是我从来没有碰见过的！存在的问题是：酒店大多数窗户被人为封闭死，不能打开，有的房间有股味排不出去，这点很不习惯，使这么多好感大打折扣', '短评打分': 4}
{'短评内容': '总体不错，提供免费晚餐，停车场很大，满意。', '短评打分': 4}
{'短评内容': '在这座城市 拥有次宾馆的环境 也非常不错了', '短评打分': 4}
{'短评内容': '复古复古的感觉，凭祥比较好的酒店', '短评打分': 5}
{'短评内容': '本來訂的市中心北大路祥城酒店，路過喜相逢廣告，說有自助晩餐，被吸引进來看看，歺廳夠氣派，出品還不錯，品種略少，相對價位，這個酒店還可以吧，值得推薦！', '短评打分': 4}
{'短评内容': '还可以吧?离红木家具城比较近', '短评打分': 4}
{'短评内容': '酒店设施非常好，卫生条件很好，早歺还不错，服务员很热情，值得推荐。', '短评打分': 4}
{'短评内容': '服务好！卫生干净', '短评打分': 5}
