{'短评内容': '还好！楼梯有点陡！', '短评打分': 5}
{'短评内容': '这个价格能住这样的客栈，性价比很高，东西都是自助的，像在家里一样，一楼的客厅很舒服，很多书可以随意读，出来就是景点', '短评打分': 4}
{'短评内容': '本来是住一晚上的，到客栈后发现真的是不错，而且景区竟然人还不是很多，就决定再住一晚上，还在景区内不用出去，感觉不错。', '短评打分': 5}
{'短评内容': '很喜欢的客栈，有布置温馨的客厅，可以喝茶吃饭还可以上网，让人感觉很舒服很休闲的客栈，房间里也很干净，还在景区里，很棒，本来住一晚就又多住一晚。', '短评打分': 5}
{'短评内容': '不错。环境服务都不错', '短评打分': 5}
{'短评内容': '是很有怀舊味道的老房子所改建的我很喜歡', '短评打分': 4}
{'短评内容': '我们是闺蜜两人出游，然后到周庄汽车站已经很晚了，老板娘的侄子来周庄汽车站接我们，人很好。到了客栈，环境很好，位置也很方便，老板和老板娘都很热情，老板娘做的白丝鱼很好吃！手艺真的很不错！住了两个晚上，房间不错，也很干净，忘记放图了，反正好评！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店环境不错，就是比较温馨的普通家庭型旅馆。老板娘和老板人挺好的，老板娘做的饭菜也十分合口味，一到旅馆就和我们拉拉家常，很有亲和力。客栈在景区里面，旁边就有一个景点，出门就可以看到小桥流水人家的景色很不错的位置。床也比较大，睡得还是很舒服的，但是房间的隔音效果不是特别好，楼上的声音还是可以听得比较清楚的，但是也可以理解毕竟家庭旅馆嘛~另外希望老板可以将客栈的淋浴设施再改进下就更好了！还是给一个赞！', '短评打分': 5}
{'短评内容': '客栈的位置相当的好，可能我们定的是特价房，房间一般，但是看到别的房间都是不错的。客栈老板和老板娘都很好，东西都是自助领取的，比较人性化。晚上到的周庄，客栈有人来接还蛮好的。接着夜游周庄，景色美美哒！愉快的旅行~', '短评打分': 4}
