{'短评内容': '商品还不错，照例先好评', '短评打分': 5}
{'短评内容': '老顾客了，服务很好', '短评打分': 5}
{'短评内容': '宾至如归，卫生', '短评打分': 5}
{'短评内容': '有停车厂，位置便利', '短评打分': 5}
{'短评内容': '房价不错，环境设施都挺好的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地方挺方便的，本来就是去江苏科技大学东校区的，就在对面', '短评打分': 5}
{'短评内容': '每次回学校都会住这里，房间很赞', '短评打分': 5}
{'短评内容': '每次回学校都会住这里，房间很赞', '短评打分': 5}
{'短评内容': '位置很好找。 房间还可以。干净卫生。 不错。关键价格便宜', '短评打分': 5}
{'短评内容': '房间设施齐全，地段好，服务人员态度很好，给予好评！', '短评打分': 5}
{'短评内容': '不错加5分', '短评打分': 5}
{'短评内容': '就是便宜，随便休息下，干净一般吧', '短评打分': 4}
{'短评内容': '主要就是便宜。还行吧。就是定的时候耽误很久', '短评打分': 3}
{'短评内容': '不错啦', '短评打分': 5}
{'短评内容': '还不错，，', '短评打分': 5}
{'短评内容': '住的还可以，就是吃的比较少，而且还很远', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离科技大学非常近，办事十分方便，酒店设施也不错，价格实惠', '短评打分': 5}
{'短评内容': '以前住过，觉得挺好，这次首选这里了，交通方便，吃饭地方也很好找，以后还会来', '短评打分': 5}
{'短评内容': '整体不错，很满意', '短评打分': 4}
