{'descr': '酒店还是不错的，性价比可以。', 'star': 4}
{'descr': '设施较旧', 'star': 4}
{'descr': '相对一般，也就399的房间还可以，299跟306不如住快捷。周围配套就好像住在郊区一样，', 'star': 3}
{'descr': '就是中午快退房时，全部停电了，包括电梯！非常遗憾啊！', 'star': 5}
{'descr': '位置很方便', 'star': 5}
{'descr': '跑杭州马拉松，定了这个酒店。距离黄龙体育中心很近。距离西湖也不远，骑单车过去大概一二十分钟。一开始问酒店前台，几点退房。前台说12点退房。问能不能延迟一点，因为跑完马拉松想回来洗个澡。前台说不行。后来跑完马拉松，回来已经12点了。12点退房有点来不及，另外一个朋友还没回来。索性洗个澡，等他回来。最多再出半天房费。后来，大概一点多去退房，并没有加收房费。实际上，可以在两点前退房。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '这家酒店的房间里只有这么大的卷纸一个，让服务员送两个过来，服务员过来只拿了一个问怎么只有一个？服务员告知这里都是用完以后再拿的。抓狂了，这么差点卫生纸还限用，迄今为止遇到酒店住宿时最大的笑话。', 'star': 1}
{'descr': '很不错', 'star': 5}
{'descr': '离浙大西溪真的近，很方便，下次继续', 'star': 5}
{'descr': '每次去浙大西溪都住那里，不错', 'star': 5}
{'descr': '6楼属于精品区，设施比较新，卫生不错！', 'star': 4}
{'descr': '挺好的挺好的哈哈哈哈', 'star': 5}
{'descr': '地理位置还是不错的，就是离马路较近，有点吵', 'star': 5}
{'descr': '酒店还算整洁。卫生间窗户开了后，没有纱窗，夏天会有蚊子。\n早餐10元/位，比较简单，但还是比较实惠。', 'star': 5}
{'descr': '房间还不错，但居然没有电梯。。。', 'star': 3}
{'descr': '一般，感觉还好，没很大的亮点，只是5，1价格比平常涨了一倍。', 'star': 5}
{'descr': '其他还可以，就是临街，晚上车子声音比较响，电视机比较小', 'star': 5}
{'descr': '酒店位置不错，很安静，交通方便，离西湖挺近的！', 'star': 5}
{'descr': '服务态度不错，房间也比较整洁，美中不足是没有电梯', 'star': 5}
{'descr': '该酒店位置很好, 周边环境不错, 价格很实惠。', 'star': 5}
{'descr': '酒店整体感觉还算得上干净，主要离培训地比较近。交通便利，但总体杭州的交通真是不给力呀~~', 'star': 5}
{'descr': '设施一般，第一天住的房间卫生间下水不顺畅，夜里方便时差点滑倒，但服务尚好，第二天很顺利的更换了房间。价格有点偏高。', 'star': 5}
{'descr': '房间很干净，环境不错，住的蛮舒服的，就是略微有点小，也没有挂包的地方，感觉性价比不是特别高~', 'star': 5}
{'descr': '水太小，房间还算干净。', 'star': 3}
{'descr': '挺干净的，双层玻璃隔音，但是走廊很吵。朝南的房间相对安静。没有电梯，住6楼的话比较悲剧。床很舒服！', 'star': 5}
{'descr': '空调有霉味 房顶有漏水的痕迹 床和洗澡还舒服', 'star': 3}
{'descr': '在莫泰旁边，去西湖还是很方便。坐15路呵呵。也很安静。要是再便宜一点就好了啊。。我是不是贪心不足 哈哈。。', 'star': 5}
{'descr': '房间环境很糟糕，办了入住手续到房间后很后悔，可是又不能退了。超级郁闷，墙壁都是很破旧的，差不多300一晚的房间真的很不值！', 'star': 1}
{'descr': '不错，房间大小合适，卫生良好，交通方便，周边配套齐全\n服务还行', 'star': 5}
{'descr': '非常干净，服务也不错，地理位置优越，以后来杭州还是选择入住此酒店，经济实惠！', 'star': 5}
{'descr': '房间和干净，面积大，舒服，就是没有电梯，其他都很好', 'star': 5}
{'descr': '酒店位置不错，走路20分钟左右就能到西湖，床很干净，卫生条件不错，房间很清爽的感觉，还可以住宿环境', 'star': 5}
{'descr': '隔音效果差，环境还是可以，交通比较便利。', 'star': 5}
{'descr': '两年前住过这个酒店，再次去居然为我保留的是同一间房间，非常惊喜。性价比很高，位置也不错，周边配套很齐全，晚上十点钟饿了出去还能买到很多吃的，下次有机会一定会再入住。', 'star': 5}
{'descr': '酒店的环境很一般，卫生都还可以但是设施都不行，价格还这么高硬件设施确实挺差的，位置倒是挺好找的，服务都差不多。', 'star': 1}
{'descr': '感觉还不错，离西湖较近，而且斜对面就有一家特产专卖店。', 'star': 5}
{'descr': '服务员的态度太差了,还有就是没有电梯,爬楼累!!!!', 'star': 1}
{'descr': '我感觉这家酒店的交通很方便，服务态度也不错，而且房间打扫的比较干净。', 'star': 5}
{'descr': '新装修的酒店，可能急于十一开业，有部分房间设施不全。订了两个房间，一个房间有墙上衣架，另一个房间就没有。其它还不错。', 'star': 5}
{'descr': '唯一的不足是那次我住在 5楼，酒店没有电梯，我跑的比较累。', 'star': 5}
{'descr': '房间里通风感觉不好，感觉比较闷，而且它内部不提供餐饮服务，即使你花钱在酒店也没办法吃饭，不过酒店的地理位置还比较的便利的，这是他的优势', 'star': 3}
{'descr': '酒店交通很方便,就是离西湖有点远,房间里面环境不错,就是端午节期间价格有些偏贵.整体住着还算舒适.', 'star': 5}
{'descr': '酒店就在车站旁边，比较吵，隔音效果不好，但是服务很好，也干净，交通方便，挺不错的也。', 'star': 5}
{'descr': '总体不错的~~~~&lt;br /&gt;\n&lt;br /&gt;\n就是当天中午12点之前房卡就失效了，上上下下跑了好几回有些麻烦~~~', 'star': 3}
