{'descr': '加急帮总部和老板预定，都非常满意。', 'star': 5}
{'descr': '性价比很高', 'star': 5}
{'descr': '性价比很高！', 'star': 5}
{'descr': '有停车场的', 'star': 4}
{'descr': '                                                  一般', 'star': 3}
{'descr': '写点评，赚积分', 'star': 4}
{'descr': '不是很满意，房间太小', 'star': 3}
{'descr': '还蛮不错的！！！！', 'star': 5}
{'descr': '很好，房间宽敞舒适', 'star': 5}
{'descr': '#ud83d#udc4c', 'star': 5}
{'descr': '较宽敞，尚可', 'star': 5}
{'descr': '位置方便', 'star': 5}
{'descr': '酒店位置较为偏僻，当时住的时候楼下的火锅店正在装修，早上没休息好，其他都挺好。', 'star': 4}
{'descr': '房间相对其他汉庭酒店较宽敞干净', 'star': 5}
{'descr': '该酒店离地铁站较远，3/8号线步行估计15分钟，但是周边公共交通还是挺方面的，酒店周围繁华，不远处还有一个公园，酒店内卫生情况较佳，前台服务好。值得推荐。', 'star': 4}
{'descr': '环境还不错了', 'star': 3}
{'descr': '位置偏，车流声很大，总有顺门缝塞广告的讨厌人，让人感到不安全。灯光昏暗的要命，不会再去了。', 'star': 3}
{'descr': '房间不错！', 'star': 3}
{'descr': '还可以，就是这个偏僻的地段加上这个房间质量有点贵，酒店内部构造弯弯曲曲的绕啊绕。。。不过五一假期涨价也可以理解。', 'star': 3}
{'descr': '交通方便，价格低廉，房间宽敞，非常适合要求不太高的朋友入住。不理想的地方是，停车位太少，还有是晚上有点吵', 'star': 5}
{'descr': '位置很偏僻。', 'star': 3}
{'descr': '总体还不错。 有电脑，没主机着实坑爹。', 'star': 3}
{'descr': '酒店环境不错，床很舒服', 'star': 3}
{'descr': '大床房挺大的,服务员挺有礼貌的,房间虽然小但挺干净的', 'star': 5}
{'descr': '环境不错   主要就是附件有个酒店    唱了一晚的红歌   几天都没休息好  ', 'star': 5}
{'descr': '位置不错，价格合理，房间好，就是夜里吵，后夜就好了', 'star': 5}
{'descr': '交通还算方便，大堂也还整洁，只是房间设施太过简单，茶叶都没有，纯水也就一瓶，不过总体来说还算清洁，卫生间还是小而干净的，水也大，所以还是给个好评。性价比还算不错。', 'star': 5}
{'descr': '环境很好，很舒适，只是写字台灯光不好，离复旦大学很近，很方便', 'star': 5}
{'descr': '价格还优惠了，比较方便。还可以。', 'star': 3}
{'descr': '还好吧～房间有点绕，隔音效果不是太好。其他还行', 'star': 3}
{'descr': '地方很大，服务态度很好，但是隔音效果很差，基本满意吧，十二点的时候居然还能买到吃的', 'star': 5}
{'descr': '无数次的入住，离子公司也近，汉庭的品质，推荐。', 'star': 5}
{'descr': '已经是第三次入住了，离家乐福、易买得都比较近，坐地铁也方便。汉庭的一贯品质。', 'star': 5}
{'descr': '酒店需要改进的地方就是  拖鞋  最好换成一次性的   脏拖鞋有脚气\n', 'star': 5}
{'descr': '不错，百元房值，为什么一定要五十个字，这几个字已经足以表达\n不错，百元房值，为什么一定要五十个字，这几个字已经足以表达\n不错，百元房值，为什么一定要五十个字，这几个字已经足以表达\n不错，百元房值，为什么一定要五十个字，这几个字已经足以表达\n不错，百元房值，为什么一定要五十个字，这几个字已经足以表达\n不错，百元房值，为什么一定要五十个字，这几个字已经足以表达\n', 'star': 5}
{'descr': '酒店很新很干净，服务态度很好，订单有点问题，但是还是很认真搞好，总体住的很舒适。周边有大柏树商业区，全家便利店银行都有，非常方便。门口有摩的之类的，去哪里都挺方便而且便宜。值得推荐。', 'star': 5}
{'descr': '酒店很干净，卫生间有吹风机，大堂有打印机、咖啡机，不过没喝过，不知道味道怎么样。整个店的服务态度很好，几次麻烦开门，都很热情。总体住的很舒适。晚上附近还有烧烤吃，周边85°全家便利店都有，非常方便。', 'star': 5}
{'descr': '还行吧。房间没想象的大也没想象的小。各方面的设施都是新的，我想是由于新开的店的缘故吧。服务员的态度还是不错滴。房间里面的洗浴用品也比较不错。总的来说还是推荐。', 'star': 5}
{'descr': '噪音大', 'star': 3}
{'descr': '不错！', 'star': 3}
{'descr': '说实话 凑合吧 还行 \n干嘛一定要二十个字啊', 'star': 5}
{'descr': '房间不错， 圆床很温馨，就是房间里的几个大字完全可以去掉，不协调', 'star': 5}
{'descr': '大床房，卫生环境挺好的，房间有点小，设施和介绍的差不多…隔音有点差，可能因为外面正在施工…总体上挺满意，信誉挺好的', 'star': 3}
{'descr': '不咋地,环境差,就跟农民工住的差不多.其他废话也不想多说了', 'star': 1}
