{'短评内容': '还可以还可以', '短评打分': 5}
{'短评内容': '交通和周边环境还不错哟。', '短评打分': 5}
{'短评内容': '整体不错，继续努力', '短评打分': 5}
{'短评内容': '距离医院很近', '短评打分': 4}
{'短评内容': '很不错，价格优惠，环境优雅，酒店位置距离吉大一院很近，方便，安全，舒适，满意哦，真的很不错，值得大家选择', '短评打分': 5}
{'短评内容': '系统无法刷新出我的订单，磨蹭半天才入住，前台态度不错。客房条件一般。', '短评打分': 5}
{'短评内容': '好评。干净，', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服    以后会常来的', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服酒店我已经住习惯了，每次去长春都是这家', '短评打分': 5}
{'短评内容': '酒店我已经住习惯了，每次去长春都是这家，服务没的说，酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服', '短评打分': 5}
{'短评内容': '电视机太老了，信号不好，看着费劲，地板都坏了', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '深秋季节，房间好冷，空调不给力，房间网站150，实际148元，房间一般在长春不值，锦江之星才150，早餐太凉了，下回还是住锦江吧', '短评打分': 3}
{'短评内容': '屋子里冷，好阴森，住一个小时撤了，怪怪的，建议搞一些暖光，装修一下楼下', '短评打分': 3}
{'短评内容': '环境设施什么的一般吧，离吉大一院比较近和有早餐才选的它，最可气的，我们根本没有喝他们室内的矿泉水，查房时，硬找出一瓶打开的矿泉水说是我们打开的，额，出门在外，我们也不是喝不起矿泉水，这样做意义何在？', '短评打分': 3}
{'短评内容': '整体不错，房间比较大，床也比较大，卫生条件也不错', '短评打分': 3}
{'短评内容': '住了一晚上，卫生什么的还是挺好的，不知道是不是就我们房间的问题，电视只有一个频道，另外隔音不好，不是特别推荐吧', '短评打分': 1}
{'短评内容': '睡眠不好的朋友千万别住房号有10和它对面的房间 我都进到510去试过 屋里动静还很大 （说是楼下有个自采暖大锅炉  估计夏天会好些）前台接待的小姑娘很不错 （我忘记问她叫啥了 我是1月18日入住的  当天的那位姑娘 其它的不知道）值得表扬  房间说是有地暖 空调 其实是有空调没有遥控器 问客房要 说是房间里有地暖了就给收起来了 一般不给  地暖其实也不热（早上五点被冻醒 ）早餐品种很少 4个放咸菜', '短评打分': 1}
{'短评内容': '大床间小了点，地理环境还好，比较经济实惠。', '短评打分': 5}
{'短评内容': '宾馆不错 自己装修的地暖 要是洗澡水在大点就好了 网速不是太快 不过办公够了', '短评打分': 5}
{'短评内容': '环境不错,挺安静.', '短评打分': 3}
{'短评内容': '还不错比较满意，就是没有电梯，不过也不高，最高的才五层。下午的阳光照到房间里很舒服，窗户很大，床稍微薄弱点，躺上去能摸到弹簧，没再铺垫子。整体来讲住的算是舒适，早餐简单了点就是凉拌黄瓜，凉拌洋葱，凉拌包菜，凉拌茄子，小米大米粥，豆浆，鸡蛋，花卷，馒头，没了。吃了一次就没欲望了哈哈哈不顾住宿为主不是为了吃早餐的，整理还是满意的！', '短评打分': 5}
{'短评内容': '服务不错，人很热情，很正规的感觉，地点很方便，步行至欧亚商都10分钟吧，交通便利，很容易找到，房间很干净，不过床有点硬，晚上很晚也有热水，在长春算不容易了啊！不错，下次来还住这！', '短评打分': 5}
{'短评内容': '环境还可以吧，挺干净的，而且隔音效果也行，交通挺便利。', '短评打分': 5}
