{'短评内容': '环境还可以，考试近', '短评打分': 5}
{'短评内容': '房间安静，隔音一般。', '短评打分': 4}
{'短评内容': '环境安静，有点旧。', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '位置非常好，安静', '短评打分': 5}
{'短评内容': '多次入住了，酒店挺不错的。就是这次怎么把我携程上已经结账过的订单给私自取消了，要不是我自己账号一查，我的返现和优惠券全部作废了。', '短评打分': 4}
{'短评内容': '订的大床 没有了', '短评打分': 4}
{'短评内容': '价格适中，离科学院、科技厅近，办事方便。', '短评打分': 4}
{'短评内容': '好好爱', '短评打分': 5}
{'短评内容': '卫生不行  地毯太旧了    ', '短评打分': 3}
{'短评内容': '服务态度不好，房间有味道，还有小虫，卫生间坐便是坏的（换了房间还是坏的） 不建议入住，服务员都说老板抠门（大堂的饮水机里的水是从卫生间里灌得）', '短评打分': 3}
{'短评内容': '酒店陈旧，服务不行，停车收费，早餐不到9点都没有菜了，房间里有小虫，味道难闻。 对了，大堂里的饮水机里的水是从卫生间灌得（这是我亲眼所见，服务员也说一直都这样），再也不住了', '短评打分': 3}
{'短评内容': '总体一般，出差办公首选。', '短评打分': 3}
{'短评内容': '除了我住那方便，其它真没啥子可说的', '短评打分': 3}
{'短评内容': '环境挺安静的，价钱也合理，离机场也方便，卫生也干净，给个好评', '短评打分': 3}
