{'短评内容': '性价比还可以，就是地理位置不太好，有点吵。', '短评打分': 4}
{'短评内容': '价格是附近最便宜的，因为照顾病人要住好几天。楼下就是菜场，吃早饭很方便。网上的价格比去店里直接订要贵好些。', '短评打分': 4}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '干净整洁，老板热情！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '物美价廉，送货很快。', '短评打分': 5}
{'短评内容': '酒店比较偏僻，环境卫生一般，设施陈旧，服务一般，出行该算方便。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间卫生很差，还有蟑螂在爬，竟然爬到人脸上，太猖狂了，周围环境睡觉时还很吵，不建议亲们入住！！！！！', '短评打分': 2}
{'短评内容': '总体感觉还可以', '短评打分': 4}
{'短评内容': '作为钟点房，勉勉强强还过得去', '短评打分': 3}
{'短评内容': '卫生不干净，服务真够垃圾的，大半夜还吵死了，什么破地方，', '短评打分': 1}
{'短评内容': '卫生不干净', '短评打分': 1}
{'短评内容': '很差，房间小的要命，水管坏了，一直漏水。说好的返现，结果没有，149住这样的房间太坑了', '短评打分': 1}
{'短评内容': '普普通通，无惊无喜，质量尚可。', '短评打分': 4}
