{'短评内容': '帮别人订的，速度快，服务好', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '还行。整体还不错', '短评打分': 5}
{'短评内容': '很不错，还可以。出行也挺方便的。', '短评打分': 5}
{'短评内容': '房间很大，床也很舒适，卫生到位，前台服务也热情', '短评打分': 5}
{'短评内容': '不错值得推荐 下次再来', '短评打分': 5}
{'短评内容': '不错的一家酒店，，价格也能接受，，挺好的', '短评打分': 5}
{'短评内容': '床很舒服，交通便利', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务一流卫生干净，位置方便找吃的又方便', '短评打分': 5}
{'短评内容': '酒店位置好找房间干净，以后来深圳就认他家了', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '帮弟弟订的他们说不错，枕头睡得很舒服。', '短评打分': 5}
{'短评内容': '帮弟弟一群人出差订的，听说还不错，枕头很舒服，最后他们赶高铁都睡过头了', '短评打分': 5}
{'短评内容': '酒店地理位置很好，服务态度很好', '短评打分': 5}
{'短评内容': '空调比较差空调比较差空调比较差', '短评打分': 5}
{'短评内容': '非常不错，环境好，地段好，很舒适', '短评打分': 5}
{'短评内容': '非常不错，环境好，地段好，很舒适', '短评打分': 5}
{'短评内容': 'good good', '短评打分': 5}
{'短评内容': '住着挺好的，就是WIFI经常断网', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错\n赞\n性价比很高????????????????????????', '短评打分': 5}
{'短评内容': '不错，住过几次了的。', '短评打分': 5}
{'短评内容': '房间很大，前台服务很好，也很安静，地理位置又不错', '短评打分': 5}
{'短评内容': '送货快，一直在使用，哈哈~不过体验在下降....', '短评打分': 5}
{'短评内容': '隔音很好，地理位置也很不错，住了两晚，这周去深圳还是定这家', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '一般般，地点位置不错，价格偏贵，早餐乏善可陈。', '短评打分': 4}
{'短评内容': '装修有点老，其他不错', '短评打分': 5}
{'短评内容': '没订到房间，，，，，，，', '短评打分': 5}
{'短评内容': '朋友下的  我给他说的我有卷便宜，听他说不错', '短评打分': 5}
{'短评内容': '朋友下的  我给他说的我有卷便宜听他说不错', '短评打分': 5}
{'短评内容': '房间好，就是订单速度慢了点', '短评打分': 5}
{'短评内容': '非常好，值得购买，推荐', '短评打分': 5}
{'短评内容': '住了几个小时 还算不错', '短评打分': 5}
{'短评内容': '看图片有窗子，却被固定了，和没有一样，拖鞋很薄', '短评打分': 4}
{'短评内容': '广告词：五星级享受，二星级消费。住完感觉不是吹牛。', '短评打分': 5}
{'短评内容': '房间挺不错的 住着挺舒服', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好，下次一定再来。', '短评打分': 5}
{'短评内容': '非常好，下次一定再来。', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '这', '短评打分': 5}
{'短评内容': '位置方便是一大优势', '短评打分': 4}
{'短评内容': '位置方便是一大优势', '短评打分': 4}
{'短评内容': '点赞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
