{'短评内容': '烂，不要去', '短评打分': 1}
{'短评内容': '有点旧', '短评打分': 4}
{'短评内容': '积极思考在空间下几首歌手机打电话吃豆豆不吃家常豆腐就看到叫你发', '短评打分': 5}
{'短评内容': '挺旧的一家，位置景观还可以，但东西还老旧了，卫生做的也一般。最后房价还不是网上定的，太糟心了。', '短评打分': 2}
{'短评内容': '春节期间，酒店只有老板在，房间一般，临时路过，随便凑合一下。', '短评打分': 3}
{'短评内容': '房间挺大，麻将桌，电视，电脑。只是电脑坏了开不了机，座椅都很旧。。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '卫生一般，勉强可接受。房间设备措施，电视木的看卡 电视台少。服务：网络连不上，打客服不管！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店太老了，还3星级。我看不像', '短评打分': 2}
{'短评内容': '不会再来，太脏，当初住了一夜皮肤上都起红斑，亏大了。', '短评打分': 1}
{'短评内容': '早点条件太差了，基本上只有稀饭+拌粉/炒粉 我也不知道这属于拌饭还是炒粉,单人间木有电脑', '短评打分': 5}
{'短评内容': '早点条件太差了，基本上只有稀饭+拌粉/炒粉 我也不知道这属于拌饭还是炒粉，豪华双人间房间还算比较大的，有浴缸但是不能堵住漏水口，只能站在浴缸里面淋浴，空调噪音太大了，难得豪华双人间有电脑，但是那个配置真是烂到了极点，基本不能正常使用“2.66G 赛扬CPU+256M内存条” 正常开个网页都会电脑反应不过来，实在是无语了', '短评打分': 5}
{'短评内容': '早点条件太差了，基本上只有稀饭+拌粉/炒粉 我也不知道这属于拌饭还是炒粉，三人间房间还算比较大的，有浴缸但是不能堵住漏水口，只能站在浴缸里面淋浴，空调噪音太大了', '短评打分': 5}
{'短评内容': '我还特意叫他们挑了新装修的，但是进去傻眼了，这哪是刚装修的呀，一看就知道是好多年失修了，我还打电话问前台，她们还跟我说是最近才装修的，由于时间太晚了，我也没有跟她们理论，但是那些东西都不敢用。太脏了。', '短评打分': 1}
{'短评内容': '这家酒店是我住到现在最差的一家，不仅设施陈旧，而且脏，网上评价还那么高，我真是有点想不通。反正我下次是不会再去那边了，而且早餐也没有几个品种，餐厅也不像餐厅，就在一间空房子里摆了几个桌子。', '短评打分': 1}
{'短评内容': '   住宿条件还可以，就是早餐的环境有一点不大好，希望今后有所改善。', '短评打分': 5}
{'短评内容': '房间很大，很舒服，孩子超喜欢，性价比高；但早餐一般', '短评打分': 5}
