{'短评内容': '025接待员服务热情待客礼貌，微笑服务我非常满意我得我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我我', '短评打分': 5}
{'短评内容': '025李静的服务热情，礼貌待人，热情帮助客人介绍酒店，提东西，非常感谢，', '短评打分': 5}
{'短评内容': '025李静对客户服务热情', '短评打分': 5}
{'短评内容': '025接待员非常的热情，帮助客人扶老人，热别的让客人感动，没有嫌弃的意识，李静的服务让我感到非常的感谢', '短评打分': 5}
{'短评内容': '025李静同志德服务非常好，值得表扬', '短评打分': 5}
{'短评内容': '住了两天。虽然空调很冷，但是服务态度特别好。努力解决问题。以后会经常来住的。', '短评打分': 5}
{'短评内容': '高楠服务态度很好，下次还住这边', '短评打分': 5}
{'短评内容': '卫生干净，服务态度好，下次还会再来，025李静接待服务好', '短评打分': 5}
{'短评内容': '可以的，住啦就知道', '短评打分': 5}
{'短评内容': '好，服务态度很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '代朋友订的，服务挺好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间很好，早餐也不错，如果有咖啡就更好了！', '短评打分': 4}
{'短评内容': '房间很大，服务员很热情，非常有礼貌。', '短评打分': 4}
{'短评内容': '总体还是很不错的！以后来都住这里了', '短评打分': 5}
{'短评内容': '每次来甘肃都住他家真心不错', '短评打分': 5}
{'短评内容': '很好，早餐好吃', '短评打分': 5}
{'短评内容': '总体感觉还行。就是前台查不到我的预定订单。', '短评打分': 3}
{'短评内容': '配套的设施比较全面，只是我住了3晚，毛巾好像没有换过，第二天用的时候，毛巾有点湿，我不知道换没有换过。然后洗漱用品也很齐全。没有免费矿泉水。档次看上去很高档，早餐还可以。房间不是很大。然后就是剃须膏是过期的。这个让我很差异。网络型号不好，网络也差。还有一个设计也有问题，插头和开关都在床头中央，靠着床头，不小心就能关掉电视。', '短评打分': 4}
{'短评内容': '价格合理，在庆阳算不错的酒店了，下次打算再次入住。', '短评打分': 5}
{'短评内容': 'j酒店还不错，在庆阳当地算好的了。。。。。', '短评打分': 5}
{'短评内容': '非常不错 床很舒适 下次去还会入住，也会推荐朋友入住', '短评打分': 5}
{'短评内容': '酒店相当不错，性价比很高。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
