{'短评内容': '外部景色不错，标准房的装修隔音不怎地', '短评打分': 3}
{'短评内容': '经济实惠！', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '这个价格很不错了。服务也很好。好评！', '短评打分': 5}
{'短评内容': '有停车场，离南华寺很近', '短评打分': 3}
{'短评内容': '电视没几个台看.八点去吃早餐.没有了.剩下几个面包.', '短评打分': 3}
{'短评内容': '环境舒服，离南华寺又近，附近吃东西也方便！送早餐，样式挺多，营养，丰富有内涵！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '特廉物美。我们已是多次入住了，每次来这里，首选这间酒店。除了价钱是首选的因素外，酒店比较干净整洁，也是我们选择的主因', '短评打分': 4}
{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '房间好大，特别是卫生间。', '短评打分': 4}
{'短评内容': '经济实惠不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很方便离那华寺近', '短评打分': 4}
{'短评内容': '房间内设施干净卫生，舒适，房间内可直接泡温泉方便', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店很大，环境很好', '短评打分': 5}
{'短评内容': '酒店外表不突出，但房间別有洞天-空间很大，干净明亮，这个价钱很值，值得再去⋯', '短评打分': 5}
{'短评内容': '虽然酒店设施陈旧点，服务态度生硬点。但性价比总的来说不错，门口的漕溪景观不错。', '短评打分': 5}
{'短评内容': '酒店挺好的，豪华房的床是1.5m的，就是温泉规模比较小，早餐也很简单。不过258元的豪华双人是值了。', '短评打分': 3}
{'短评内容': '酒店环境很幽静，客房干净，被子洁白清新无异味，服务算不错。就是早餐品种少，可能我起床迟了！', '短评打分': 3}
{'短评内容': '酒店温泉是露天的，还可以,房间还不错。最好自带泳衣。', '短评打分': 5}
{'短评内容': '高級雙人房衛浴設備，不夠完善。手把鬆脫沒處理，洗澡門無法緊密，水會噴的到處是', '短评打分': 1}
{'短评内容': '很不错的一家酒店.比较安静.温泉也舒服.早餐就太一般了.', '短评打分': 5}
{'短评内容': '感觉很好！很温馨！酒店的房间干净整齐！服务态度不错！唯一不足之处是早餐太差了，需要改进！', '短评打分': 5}
{'短评内容': '床不舒服，露天温泉不舒服，环境很差，不推荐入住', '短评打分': 1}
{'短评内容': '总体感觉很一般，服务员一大早敲门搞卫生，很怪。', '短评打分': 1}
{'短评内容': '高档，时尚，卫生，自助早餐品种也比较丰富，下次还会继续前往', '短评打分': 5}
{'短评内容': '不错，味道好极了！是说早餐，晚九点到的，干净！配置好！', '短评打分': 5}
{'短评内容': '房間可以，但新酒店還有點味道。', '短评打分': 3}
{'短评内容': '酒店的管理不到位，不上档次，装修很土气，顶多就是一般的旅馆，好华房竟然没有一张椅子桌子，想喝杯茶都没地方放杯子，没有行李架，行李只能放地上。客房服务员的职业技能差，温泉池子也远离酒店，下次不会再住。', '短评打分': 1}
{'短评内容': '酒店服务不错，温泉只有下午才有。', '短评打分': 3}
{'短评内容': '酒店房间还可以，就是温泉区小了点。早餐品种不多，但味道不错，能吃饱，晚上酒店是没有餐饮提供的，所以晚上自理好晚餐再到店。', '短评打分': 3}
{'短评内容': '酒店的床太小，两张小小的一米单人床，完全不是现在酒店的流行风格，不要说是3口之家出游无法入住，就是两夫妇想嘿哟一下都很不舒服。酒店卫生一般，楼道不干净。温泉就是6个鱼缸般大小的池子加一个儿童游戏水泳池般大小的池，下午5点去泡水还不热，和工作人员反映后扭了几个开关水温慢慢上来，不知是真温泉还是假温泉。', '短评打分': 5}
{'短评内容': '环境一般，泡温泉也一般，人多池少。', '短评打分': 3}
{'短评内容': '房间比较大，有温泉，也比较干净，还是不错的。就是吃饭不太方便。', '短评打分': 5}
{'短评内容': '祈福酒店住宿环境很好，很干净，小朋友很喜欢在浴池中玩耍！只是温泉太小，水也太少了！', '短评打分': 3}
{'短评内容': '酒店很棒，就是早点差一点点，希望以后改进', '短评打分': 5}
{'短评内容': '如果下次去韶关，我想我还是会选择这样一家酒店，粗心的我将插在墙上充电的手机遗失在客房，后在酒店工作人员的帮助下快递到家。真是谢谢了，', '短评打分': 5}
{'短评内容': 'A楼离温泉区有点距离，要忍受天寒穿着浴袍去泡温泉。\n至于豪华套房就好多了，距离温泉不远。', '短评打分': 5}
{'短评内容': '酒店还是不错的，位置的话也很好找就在市区，服务也很周到，价格也还算合理。', '短评打分': 5}
{'短评内容': '一个字（差）！根本说不上温泉酒店～是个浴盆。', '短评打分': 1}
{'短评内容': '我住的是豪双，够大够豪。装修及环境都好，住得很舒服，服务态度不错，但豪双增加缺上网设备就更好', '短评打分': 5}
{'短评内容': '酒店附近用餐不太方便，价格较贵且洗漱用具都收费。一般大家出行讲究的就是温馨、有家的感觉，如果连最起码的方便都不能提供我想不会有太多的人能接受，而且是比较昂贵的价钱。另外酒店的温泉实际就是一个面积不到20平米的游泳池，热水共饮到10点左右就停止了，更本没有泡温泉的感觉。', '短评打分': 1}
{'短评内容': '还不错哦~', '短评打分': 3}
