{'短评内容': '特别棒', '短评打分': 5}
{'短评内容': '环境很不好', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错，交通便利', '短评打分': 4}
{'短评内容': '', '短评打分': 4}
{'短评内容': '这个酒店的位置很好，我很满意！', '短评打分': 5}
{'短评内容': '确实太差了，居然还安排错房间，不推荐入住。', '短评打分': 5}
{'短评内容': '确实太差了，居然还安排错房间，不推荐入住。', '短评打分': 3}
{'短评内容': '酒店在杨家坪地铁站的东面医院后面的小路上。附近是菜场，所以周边比较脏乱。房间窗户朝向大马路。比较吵', '短评打分': 3}
{'短评内容': '客服很好给我升级了高级单间，卫生还可以，地铁站后面，就是早上稍微有点吵，总之还比较满意', '短评打分': 5}
{'短评内容': '性价比很好 交通方便 周围吃得东西也很多 价格便宜 很不错', '短评打分': 4}
{'短评内容': '长期到这家住宿，各方面都满意', '短评打分': 5}
{'短评内容': '环境舒适，价格实惠，每次都住这！', '短评打分': 5}
{'短评内容': '安全电梯，很不错，安静，出门步行3分钟就是轻轨站', '短评打分': 5}
{'短评内容': '还不错，挺干净的，', '短评打分': 5}
