{'短评内容': '免费升级房间', '短评打分': 5}
{'短评内容': '考场在附近，住住是还方便的，周边吃的东西很多', '短评打分': 4}
{'短评内容': '垃圾到极点', '短评打分': 1}
{'短评内容': '非常满意，性价比很高，', '短评打分': 5}
{'短评内容': '很差，那个发霉味道睡不着', '短评打分': 2}
{'短评内容': '以前住的海友都很干净，这家大大出乎我意料，墙体和地板都好脏，开关上积了一层灰，墙都裂了，墙上的粉刷块掉在床上，差！', '短评打分': 4}
{'短评内容': '环境优美，交通便利，服务优良，价格合理', '短评打分': 5}
{'短评内容': '酒店一般，主要是图个方便，服务态度很好，房间书桌灯不亮，给换了一间。', '短评打分': 4}
{'短评内容': '这个价位，挺不错的了', '短评打分': 4}
{'短评内容': '设施齐全，前台服务态度很好，就是单人房靠近马路，睡眠质量差的要注意', '短评打分': 5}
{'短评内容': '还行嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '房间空气不好，卫生一般', '短评打分': 3}
{'短评内容': '房间小的可怜，电视小的可怜，靠近马路那一边，吵得不行了！！！！感觉略不值这个价', '短评打分': 3}
