{'descr': '条件一般， 床不是太平。价格不错。', 'star': 5}
{'descr': '房间没有暖气也没有热水很冷！', 'star': 3}
{'descr': '没有暖气，没有暖气，没有暖气，空调调最大一点温度都没有，冻死了！因为来的比较晚，也比较累，就没有起来找前台了，很失望，以后不会住了', 'star': 2}
{'descr': '房间有味，暖气不制热', 'star': 3}
{'descr': '不错，还行', 'star': 5}
{'descr': '不错第二次了', 'star': 5}
{'descr': '卫生环境超差!设施超差!', 'star': 1}
{'descr': '感觉不错，就是设施老了点，离公园很近', 'star': 3}
{'descr': 'Wifi坏了，不知何时修好，服务很好，隔音差些。', 'star': 5}
{'descr': '还好，大床还是偏小点。', 'star': 5}
{'descr': '位置还好，公交可选择的少些。吃饭方便，对面有许多中西快餐和炒菜。', 'star': 5}
{'descr': '很便宜 很干净', 'star': 5}
{'descr': '真的很好，干净卫生，服务也周到，下次还会入住的了………', 'star': 5}
{'descr': '屋子比较干净，交通较为方便，旁边就是公园，可惜靠街的屋有点吵', 'star': 5}
{'descr': '还好吧，但是水质不是很好，望有关方面改进一下，还有就是隔音效果不太好~不过，总体来说还是比较实惠', 'star': 5}
{'descr': '无论是设施，还是服务都不错，而且还比较实惠！', 'star': 5}
{'descr': '酒店很干净，不错', 'star': 3}
{'descr': '酒店不错 ,特别像七天如家那种,给人感觉很好,\n下次还会订这家的', 'star': 5}
{'descr': '地理位置在一条老街上，人蛮多的，但是要走出去很长一段路才能有出租车和公交车乘，所以只能说一般吧。不过房间的环境不错，但是早饭太不给力，只有一点点根本吃不饱嘛！', 'star': 1}
{'descr': '构思不错，空间也大，可是房间地板感觉不干净，没窗所以空气不流畅，早饭量十分小，感觉不值。', 'star': 1}
{'descr': '前台接待的态度不是太好，就好像欠她钱一样。有点脏，屋子有异味。烧水的壶该换了。太脏了', 'star': 1}
{'descr': '价格蛮合适，地段也还蛮方便的，服务蛮好，也很干净', 'star': 5}
{'descr': '  提供的洗漱品不全，商务大床房很小，感觉很压抑。对于出现的问题，解决方式很令人不满。解决问题的速度很慢，先是拖，拖不下去才解决。对于由于酒店本身的原因而换房间，却要求消费者补差价的处理方式很有问题，不会再去。', 'star': 1}
{'descr': '环境一般，卫生较好可以考虑下次继续入住', 'star': 3}
{'descr': '有点小。。。。。但挺干净，但是厕所有点堵、、、', 'star': 5}
{'descr': '按这个价格来说，还是很实惠的，卫生，客服都不错，推荐下', 'star': 5}
{'descr': '房间内条件不错，挺干净的，酒店位置也比较好，交通比较方便，感觉很好。', 'star': 5}
{'descr': '房间虽小了点，但挺干净舒适的，总体来说还不错', 'star': 3}
