{'descr': '去苏州的时候感觉京东很方便', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '前台入住慢', 'star': 4}
{'descr': '酒店位置不错，很好 找，装修也不错，大堂很高大尚，一进门就是前台美女们的热情问候，而且入住办的很快，酒店停车很方便，前面广场和后院都可以，都很安全，房间很干净，床单被罩布草都是新的，wifi很快，淋浴花洒出水很大，洗澡很舒服，总之住的相当满意！ 酒店服务热情，房间很大、所有的设施都是全新的，卫生打扫的很干净，距离火车站很近、交通便利，房间有双重安全锁、很安全，wifi也很快，入住这家店有种家的感觉', 'star': 5}
{'descr': '酒店位置不错，很好 找，装修也不错，大堂很高大尚，一进门就是前台美女们的热情问候，而且入住办的很快，酒店停车很方便，前面广场和后院都可以，都很安全，房间很干净，床单被罩布草都是新的，wifi很快，淋浴花洒出水很大，洗澡很舒服，总之住的相当满意！ 酒店服务热情，房间很大、所有的设施都是全新的，卫生打扫的很干净，距离火车站很近、交通便利，房间有双重安全锁、很安全，wifi也很快，入住这家店有种家的感觉', 'star': 5}
{'descr': '该店服务还行', 'star': 5}
{'descr': '还不错希望有机会再来', 'star': 5}
{'descr': '酒店服务态度很好，价格一般环境卫生可以', 'star': 5}
{'descr': '酒店服务态度挺好，价格公道还算不错?！', 'star': 5}
{'descr': '非常满意，方便快捷环境卫生服务态度都很好！', 'star': 5}
{'descr': '酒店挺大的，单独一栋楼，比较安静，连锁店比较卫生', 'star': 5}
{'descr': '位于姑苏区，属于市中心，到达观前街，山塘街以及四大园林都在半小时之内，非常方便，安静卫生，价格实惠。', 'star': 5}
{'descr': '酒店整体不错，地理位置闹中取静，前台服务良好，客房环境干净卫生，对于这次住宿还是比较满意的，如果下次再来苏州还住这家店，祝生意兴隆', 'star': 5}
{'descr': '大厅整洁，服务贴心！', 'star': 5}
{'descr': '还有餐厅好方便', 'star': 5}
{'descr': '环境还可以，就是太偏了！服务也不错', 'star': 4}
{'descr': '小巷里，卫生，服务，设施都不敢恭维，一楼，进去就一股霉味！', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '房间很小，装修也旧了，空调像拖拉机一样吵，地段也一般。洗澡的热水不错。总的来说，是目前住过的七天酒店里最差的，比起小旅馆还行', 'star': 3}
{'descr': '地点有点稍微偏一点！但是服务和环境还不错！', 'star': 3}
