{'短评内容': '非常好喜欢', '短评打分': 5}
{'短评内容': '不错经常住', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '没早餐，隔音差了，楼道说话听的一清二楚。', '短评打分': 4}
{'短评内容': '完美的地方，这次去又住到上次同一的房间', '短评打分': 5}
{'短评内容': '相对来说不错', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错很喜欢', '短评打分': 5}
{'短评内容': '不错很喜欢', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错很好的！！！！', '短评打分': 5}
{'短评内容': '很好，不错，还行，下次再来', '短评打分': 5}
{'短评内容': '感觉挺好，没有问题，服务好', '短评打分': 5}
{'短评内容': '感觉挺好，没有问题，中途换了个房间', '短评打分': 5}
{'短评内容': '很好，中档酒店', '短评打分': 5}
{'短评内容': '很好，好很好，好很好，好', '短评打分': 5}
{'短评内容': '不错，地理位置方便，交通便利，附近超市饭店什么都有，晚上安静有灵感', '短评打分': 5}
{'短评内容': '大床房没有了，给我免费升成家庭房，很不错', '短评打分': 5}
{'短评内容': '多次入住很不错', '短评打分': 5}
{'短评内容': '不错，很喜欢', '短评打分': 5}
{'短评内容': '服务很好，办公方便，推荐。服务很好，办公方便，推荐。服务很好，办公方便，推荐。 服务很好，办公方便，推荐。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '位置挺方便，卫生还算干净，就是卫生间貌似水管有问题 想换房间客服一直说客满 也不知真假 水流声一晚上 找到耳塞带着睡了一晚 果断换酒店', '短评打分': 4}
{'短评内容': '干净方便', '短评打分': 5}
{'短评内容': '前台服务非常好！', '短评打分': 5}
{'短评内容': '卫生不错，位置也好', '短评打分': 4}
{'短评内容': '酒店本身还行。早餐可以再加强点。', '短评打分': 5}
{'短评内容': '周边吃的挺多，住宿环境挺好。打车方便。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': 'wifi的密码到底在哪？没见过这么差的wifi。', '短评打分': 4}
{'短评内容': '住的人是我们的同事，说实话，那个大堂经理陈荣服务态度很好很专业', '短评打分': 5}
