{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错！！！！', '短评打分': 5}
{'短评内容': '很旧，隔音差，吵', '短评打分': 1}
{'短评内容': '酒店位置很好，怀境不错。而且有停车场，上下有电梯，房间干净.舒适.整洁，电器设备各方面其全，值得赞一个。', '短评打分': 5}
{'短评内容': '没有早餐，不太方便', '短评打分': 4}
{'短评内容': '不会再去第二次。要去的朋友请谨慎', '短评打分': 3}
{'短评内容': '不错哦，地理位置不错，性价比可以', '短评打分': 5}
{'短评内容': '一般般！！！', '短评打分': 5}
{'短评内容': '对得起这价格吧', '短评打分': 5}
{'短评内容': 'Very good', '短评打分': 5}
{'短评内容': '差啊，完全一般般', '短评打分': 3}
{'短评内容': '如果订的便宜的就是团的那种…估计给的都是小房间…只能放一张床，床跟电视之间就只能走一个人，注意是很勉强才能过的那种。', '短评打分': 2}
{'短评内容': '整体感觉还好，空调很凉，只是标准间是没有窗的。', '短评打分': 4}
{'短评内容': '周边对比算可以', '短评打分': 3}
{'短评内容': '老外聚集区，酒店主要是黑人住的酒店，过道、大厅等等到处是刺鼻的香水味。住着心里压力很大，为啥，我也就不多说了', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一直住这里，感觉不错', '短评打分': 5}
{'短评内容': '很不多的地方，下次还会再来。服务不错，很干净', '短评打分': 5}
