{'短评内容': '还行吧，就是房间烟味太大了。', '短评打分': 5}
{'短评内容': '地理位置很好，餐饮娱乐都很方便', '短评打分': 5}
{'短评内容': '酒店位置特别好，市中心，外面吃的逛的都很多', '短评打分': 5}
{'短评内容': '位置很好，在步行街，可以逛吃逛吃。离高庙和汽车站、火车站都很近，很方便去高庙转转，也方便出行交通。很好！', '短评打分': 4}
{'短评内容': '离小吃什么的特别方便', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店位置非常好，离火车站走路10分钟，出门就是步行街，是属于中卫最繁华的地方了，下次去还会选择这里。', '短评打分': 5}
{'短评内容': '酒店就在火车站附近，走路10来分钟就到，而且位于鼓楼旁边，周围是商场和食肆。房间干净整洁，前台服务非常好！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务和态度都不错，位置还行。出行方便', '短评打分': 4}
{'短评内容': '酒店地理位置优越，就在中卫中心古楼边上，大床房间不大，卫生良好，出门小吃也方便', '短评打分': 5}
{'短评内容': '服务还不错，卫生等均可以，只是房间面积太小，太拥挤了', '短评打分': 4}
{'短评内容': '挺好，下次去了还住。', '短评打分': 4}
{'短评内容': '便宜', '短评打分': 4}
{'短评内容': '酒店位置很好，旁边超市商场饭馆都有', '短评打分': 3}
{'短评内容': '一如既往地选择如家。', '短评打分': 5}
