{'短评内容': '房间维修跟不上 好好的酒店都糟蹋了  ', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '东西很好，物流速度很快', '短评打分': 5}
{'短评内容': '酒店还可以，不错，不错', '短评打分': 5}
{'短评内容': '窗帘一动全是灰，凳子上也是，晚上休息根本不敢脱衣服睡！总之就是非常差', '短评打分': 2}
{'短评内容': '温泉很棒适合一家人玩，游泳池也很大', '短评打分': 5}
{'短评内容': '泡温泉特别方便，去过几次了，就是价格总变动。', '短评打分': 5}
{'短评内容': '相当不错，环境好，服务到位，价格合理！完美', '短评打分': 5}
{'短评内容': '还可以。我定的迷你房，晚上七点多到的、入住两个人还多收取一个人门票、非常不理解。', '短评打分': 5}
{'短评内容': '挺好的 外面泡够了 回屋里跑 厕所有点小', '短评打分': 4}
{'短评内容': '除了服务都还好', '短评打分': 3}
{'短评内容': '整体不错，稍微贵点，含着温泉门票，可以随意去泡，温泉不错，早餐品种太少，可以选择的不多。挺适合一家人出行泡温泉的', '短评打分': 4}
{'短评内容': '没有多少人，据说快黄了！', '短评打分': 3}
{'短评内容': '不错，房间里的温泉池很好', '短评打分': 3}
{'短评内容': '比较舒服，相对游客较多，有点拥挤。', '短评打分': 4}
{'短评内容': '非常不错，下次还会去的。位置挺好找。', '短评打分': 3}
{'短评内容': '每次来都感觉棒棒哒！！！', '短评打分': 3}
{'短评内容': '不好，不推荐！', '短评打分': 2}
