{'短评内容': '早餐一般，房间味重', '短评打分': 3}
{'短评内容': '非常好，前台漂亮', '短评打分': 5}
{'短评内容': '不错，交通便利', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '因为是后半夜预定的，没看清楚是无窗房，房间空气质量不好。。因为没法通风，不过很安静。下次预定记得要订有窗的会比较好', '短评打分': 5}
{'短评内容': '环境优雅，值得推荐', '短评打分': 5}
{'短评内容': '房间装修还可以，就是外面墙体裂开，加上一进这酒店那香水味有点浓，希望店家以后少喷点这种东西', '短评打分': 5}
{'短评内容': '还不错了，住过好几回了、。', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '不错听好的', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '基本属于干净整洁，还算可以，出差主要还是看重方便，打车容易，周围吃的也还多。这个价位，不能要求太多了。', '短评打分': 3}
{'短评内容': '很温馨很干净整洁，服务态度也好。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通方便，周边餐饮可以满足，打车也比较容易，房间的话基本都还干净整洁，服务还不错，商务出行首选！', '短评打分': 4}
{'短评内容': '基本还不错', '短评打分': 5}
{'短评内容': '位于君悦小区外面、太平洋小区旁，楼下吃饭、买水果、打车都很方便、房间也大！不过3楼楼层、过道没有一处是平坦的，虽然已经垫了地毯，不小心会扭到脚，另外，厕所异味严重', '短评打分': 4}
{'短评内容': '很好的酒店了，算是非常不错了。下次来还住这里', '短评打分': 5}
{'短评内容': '两个不足，房间没窗，网络有些慢，别的都非常好，装修四星级，值得推荐。', '短评打分': 3}
{'短评内容': '房间还可以。。。电脑没有音响只有耳机，可是耳机明明是坏的，第2天查房说我弄坏了，还陪了30郁闷。。。', '短评打分': 1}
{'短评内容': '新酒店，各种设施很舒服，感觉门很大很爽，像皇宫一样！', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便，附近吃饭也有很多地方', '短评打分': 5}
{'短评内容': '新装修的还不错，就是隔音还是不行，早餐还可以。。。', '短评打分': 5}
{'短评内容': '比较精致型的酒店.大堂很小但设施齐房间干净,装修新 ..出行方便.推荐', '短评打分': 3}
{'短评内容': '装潢风格很不错，很适合年轻人！就是隔音很差！', '短评打分': 5}
{'短评内容': '房间环境不错，有多种风格，很新，就是隔音不好，尤其是卫生间，隔壁的动静就好像自己房里的，半夜吓了一跳 ', '短评打分': 5}
{'短评内容': '只能说马马虎虎', '短评打分': 3}
{'短评内容': '这家酒店总体来说还是可以的，环境也可以。 毕竟是主题酒店的。', '短评打分': 5}
{'短评内容': '房间很好 不过会经常听到一些声音 可能隔音不好吧 不过房间是很棒的~气氛很好', '短评打分': 5}
{'短评内容': '位置不错，楼道很宽，装潢不错，新开的。。。不过隔音还是一般', '短评打分': 5}
{'短评内容': '酒店环境不错，装修很好，房间很大，布局也还好，\n缺点，洗澡水温很低，洗 的好冷，而且中央空调不给力，大冬天的室内温度也调不高，\n餐厅在大厅里很冷，冻冻的发抖，而且电梯老出问题，要走楼梯才能上楼。\n\n总体说来房间还是不错的', '短评打分': 5}
{'短评内容': '酒店环境很不错\n设备也很新\n很有气氛，很有感觉\n前台有个小姑娘服务不太好\n', '短评打分': 5}
{'短评内容': '地理位置很优越，环境优雅，房间很大很舒服，性价比高石最大的亮点', '短评打分': 5}
