{'短评内容': '出行方便  干净卫生  环境优雅', '短评打分': 4}
{'短评内容': '地理位置很不错，去宽窄巷子就几百米，距锦里也近。', '短评打分': 5}
{'短评内容': '性价比最高', '短评打分': 4}
{'短评内容': '房间够大，就是房间里面空气不好闷死了', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '还不错哦  交通便利  去宽窄巷子近', '短评打分': 5}
{'短评内容': '位置比较好，出行方便', '短评打分': 5}
{'短评内容': '地理位置非常好，但设施很旧。入住时前台的女孩儿态度很好，一切顺利，可惜后来去咨询问题时那个男孩态度极差，头都不想抬一下。', '短评打分': 4}
{'短评内容': '地段繁华，交通方便。', '短评打分': 4}
{'短评内容': '除了距离市区太远，其他都挺好', '短评打分': 5}
{'短评内容': '除了距离市区太远，其他都挺好', '短评打分': 4}
{'短评内容': '停车太不方便，周围还可以！停车直接坑爹，管理员私自要钱还看不好！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店设施旧了点，但是房间内部蛮整洁，还配了电脑可以上网。离宽窄巷子不远，打车也比较方便。', '短评打分': 5}
{'短评内容': '地理位置比较便利', '短评打分': 4}
{'短评内容': '还行吧，房间很小，没有桌子，早餐也很简单。匆匆路过，只是睡了一觉，床还算舒服。', '短评打分': 4}
{'短评内容': '优点：酒店打扫很干净，标间房间面积很大，装修风格也很温馨，酒店人员服务态度很好，距离宽窄巷子很近。不足：卫生间的排水不太好，容易积水。\n', '短评打分': 5}
{'短评内容': '干净 舒适 比较新 对的起价格 还可以吧 推荐一下吧', '短评打分': 5}
{'短评内容': '酒店很新，也很舒服，唯一就地毯没有吸尘，其他都很不错，赞一个', '短评打分': 3}
{'短评内容': '酒店真的不错，房间也大，很干净。位置也不错，离宽窄巷子也比较近，走路几分钟就到了。', '短评打分': 5}
{'短评内容': ' 离宽窄巷子很近，房间不错，硬件都很新且是牌子，像面盆是美标的，电视是索尼的。酒店电梯是Touch按踺。总体不错。', '短评打分': 3}
{'短评内容': '不错不错，真的很好，价格便宜，地段还好，房间也很新，早餐没吃。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店是新开张的，设施都比较新，屋子里有气味。房价偏高，性价比低；服务很一般，没有给客人一种很好的感觉。', '短评打分': 1}
