{'短评内容': '还算满意', '短评打分': 4}
{'短评内容': '总体来說還可以接受吧！', '短评打分': 5}
{'短评内容': '总体还是不错的，有两点不足:电视机离床太远   早餐太差！！！！！！！！！，？？，，，？？，？？？？？？？', '短评打分': 5}
{'短评内容': '服务好，不错的酒店', '短评打分': 4}
{'短评内容': '洗澡没热水，维修后才洗成，差点感冒', '短评打分': 4}
{'短评内容': '太旧了，房间比较小！还有异味！价格便宜！', '短评打分': 4}
{'短评内容': '住宿还行吧，房间没有矿泉水，节日停车位很少。早餐供应不上。', '短评打分': 5}
{'短评内容': '上次入住该酒店还没WIFI这次来已经全部覆盖， 提前预订还有免费车接送高铁，尤其是一进房间就看到免费赠送的小食品，还听服务员说酒店的水都是来自龙门的温泉水，确实洗完澡后皮肤很光滑。来的时候刚好赶上二楼盛世家宴6折优惠，太划算了，早餐提供的是自助餐，比较清淡，有牛肉汤，各种粥，牛奶面包等， 看个人口味。最感谢的是我入住时胃不太舒服，服务员知道后马上给我送来蜂蜜水，在得知我需要的胃药没有拿时又立刻去附', '短评打分': 5}
{'短评内容': '完全不值这个价格，北京的快捷酒店都比这好，房间超小，床垫也特别次，梆硬，', '短评打分': 3}
{'短评内容': '总体还是不错的，春节的时候有电脑，现在取消了，自助餐很不错，还会来', '短评打分': 5}
{'短评内容': '挺好！', '短评打分': 5}
{'短评内容': '服务好，性价比高', '短评打分': 5}
{'短评内容': '房间有点异味很不好闻 房间有点小 卫生间的毛巾很脏', '短评打分': 5}
{'短评内容': '酒店位置不错，地毯太脏，房间好大一股味。在洛阳价格也不便宜。', '短评打分': 1}
{'短评内容': '名字很豪华，实际很一般，不值这个价，但也不会太差，说不出什么优点，凑合住吧。', '短评打分': 1}
{'短评内容': '一般来洛阳就住这里，算是洛阳比较好的酒店了，就是楼下夜总会有点吵人', '短评打分': 5}
{'短评内容': '性价比非常的不合理，空调稍微开大点，声音非常的响，不会再入住', '短评打分': 1}
{'短评内容': '在洛阳还算是对得起4star价位，不过要是再多注意点细节及人性化就好了', '短评打分': 5}
{'短评内容': '很不错 \n环境、服务、内部装饰都是很棒的，尤其是床', '短评打分': 5}
{'短评内容': '酒店环境不错房间也够大但卫生间淋浴房门坏了', '短评打分': 3}
{'短评内容': '卫生好，设备新，环境好，价格也合适。是出差、旅游的理想居住酒店之一。', '短评打分': 5}
{'短评内容': '还是很不错的，就是房间稍微的小点，礼宾再主动热情点就更好了', '短评打分': 5}
{'短评内容': '房间很小，设备简陋，感觉不如其它酒店100多块钱的房间。服务人员态度也比较差，感觉像是没训练过一样。', '短评打分': 1}
{'短评内容': '虽然是四星级的酒店，但不管是服务还是设施都没有南方的酒店好，很多地方有待提升，边浴袍都没有。。。', '短评打分': 1}
{'短评内容': '可', '短评打分': 3}
{'短评内容': '一般，卫生还行，设施一般，信价比一般。周边还可以。', '短评打分': 5}
{'短评内容': '还是很符合4星标准的，不过还有改进地方，例如只有2个玻璃杯，没有抽纸，卫生间的淋浴花洒也要注意', '短评打分': 5}
{'短评内容': '很一般的酒店，地理位置一般，酒店装修档次不高，前台寒酸的可以，房间内硬件设施一般，而且半夜还能听到楼下KTV的吵闹声，早饭也不好。感觉不太好的一家酒店，更不值300这个价！', '短评打分': 1}
{'短评内容': '房间干净、设施齐全、交通便利、环境优雅、服务态度好', '短评打分': 5}
{'短评内容': '交通还是挺方便的位置也比较明显隔壁就是洛阳电视台，房间的设施卫生都还不错比较新的房间也能达到国内四星酒店的标准，价格也很合理。', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '卫生间太挤，早餐一般，其他尚可。', '短评打分': 5}
{'短评内容': '总体不错，吃，玩，交通都很方便。房间很宽敞，只是洗脸盆好浅，装水不多，而且容易溅出。', '短评打分': 5}
{'短评内容': '商务单间小的超乎我的想象    选择这个酒店完全是因为他在我亲戚家对面 ', '短评打分': 1}
{'短评内容': '酒店位置不错，出门即可打到车，而且也有公交站，性价比很高，尤其是酒店提供的早餐很丰富，值！但是稍微不足的是酒店配套娱乐场所，因此到深夜还可听到音乐的声音，但是影响也不大，不错！', '短评打分': 5}
{'短评内容': '环境舒适,房间很开阔\r\n很干净,服务也不错,地理位置方便,适合商旅人士居住', '短评打分': 5}
{'短评内容': '房间的硬件设施齐全，布局比较合理，住宿条件还是不错的，酒店地处比较繁华的市中心，出行还是很方便的', '短评打分': 5}
{'短评内容': '我觉的这家酒店环境不错,服务态度良好,餐厅和SPA都很棒 很值得再去住一住\r\n特别是公差,休息环境不做,推荐', '短评打分': 5}
{'短评内容': '性价比还可以，房间很干净，设施也蛮齐全的，下次还会住的。', '短评打分': 5}
{'短评内容': '性价比很高.而且硬件和软件条件也都挺不错的,整体感觉还可以.', '短评打分': 5}
{'短评内容': '酒店设施很好,服务态度也很棒,值得住', '短评打分': 5}
{'短评内容': '房间太小了，房门的隔音也特别不好，卫生设施做的还可以，价格还是有些高了，位置倒没问题。但是房间确实挺小的和以前住的别的酒店房型不一样说是准四星的酒店但是感觉和快捷酒店差不多。', '短评打分': 1}
{'短评内容': '我定的是商务单间，房间面积太小，卫生间面积还可以。\r\n房门隔音不好，我哥们到酒店来找我，当时我正在打电话，他循着我的声音就找到房间了。', '短评打分': 1}
