{'短评内容': '环境不错，前台很热情', '短评打分': 5}
{'短评内容': '很好很好！值得推荐！', '短评打分': 5}
{'短评内容': '除了房间小以外都好', '短评打分': 5}
{'短评内容': '非常好，下次再定那里。', '短评打分': 5}
{'短评内容': '地理位置非常棒，出行很方便，之前选了好多酒店，最后发现这个酒店星级比最高，周边吃吃吃玩玩玩都很方便，主要还是连锁的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#u', '短评打分': 5}
{'短评内容': '房间不大舒适。', '短评打分': 4}
{'短评内容': '京东自营就是好，物流快，优惠多，服务好。', '短评打分': 5}
{'短评内容': '很好的地方但是地址不对找了很久', '短评打分': 5}
{'短评内容': '酒店还是可以，对于我们来讲性价比，已经可以了！就是这个酒店，地理位置不是很好！', '短评打分': 5}
{'短评内容': '不错不错，位置方便，价格适中，房间干净', '短评打分': 5}
{'短评内容': '位置：佐敦站的D出口，左转，红绿灯过马路左转，顺着路直行，看到柯士甸道21-25号的路牌，右转即到。3-5分钟路程。\n房间：小，但符合描述。定的标间，有保险箱，冰箱，烧水壶，电吹风，英标转中标的转接插头头一个。不足：抽风系统不好，第二天起来，洗手间地面还是都是水。', '短评打分': 5}
{'短评内容': '免费给我提升了一间面积大的，赞。房间总体上还可以。', '短评打分': 4}
{'短评内容': '京东预订，方便、便宜，以后还会选择', '短评打分': 5}
{'短评内容': '离地铁站10来分钟的路程，在香港的中心地带，到紫荆广场，九龙客运码头都比较方便，步行即可。房间比较小，卫生挺好，酒店服务挺好，淋浴有问题一个电话马上上来弄好，下次去香港还会考虑入住的', '短评打分': 5}
{'短评内容': '不错的一次体验，确认速度很快，价格也地道，下次就选择这里了！！', '短评打分': 5}
{'短评内容': '。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店比较小，位置还可以', '短评打分': 4}
{'短评内容': '☝️', '短评打分': 5}
{'短评内容': '评价不错，就它了', '短评打分': 5}
{'短评内容': '香港住宿真心贵，那么小的房子。?', '短评打分': 5}
{'短评内容': '酒店相对来说比较干净，设施有点老旧，但是重在性价比高。', '短评打分': 5}
{'短评内容': '房间太小，地理位置也不是很好找，再一个觉得房间床单总觉得不干净，要的大床房但是是两个小床拼起来的，这个有点不满意', '短评打分': 3}
{'短评内容': '总体还是不错的，不过确实很小，非常小', '短评打分': 4}
{'短评内容': '环境不错，交通便利', '短评打分': 5}
{'短评内容': '帮朋友预订的，听说地点有点难找', '短评打分': 4}
{'短评内容': '楼下韩国餐厅很多，交通也很便利，总体来说还是不错的', '短评打分': 4}
{'短评内容': '地铁站，购物区都很近', '短评打分': 5}
{'短评内容': '性价比高，离海港城和海边进', '短评打分': 5}
{'短评内容': '酒店还行，就是位置有点不好找！', '短评打分': 5}
{'短评内容': '第一次去，在Justin Rd上绕圈圈。地点不太好找，建议能在酒店介绍中更为详细的加以介绍。  房间很小，卫生间很局促。唯一就是价格便宜了。', '短评打分': 4}
{'短评内容': 'Very small room, but thats normal in HK. Placed directly in Kowloon.', '短评打分': 3}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '房间不是很大，但是很干净，窗外的景色也不错，离购物的地方也比较近...交通走路15分钟左右到达地铁口...还是比较好的...', '短评打分': 5}
